# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,3.09991540858097e-08,
0.004,4.58694899998666e-08,
0.006,6.120675975002261e-08,
0.008,7.50591751744817e-08,
0.01,8.56132879492655e-08,
0.012,9.19801740403517e-08,
0.014,9.43612048986159e-08,
0.016,9.34549623879632e-08,
0.018,8.97165620843218e-08,
0.02,8.32372805910718e-08,
0.022,7.427657262578829e-08,
0.024,6.37467958435362e-08,
0.026,5.3113098374552e-08,
0.028,4.3819627990018496e-08,
0.03,3.67160949080351e-08,
0.032,3.18400498922151e-08,
0.034,2.85800756928725e-08,
0.036,2.59977483154256e-08,
0.038,2.30801631083928e-08,
0.04,1.88864348893438e-08,
0.042,1.27099048073629e-08,
0.044,4.31152470498523e-09,
0.046,-5.91410449348896e-09,
0.048,-1.70247657840513e-08,
0.05,-2.7865791946363504e-08,
0.052,-3.74453779790748e-08,
0.054,-4.5144524194466905e-08,
0.056,-5.07296284570244e-08,
0.058,-5.425991659900611e-08,
0.06,-5.5959864801093496e-08,
0.062,-5.60771396308994e-08,
0.064,-5.477975344942241e-08,
0.066,-5.21838263207438e-08,
0.068,-4.852068189069991e-08,
0.07,-4.43064337723904e-08,
0.072,-4.0351152308918306e-08,
0.074,-3.75836404217098e-08,
0.076,-3.68123809547731e-08,
0.078,-3.85484934597693e-08,
0.08,-4.29279716227485e-08,
0.082,-4.97196944511262e-08,
0.084,-5.84150559556733e-08,
0.086,-6.83818166267906e-08,
0.088,-7.900611656398268e-08,
0.09,-8.97309527295082e-08,
0.092,-9.998575064055249e-08,
0.094,-1.0910950064103999e-07,
0.096,-1.16374884621825e-07,
0.098,-1.2112044866740902e-07,
0.1,-1.2291144184103401e-07,
0.102,-1.21659254068604e-07,
0.104,-1.1768660576680699e-07,
0.106,-1.11741088933021e-07,
0.108,-1.04928326838816e-07,
0.11,-9.85303814080109e-08,
0.112,-9.37341574356497e-08,
0.114,-9.13690620272735e-08,
0.116,-9.176694030126381e-08,
0.118,-9.479261012407759e-08,
0.12,-1.00000942801491e-07,
0.122,-1.0682085772236301e-07,
0.124,-1.14676948104883e-07,
0.126,-1.2302029647321e-07,
0.128,-1.31307609022413e-07,
0.13,-1.38995968682812e-07,
0.132,-1.4559169067474598e-07,
0.134,-1.5073441873880902e-07,
0.136,-1.54264543012135e-07,
0.138,-1.56239485876315e-07,
0.14,-1.56905058461019e-07,
0.142,-1.5664397289302698e-07,
0.144,-1.55903951914206e-07,
0.146,-1.55091374013685e-07,
0.148,-1.54440498091641e-07,
0.15,-1.53917537653027e-07,
0.152,-1.5323646861317802e-07,
0.154,-1.52014205492687e-07,
0.156,-1.50004685655796e-07,
0.158,-1.4729219960441802e-07,
0.16,-1.44340798632603e-07,
0.162,-1.4187677672531199e-07,
0.164,-1.40667729428249e-07,
0.166,-1.41298637870921e-07,
