# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,1.44494514669103e-11,
0.004,3.35085108134056e-11,
0.006,5.35949042734434e-11,
0.008,6.947667553764221e-11,
0.01,7.743069570279521e-11,
0.012,7.689101618443209e-11,
0.014,7.12301630216431e-11,
0.016,6.64406473618872e-11,
0.018,6.73106090829663e-11,
0.02,7.43712737300337e-11,
0.022,8.43085881357736e-11,
0.024,9.28381216193433e-11,
0.026,9.74694547330969e-11,
0.028,9.866428055159399e-11,
0.03,9.924756960176909e-11,
0.032,1.02614108501432e-10,
0.034,1.1078126817004e-10,
0.036,1.23431032251309e-10,
0.038,1.3837888764410998e-10,
0.04,1.5291350258662701e-10,
0.042,1.65021480836857e-10,
0.044,1.7385870007327598e-10,
0.046,1.79510895694136e-10,
0.048,1.82498815531838e-10,
0.05,1.83391203553658e-10,
0.052,1.82602783774415e-10,
0.054,1.80344035027535e-10,
0.056,1.76707892002199e-10,
0.058,1.71828958198633e-10,
0.06,1.65990567870691e-10,
0.062,1.5962693487256e-10,
0.064,1.53289637942367e-10,
0.066,1.4763626788984098e-10,
0.068,1.4337653485808902e-10,
0.07,1.4108433435337101e-10,
0.072,1.40938370588579e-10,
0.074,1.42606749589347e-10,
0.076,1.45420568748572e-10,
0.078,1.48725754201991e-10,
0.08,1.5213449344493e-10,
0.082,1.5550361123192402e-10,
0.084,1.58733932712845e-10,
0.086,1.61635572328994e-10,
0.088,1.63996559381183e-10,
0.09,1.65756212084141e-10,
0.092,1.67072306897096e-10,
0.094,1.68191670225298e-10,
0.096,1.69243528881982e-10,
0.098,1.70146271770108e-10,
0.1,1.70692299752454e-10,
0.102,1.70706076275775e-10,
0.104,1.7012992083209799e-10,
0.106,1.6899311766092701e-10,
0.108,1.6733819958723298e-10,
0.11,1.65198718774013e-10,
0.112,1.62639984140246e-10,
0.114,1.59783630607701e-10,
0.116,1.5674235605665002e-10,
0.118,1.5349916897217e-10,
0.12,1.4986164304768498e-10,
0.122,1.45584900041191e-10,
0.124,1.40601340552203e-10,
0.126,1.35170609007107e-10,
