# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.0030480695165257,-0.000159779434256672,-0.000370594737345677,0.00150022196950698,9.59195204718294e-05,-4.10673329426392e-05,1.15413937353646e-05,3.4730022018927905e-08,1.3902698518333302e-07
0.02,-0.00377337839449964,-0.00021012752941495,-0.000359924879107475,0.00287372531730781,0.000182157376069187,-8.03193635917547e-05,2.2496681707412602e-05,7.73348882744419e-08,1.35997118768315e-07
0.03,-0.00493025728411961,-0.000289643169613855,-0.000343020095813944,0.0040017060625914605,0.00024978912314724,-0.00011610958653503,4.03210882989957e-05,1.46287771746627e-07,1.31144222217543e-07
0.04,-0.00644427361679137,-0.000392112034616422,-0.00032110401136757204,0.00478064805343965,0.00029133707229492403,-0.000147111091079297,6.43832582589296e-05,2.38629137384408e-07,1.24749459234887e-07
0.05,-0.00821799895363075,-0.0005095610908779469,-0.00029571267041161604,0.0051286561553011605,0.000301331455184988,-0.000172433420677522,9.38386207611845e-05,3.5045315122062695e-07,1.1717926800852001e-07
0.06,-0.0101371899759409,-0.000632901426574302,-0.000268541106172228,0.00499033271762459,0.000276695750660742,-0.00019169342026701002,0.00012766604124091202,4.77124754193498e-07,1.0886069307786801e-07
0.07,-0.0120779410156002,-0.000752644908028601,-0.000241276635756597,0.00433989379216603,0.000216926561379811,-0.000205033195907702,0.0001647113373036,6.1353149061345e-07,1.00253026386148e-07
0.08,-0.0139143062066219,-0.000859629115281344,-0.00021543673951044198,0.00318235584666275,0.000124058911415101,-0.000213084210512875,0.000203735305946426,7.543528293408849e-07,9.1817869500785e-08
0.09,-0.0155258705301566,-0.0009456866011237641,-0.000192228525834712,0.0015527671017226301,2.42861664155351e-06,-0.000216882434355811,0.00024346374139137597,8.943290457238079e-07,8.398979647668919e-08
0.1,-0.0168047711232449,-0.00100420260443907,-0.00017244403363543502,-0.00048640226927166105,-0.00014173782202978,-0.000217744669764645,0.00028263691967219903,1.02851248095596e-06,7.71496859473735e-08
