# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,2.9329375894828097e-12,
0.004,1.17056164697549e-11,
0.006,2.62030759248572e-11,
0.008,4.56376767771089e-11,
0.01,6.83665680544793e-11,
0.012,9.298444168631929e-11,
0.014,1.1698884796164e-10,
0.016,1.37284246175826e-10,
0.018,1.5220978104021802e-10,
0.02,1.62653952870145e-10,
0.022,1.7103604592689498e-10,
0.024,1.7930562198684599e-10,
0.026,1.87773425320228e-10,
0.028,1.9545068562094198e-10,
0.03,2.01170229816428e-10,
0.032,2.0454885386446501e-10,
0.034,2.0625183686717098e-10,
0.036,2.07466870629942e-10,
0.038,2.0902730988869598e-10,
0.04,2.10928460494886e-10,
0.042,2.1253277558177998e-10,
0.044,2.1313111148042399e-10,
0.046,2.12417336016453e-10,
0.048,2.1059742361567797e-10,
0.05,2.08061609667544e-10,
0.052,2.04914612384273e-10,
0.054,2.00857421299143e-10,
0.056,1.95540319352685e-10,
0.058,1.88965164598199e-10,
0.06,1.81505292269246e-10,
0.062,1.73587762319097e-10,
0.064,1.65412128343827e-10,
0.066,1.56943664090324e-10,
0.068,1.48083319347211e-10,
0.07,1.38774601979821e-10,
0.072,1.2894968561482099e-10,
0.074,1.1843328530550699e-10,
0.076,1.0697438392259199e-10,
0.078,9.44212812673609e-11,
0.08,8.08665681331123e-11,
0.082,6.65798145330722e-11,
0.084,5.1756788329850604e-11,
0.086,3.6334757462033394e-11,
0.088,2.00865666147797e-11,
0.09,2.91200022370265e-12,
0.092,-1.4984246204517804e-11,
0.094,-3.3224524005712694e-11,
0.096,-5.15632416959585e-11,
0.098,-7.00573743188269e-11,
0.1,-8.895739085915979e-11,
0.102,-1.0844840180641e-10,
0.104,-1.28460960193922e-10,
0.106,-1.48648506941442e-10,
0.108,-1.68495678612773e-10,
0.11,-1.87501224367856e-10,
0.112,-2.05392926811255e-10,
0.114,-2.22282503784054e-10,
0.116,-2.38624796631706e-10,
0.118,-2.5494463945246304e-10,
0.12,-2.71503551988788e-10,
0.122,-2.88175075707657e-10,
0.124,-3.04636352643614e-10,
0.126,-3.20699245719624e-10,
0.128,-3.36479864951933e-10,
0.13,-3.52259411777645e-10,
0.132,-3.68165859355611e-10,
0.134,-3.83955502144988e-10,
0.136,-3.99085649663181e-10,
0.138,-4.1303348192635203e-10,
0.14,-4.2561790798880895e-10,
0.142,-4.3707312859412704e-10,
0.144,-4.4781707808742e-10,
0.146,-4.5810340445579805e-10,
0.148,-4.67830117032036e-10,
0.15,-4.76625500580635e-10,
0.152,-4.84091830967981e-10,
0.154,-4.899903813920309e-10,
0.156,-4.942657924745021e-10,
0.158,-4.96980208805627e-10,
0.16,-4.9827149031831e-10,
0.162,-4.98354081487063e-10,
0.164,-4.97493824183033e-10,
0.166,-4.95919764917465e-10,
0.168,-4.93733665143538e-10,
0.17,-4.90909067983142e-10,
0.172,-4.87391372670413e-10,
0.174,-4.83208711909871e-10,
0.176,-4.784927429981371e-10,
0.178,-4.733952674140979e-10,
0.18,-4.67977577655688e-10,
0.182,-4.62161049776118e-10,
0.184,-4.5576683206284e-10,
0.186,-4.48606156776535e-10,
0.188,-4.4055935719612606e-10,
0.19,-4.31598421531355e-10,
0.192,-4.2174219271141494e-10,
0.194,-4.10971897983706e-10,
0.196,-3.99167440567004e-10,
0.198,-3.86128650726847e-10,
0.2,-3.71699995218613e-10,
0.202,-3.5593567858397996e-10,
0.204,-3.3918078816596e-10,
0.206,-3.21965486760768e-10,
0.208,-3.0472713518772e-10,
0.21,-2.87523538515476e-10,
0.212,-2.69960175003805e-10,
0.214,-2.51441019003028e-10,
0.216,-2.3161189525578901e-10,
0.218,-2.1067658407153198e-10,
0.22,-1.8931238512227802e-10,
0.222,-1.6820181119514402e-10,
0.224,-1.4751596311279401e-10,
0.226,-1.26757350045246e-10,
0.228,-1.0510887835137399e-10,
0.23,-8.20405666356344e-11,
0.232,-5.772050322437871e-11,
0.234,-3.29329053357587e-11,
0.236,-8.5935124757647e-12,
0.238,1.47466303941645e-11,
0.24,3.7041209812778004e-11,
0.242,5.84773123258092e-11,
0.244,7.90722322445325e-11,
0.246,9.85019179703607e-11,
0.248,1.1630453952355e-10,
0.25,1.3227772160005099e-10,
0.252,1.46731263369574e-10,
0.254,1.60384877231312e-10,
0.256,1.7398726547846402e-10,
0.258,1.8793775006814899e-10,
0.26,2.02166417027904e-10,
0.262,2.16321421965782e-10,
0.264,2.3009767999565298e-10,
0.266,2.4346767164009696e-10,
0.268,2.56666770555282e-10,
0.27,2.6996017535511104e-10,
0.272,2.83361887671874e-10,
0.274,2.96508736968014e-10,
0.276,3.0879571336352097e-10,
0.278,3.19705499163141e-10,
0.28,3.29121822619831e-10,
