# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-1.29985609946637e-10,
0.004,-1.19220744028075e-10,
0.006,-1.21146872910237e-10,
0.008,-1.29229062690033e-10,
0.01,-1.34332022911369e-10,
0.012,-1.37310868816413e-10,
0.014,-1.44892403370594e-10,
0.016,-1.60422359675894e-10,
0.018,-1.77529032672499e-10,
0.02,-1.8677923501975e-10,
0.022,-1.85915935235411e-10,
0.024,-1.8198410239628101e-10,
0.026,-1.84008895230883e-10,
0.028,-1.96200907224858e-10,
0.03,-2.17241361611334e-10,
0.032,-2.42465953140634e-10,
0.034,-2.65635044186929e-10,
0.036,-2.81515120652169e-10,
0.038,-2.89101482066166e-10,
0.04,-2.91544193633914e-10,
0.042,-2.9184394966188203e-10,
0.044,-2.89436009115973e-10,
0.046,-2.81774681990251e-10,
0.048,-2.68499615145739e-10,
0.05,-2.53340461346382e-10,
0.052,-2.42331921802746e-10,
0.054,-2.40210237029774e-10,
0.056,-2.47598632430269e-10,
0.058,-2.6116834408281703e-10,
0.06,-2.76933613587561e-10,
0.062,-2.9352220959726e-10,
0.064,-3.11939112732036e-10,
0.066,-3.32686876213141e-10,
0.068,-3.54422112554508e-10,
0.07,-3.75671918392312e-10,
0.072,-3.96548124835714e-10,
0.074,-4.17782292793849e-10,
0.076,-4.38784291948339e-10,
0.078,-4.57834900784264e-10,
0.08,-4.73998365494063e-10,
0.082,-4.87641001535409e-10,
0.084,-4.98775643488182e-10,
0.086,-5.05997410722329e-10,
0.088,-5.07855107604911e-10,
0.09,-5.04603470244471e-10,
0.092,-4.9771808976892e-10,
0.094,-4.88306037827053e-10,
0.096,-4.77471783379974e-10,
0.098,-4.68386118287128e-10,
0.1,-4.66381008498108e-10,
0.102,-4.75613721155793e-10,
0.104,-4.957928908481911e-10,
0.106,-5.22803141144534e-10,
0.108,-5.52221159105892e-10,
0.11,-5.81531926865399e-10,
0.112,-6.09298191174515e-10,
0.114,-6.33495923931055e-10,
0.116,-6.51389573669805e-10,
0.118,-6.60544165532585e-10,
0.12,-6.59345114792828e-10,
0.122,-6.46854524836574e-10,
0.124,-6.23051975825613e-10,
0.126,-5.89655988930219e-10,
0.128,-5.50466027756382e-10,
0.13,-5.10550622824661e-10,
0.132,-4.74969848823005e-10,
0.134,-4.48046519565634e-10,
0.136,-4.3319293131136903e-10,
0.138,-4.32546524378352e-10,
0.14,-4.46166054112845e-10,
0.142,-4.71437502671512e-10,
0.144,-5.03380228332511e-10,
0.146,-5.35797329863092e-10,
0.148,-5.62677925186524e-10,
0.15,-5.79371287715233e-10,
0.152,-5.83327339699292e-10,
0.154,-5.74229681645562e-10,
0.156,-5.53390439437297e-10,
0.158,-5.226620572322531e-10,
0.16,-4.83588573302498e-10,
0.162,-4.37476011491674e-10,
0.164,-3.86329527247581e-10,
0.166,-3.3372757274703303e-10,
0.168,-2.84521696586774e-10,
0.17,-2.43164984595183e-10,
0.172,-2.11857587607903e-10,
0.174,-1.90181626979077e-10,
0.176,-1.7668638007064501e-10,
0.178,-1.70926733422165e-10,
0.18,-1.73796721555353e-10,
0.182,-1.85551449071127e-10,
0.184,-2.03240374550401e-10,
0.186,-2.20058282478836e-10,
0.188,-2.27629010849107e-10,
0.19,-2.19921233670849e-10,
0.192,-1.96267491657658e-10,
0.194,-1.61507733337054e-10,
0.196,-1.23066287783515e-10,
0.198,-8.67461262947316e-11,
0.2,-5.40161168942013e-11,
0.202,-2.2647936521482e-11,
0.204,9.97210131400262e-12,
0.206,4.3714758738169895e-11,
0.208,7.535633814972339e-11,
0.21,1.00981683680499e-10,
0.212,1.18692407999629e-10,
0.214,1.29286627082076e-10,
0.216,1.3484420934477401e-10,
0.218,1.3703211970810401e-10,
0.22,1.36689437598373e-10,
0.222,1.34622745543469e-10,
0.224,1.32476260823709e-10,
0.226,1.3284439539788001e-10,
0.228,1.38651594068449e-10,
0.23,1.52237308525091e-10,
0.232,1.74497950515717e-10,
0.234,2.04359453816121e-10,
0.236,2.38895807398135e-10,
0.238,2.74247594954931e-10,
0.24,3.07014753355509e-10,
0.242,3.3538371884747303e-10,
0.244,3.59325294759786e-10,
0.246,3.79763640506572e-10,
0.248,3.97284692187817e-10,
0.25,4.11292206675813e-10,
0.252,4.20284369075275e-10,
0.254,4.23169049219132e-10,
0.256,4.20714424014259e-10,
0.258,4.16005131818507e-10,
0.26,4.13432891363706e-10,
0.262,4.1681174387804303e-10,
0.264,4.27776251544423e-10,
0.266,4.45274518100174e-10,
0.268,4.66152111416669e-10,
0.27,4.86300850240258e-10,
0.272,5.01872260869956e-10,
0.274,5.10286698663344e-10,
0.276,5.108589283302e-10,
0.278,5.04869152279798e-10,
0.28,4.95053594003457e-10,
0.282,4.84741270560398e-10,
0.284,4.76970000967634e-10,
0.286,4.73801211655734e-10,
0.288,4.75908132065503e-10,
0.29,4.82497969284816e-10,
0.292,4.916330340598471e-10,
0.294,5.00875556394999e-10,
0.296,5.079800187634121e-10,
0.298,5.1135530304793e-10,
0.3,5.10257066812208e-10,
0.302,5.04858633985531e-10,
0.304,4.96240860106689e-10,
0.306,4.86102479544391e-10,
0.308,4.76030256528903e-10,
0.31,4.66583975333684e-10,
0.312,4.5683258670166903e-10,
0.314,4.44826060433251e-10,
0.316,4.2881851542929203e-10,
0.318,4.08450107845468e-10,
0.32,3.8511439393534903e-10,
0.322,3.6136923006263003e-10,
0.324,3.39920428808382e-10,
0.326,3.22856627638747e-10,
0.328,3.1139859569528e-10,
0.33,3.05911113695739e-10,
0.332,3.05801730375844e-10,
0.334,3.09277128545293e-10,
0.336,3.13351068513369e-10,
0.338,3.14524004730887e-10,
0.34,3.10073116424789e-10,
0.342,2.99287534923398e-10,
0.344,2.83816935723809e-10,
0.346,2.66799752421116e-10,
0.348,2.51256187823263e-10,
0.35,2.38725054670757e-10,
0.352,2.28906155124633e-10,
0.354,2.20342747135448e-10,
0.356,2.11537914690918e-10,
0.358,2.01792089354551e-10,
0.36,1.91429345372978e-10,
0.362,1.81530541825494e-10,
0.364,1.73463126256443e-10,
0.366,1.68393594514258e-10,
0.368,1.66834374286136e-10,
0.37,1.68286456241738e-10,
0.372,1.7113251875151e-10,
0.374,1.72929019914408e-10,
0.376,1.71069769244549e-10,
0.378,1.63567386930179e-10,
0.38,1.49613834994318e-10,
0.382,1.29710503369331e-10,
0.384,1.05405853097563e-10,
0.386,7.88604859809799e-11,
0.388,5.246146246174809e-11,
0.39,2.8556777531815696e-11,
0.392,9.22440124470784e-12,
0.394,-4.03064176011824e-12,
0.396,-1.0616073659169499e-11,
0.398,-1.10268494280295e-11,
0.4,-6.6440702769404095e-12,
0.402,8.29064201993068e-13,
0.404,9.98134225476989e-12,
0.406,1.9937517135273898e-11,
0.408,3.00516321912505e-11,
0.41,3.9307372847523096e-11,
0.412,4.59578990168759e-11,
0.414,4.77887121546716e-11,
0.416,4.2904377496387895e-11,
0.418,3.0522577378224797e-11,
0.42,1.1257457182246199e-11,
0.422,-1.32211959008621e-11,
0.424,-4.08168963424203e-11,
0.426,-6.94644727861844e-11,
0.428,-9.72142298489643e-11,
0.43,-1.22099969918321e-10,
0.432,-1.42100365149469e-10,
0.434,-1.55374715670409e-10,
0.436,-1.60714738704022e-10,
0.438,-1.58003795054238e-10,
0.44,-1.48463548506831e-10,
0.442,-1.34540811680535e-10,
0.444,-1.19401705132105e-10,
0.446,-1.06160934810522e-10,
0.448,-9.71396286664445e-11,
0.45,-9.34860647883751e-11,
0.452,-9.531068283991569e-11,
0.454,-1.02168356472091e-10,
0.456,-1.13510157952846e-10,
0.458,-1.28813439301378e-10,
0.46,-1.473997558814e-10,
0.462,-1.68193417848416e-10,
0.464,-1.8965761014058301e-10,
0.466,-2.09933030440595e-10,
0.468,-2.27042539693868e-10,
0.47,-2.3906256971390803e-10,
0.472,-2.44313710197917e-10,
0.474,-2.4168066642656003e-10,
0.476,-2.31041521497805e-10,
0.478,-2.13595957963972e-10,
0.48,-1.9183476348086401e-10,
0.482,-1.69067553062875e-10,
0.484,-1.4868779575365801e-10,
0.486,-1.33492521544799e-10,
0.488,-1.25284834935764e-10,
0.49,-1.24760180998652e-10,
0.492,-1.31516327162581e-10,
0.494,-1.4406587124931001e-10,
0.496,-1.59920767270609e-10,
0.498,-1.75956108657017e-10,
0.5,-1.89162307580812e-10,
0.502,-1.97579884330248e-10,
0.504,-2.00928657320033e-10,
0.506,-2.00483109168024e-10,
0.508,-1.98165816022445e-10,
0.51,-1.9535885268276301e-10,
0.512,-1.92153255077092e-10,
0.514,-1.87468348446429e-10,
0.516,-1.79879609795259e-10,
0.518,-1.6854943867287602e-10,
0.52,-1.53686893975189e-10,
0.522,-1.36392644917448e-10,
0.524,-1.18190744076161e-10,
0.526,-1.0065628187107901e-10,
0.528,-8.529526147661369e-11,
0.53,-7.350379962792549e-11,
0.532,-6.63437821392283e-11,
0.534,-6.40893789790298e-11,
0.536,-6.58117800038643e-11,
0.538,-6.93858270690048e-11,
0.54,-7.21023009587538e-11,
0.542,-7.168776030016669e-11,
0.544,-6.7246574501299e-11,
0.546,-5.964579646198219e-11,
0.548,-5.1150018611323395e-11,
0.55,-4.4489501951783296e-11,
0.552,-4.17831069385737e-11,
0.554,-4.3740306483337896e-11,
0.556,-4.9389063291747396e-11,
0.558,-5.636096631018279e-11,
0.56,-6.160955929993929e-11,
0.562,-6.23487370245494e-11,
0.564,-5.6946591477061695e-11,
0.566,-4.54906498966202e-11,
0.568,-2.98089096608513e-11,
0.57,-1.2913996514674798e-11,
0.572,1.9234596384819698e-12,
0.574,1.21059956114381e-11,
0.576,1.63055911495867e-11,
0.578,1.4581180490709398e-11,
0.58,8.10498878736071e-12,
0.582,-1.28856255495775e-12,
0.584,-1.1541766891028999e-11,
0.586,-2.0713258930230097e-11,
0.588,-2.7215869342756498e-11,
0.59,-2.9970888722644496e-11,
0.592,-2.8483067815294397e-11,
0.594,-2.2836974168583e-11,
0.596,-1.3631120011065899e-11,
0.598,-1.87594810987959e-12,
0.6,1.1131189813063699e-11,
0.602,2.3959872677630097e-11,
0.604,3.5227620156657694e-11,
0.606,4.3773641032090694e-11,
0.608,4.87730634485253e-11,
0.61,4.977477248366999e-11,
0.612,4.671581177180859e-11,
0.614,3.9995085354363894e-11,
0.616,3.06196696377678e-11,
0.618,2.0299773660236997e-11,
0.62,1.1287722772639099e-11,
0.622,5.84468514378352e-12,
0.624,5.46446810258874e-12,
0.626,1.0218741618036299e-11,
0.628,1.86120315138323e-11,
0.63,2.8087792115412396e-11,
0.632,3.5955227091190396e-11,
0.634,4.02758877025522e-11,
0.636,4.03203487602642e-11,
0.638,3.65125422445341e-11,
0.64,3.0076479553347697e-11,
0.642,2.2667615378839697e-11,
0.644,1.6099562074374297e-11,
0.646,1.2062691766120299e-11,
0.648,1.1705178221216599e-11,
0.65,1.5146254787792598e-11,
0.652,2.12298818732687e-11,
0.654,2.7834325494410497e-11,
0.656,3.27381857913062e-11,
0.658,3.46055256896706e-11,
0.66,3.34551673711188e-11,
0.662,3.0249670650603197e-11,
0.664,2.5847508145253897e-11,
0.666,2.0070071177240197e-11,
0.668,1.1622908460503399e-11,
0.67,-9.75674907050127e-13,
0.672,-1.80675193777339e-11,
0.674,-3.80998953841378e-11,
0.676,-5.807331152390159e-11,
0.678,-7.498870824285009e-11,
0.68,-8.736976980636789e-11,
0.682,-9.585660313604569e-11,
0.684,-1.02498897161289e-10,
0.686,-1.09261641809375e-10,
0.688,-1.16762175365817e-10,
0.69,-1.24040963483459e-10,
0.692,-1.29418618705359e-10,
0.694,-1.31765440473052e-10,
0.696,-1.31313057512354e-10,
0.698,-1.2954903314110301e-10,
0.7,-1.28402622292507e-10,
0.702,-1.29347397161807e-10,
0.704,-1.3296283456977e-10,
0.706,-1.39058705860183e-10,
0.708,-1.47065433121425e-10,
0.71,-1.56322673655997e-10,
0.712,-1.66138798001308e-10,
0.714,-1.75768525163567e-10,
0.716,-1.84506782007344e-10,
0.718,-1.9190825017307301e-10,
0.72,-1.97929986134457e-10,
0.722,-2.02793840096285e-10,
0.724,-2.0659642063034801e-10,
0.726,-2.08952728978434e-10,
0.728,-2.08994490640545e-10,
0.73,-2.0580122804139e-10,
0.732,-1.9900663310620902e-10,
0.734,-1.89174928994898e-10,
0.736,-1.7770330275073e-10,
0.738,-1.66344935542197e-10,
0.74,-1.56688737715922e-10,
0.742,-1.49891690891078e-10,
0.744,-1.46695493631197e-10,
0.746,-1.47513221117091e-10,
0.748,-1.52358492597666e-10,
0.75,-1.6061170283282e-10,
0.752,-1.70866443264627e-10,
0.754,-1.81134759394393e-10,
0.756,-1.89451132239233e-10,
0.758,-1.94582243771693e-10,
0.76,-1.96397690605696e-10,
0.762,-1.95632144759949e-10,
0.764,-1.93163926083237e-10,
0.766,-1.89262995499475e-10,
0.768,-1.8328252839496501e-10,
0.77,-1.73971553393569e-10,
0.772,-1.60191827002321e-10,
0.774,-1.41603557875454e-10,
0.776,-1.18969397389572e-10,
0.778,-9.400524586364579e-11,
0.78,-6.895691645388229e-11,
0.782,-4.6139928085150895e-11,
0.784,-2.7565347419925997e-11,
0.786,-1.4640000850509498e-11,
0.788,-7.90662736267473e-12,
0.79,-6.87896510956015e-12,
0.792,-1.0105090020089799e-11,
0.794,-1.55421167402627e-11,
0.796,-2.11526961337311e-11,
0.798,-2.5464250178807e-11,
0.8,-2.7813622509188797e-11,
0.802,-2.81634494934318e-11,
0.804,-2.66196337626337e-11,
0.806,-2.2942198329311397e-11,
0.808,-1.63268089954641e-11,
0.81,-5.57397434659038e-12,
0.812,1.0433501087834999e-11,
0.814,3.2152413981687596e-11,
0.816,5.89318485013583e-11,
0.818,8.88741115292413e-11,
0.82,1.19087669680213e-10,
0.822,1.46301909759828e-10,
