# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000  0.963694589970288E-002 -0.198478940659272E-005 -0.272293242148189E-002  0.311740459088310E-002 -0.732817132008586E-006 -0.432212931979388E-003  0.102588937657059E-003  0.447640993748798E-011  0.760116899052747E-005  0.141102840621450E+000  0.000000000000000E+000  0.998542841718839E-004 -0.110587512908619E-001  0.000000000000000E+000  0.890065971809112E-004  0.200323076115555E-001  0.000000000000000E+000  0.178930524092043E-007  0.141102840621450E+000  0.000000000000000E+000  0.998542841718839E-004 -0.110587512908619E-001  0.000000000000000E+000  0.890065971809112E-004  0.200323076115555E-001  0.000000000000000E+000  0.178930524092043E-007
      0.02000000  0.842305531978412E-002 -0.163462019904542E-005 -0.262438820332232E-002  0.601140020803711E-002 -0.139085534739770E-005 -0.854880884553738E-003  0.107084793381332E-003  0.460646179251209E-011  0.761823476851275E-005  0.150011324321690E+000  0.000000000000000E+000  0.864494259488384E-004 -0.203958810055974E-001  0.000000000000000E+000  0.180247714190245E-003  0.229193893867418E-001  0.000000000000000E+000  0.399627417176919E-007  0.150011324321690E+000  0.000000000000000E+000  0.864494259488384E-004 -0.203958810055974E-001  0.000000000000000E+000  0.180247714190245E-003  0.229193893867418E-001  0.000000000000000E+000  0.399627417176919E-007
      0.03000000  0.650479538853941E-002 -0.108896813210023E-005 -0.246218447379867E-002  0.847790426868992E-002 -0.190652239019950E-005 -0.125855578677623E-002  0.114187223835834E-003  0.482067921706189E-011  0.764631505144318E-005  0.164138987094347E+000  0.000000000000000E+000  0.618649607678399E-004 -0.263969952246390E-001  0.000000000000000E+000  0.275509921206697E-003  0.276384084412480E-001  0.000000000000000E+000  0.797329900541267E-007  0.164138987094347E+000  0.000000000000000E+000  0.618649607678399E-004 -0.263969952246390E-001  0.000000000000000E+000  0.275509921206697E-003  0.276384084412480E-001  0.000000000000000E+000  0.797329900541267E-007
      0.04000000  0.402900971672893E-002 -0.400910671925770E-006 -0.223940443980502E-002  0.103494831683778E-001 -0.222588817240906E-005 -0.163399738766733E-002  0.123344721150031E-003  0.511530752293453E-011  0.768487970792209E-005  0.182451547145574E+000  0.000000000000000E+000  0.229428356151041E-004 -0.276557077710305E-001  0.000000000000000E+000  0.375712172691144E-003  0.340534052281302E-001  0.000000000000000E+000  0.141686010414362E-006  0.182451547145574E+000  0.000000000000000E+000  0.229428356151041E-004 -0.276557077710305E-001  0.000000000000000E+000  0.375712172691144E-003  0.340534052281302E-001  0.000000000000000E+000  0.141686010414362E-006
      0.05000000  0.118149151681600E-002  0.362574614198510E-006 -0.196041016580571E-002  0.115089030069561E-001 -0.231381225623344E-005 -0.197230975039044E-002  0.133850770627831E-003  0.548518750795730E-011  0.773321376967958E-005  0.203589023438561E+000  0.000000000000000E+000 -0.343364262182825E-004 -0.230619269644715E-001  0.000000000000000E+000  0.480541388010545E-003  0.419803429399815E-001  0.000000000000000E+000  0.232099015756545E-006  0.203589023438561E+000  0.000000000000000E+000 -0.343364262182825E-004 -0.230619269644715E-001  0.000000000000000E+000  0.480541388010545E-003  0.419803429399815E-001  0.000000000000000E+000  0.232099015756545E-006
      0.06000000 -0.183015919600448E-002  0.112704239102338E-005 -0.163086426071591E-002  0.118975816399115E-001 -0.215722682839486E-005 -0.226511039926792E-002  0.144901931561079E-003  0.592385214031025E-011  0.779044335775213E-005  0.225947277041593E+000  0.000000000000000E+000 -0.114477573899497E-003 -0.118723807207208E-001  0.000000000000000E+000  0.588167653893389E-003  0.511931254264880E-001  0.000000000000000E+000  0.359046304012368E-006  0.225947277041593E+000  0.000000000000000E+000 -0.114477573899497E-003 -0.118723807207208E-001  0.000000000000000E+000  0.588167653893389E-003  0.511931254264880E-001  0.000000000000000E+000  0.359046304012368E-006
      0.07000000 -0.479516422455290E-002  0.181767457421006E-005 -0.125772760132072E-002  0.115182056186861E-001 -0.176626976702679E-005 -0.250473322213304E-002  0.155662660614763E-003  0.642364974764260E-011  0.785556723318097E-005  0.247774067741603E+000  0.000000000000000E+000 -0.222022404669541E-003  0.624078583781591E-002  0.000000000000000E+000  0.695059672398879E-003  0.614309360530940E-001  0.000000000000000E+000  0.532401896370482E-006  0.247774067741603E+000  0.000000000000000E+000 -0.222022404669541E-003  0.624078583781591E-002  0.000000000000000E+000  0.695059672398879E-003  0.614309360530940E-001  0.000000000000000E+000  0.532401896370482E-006
      0.08000000 -0.751771125039716E-002  0.236633336341703E-005 -0.849216817140237E-003  0.104314402764905E-001 -0.117318329121288E-005 -0.268445963532616E-002  0.165330928686337E-003  0.697589262160163E-011  0.792749273620928E-005  0.267273817129479E+000  0.000000000000000E+000 -0.361053898446522E-003  0.311661501070717E-001  0.000000000000000E+000  0.795916314393302E-003  0.724066222354588E-001  0.000000000000000E+000  0.763842697100849E-006  0.267273817129479E+000  0.000000000000000E+000 -0.361053898446522E-003  0.311661501070717E-001  0.000000000000000E+000  0.795916314393302E-003  0.724066222354588E-001  0.000000000000000E+000  0.763842697100849E-006
      0.09000000 -0.983276165365877E-002  0.271788247458369E-005 -0.414707592892300E-003  0.874731706859212E-002 -0.429120396232632E-006 -0.279876621449923E-002  0.173198757636145E-003  0.757102946011202E-011  0.800507471102486E-005  0.282714778405919E+000  0.000000000000000E+000 -0.534680321432569E-003  0.623551771011155E-001  0.000000000000000E+000  0.883724555573810E-003  0.838158140404194E-001  0.000000000000000E+000  0.106685213625136E-005  0.282714778405919E+000  0.000000000000000E+000 -0.534680321432569E-003  0.623551771011155E-001  0.000000000000000E+000  0.883724555573810E-003  0.838158140404194E-001  0.000000000000000E+000  0.106685213625136E-005
      0.10000000 -0.116180024815386E-001  0.283517308424272E-005  0.354256144152907E-004  0.661244891596626E-002  0.400790540605226E-006 -0.284357186126473E-002  0.178702462327301E-003  0.819883947505301E-011  0.808715590433328E-005  0.292532217119038E+000  0.000000000000000E+000 -0.744528872372351E-003  0.988501082318169E-001  0.000000000000000E+000  0.949947897458031E-003  0.953464419500220E-001  0.000000000000000E+000  0.145672424968098E-005  0.292532217119038E+000  0.000000000000000E+000 -0.744528872372351E-003  0.988501082318169E-001  0.000000000000000E+000  0.949947897458031E-003  0.953464419500220E-001  0.000000000000000E+000  0.145672424968098E-005
