# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.000369820092802173,0.00035573449823029303,-0.0039820460373468395,4.74831123170695e-05,5.07021002251726e-05,-0.00023528942837851098,1.39021546995524e-07,1.29117736198402e-07,1.5912051758656303e-05
0.02,0.000361373651669201,0.000344633930061359,-0.00398217980264446,9.44526801324229e-05,0.000100292390218368,-0.000474101457825868,1.39512224904931e-07,1.28831109285251e-07,1.60825281729021e-05
0.03,0.000347274710430146,0.000326402565767125,-0.00398090498718383,0.000140363366051147,0.000147678535643286,-0.000719771070334944,1.4030159903355e-07,1.28347584829107e-07,1.6365674910676198e-05
0.04,0.00032751596160185295,0.000301444298098718,-0.00397604012250967,0.00018461177490927601,0.000191808479831859,-0.000975265573250669,1.4134821253913902e-07,1.27659157791637e-07,1.6760037994174696e-05
0.05,0.000302133697927819,0.00027032221492159,-0.00396465874399429,0.000226520556643825,0.00023169351560841002,-0.00124301937383438,1.4259633400576698e-07,1.2675598505509902e-07,1.7263616120057998e-05
0.06,0.000271246646848575,0.000233753271114916,-0.00394321066655217,0.000265336423546305,0.000266433879352468,-0.00152479025967534,1.4397816108694e-07,1.2562760382372901e-07,1.78738956968116e-05
0.07,0.00023509597136638798,0.000192597916697035,-0.00390766912185648,0.000300243887286214,0.000295246247631499,-0.00182154298328013,1.45416507605442e-07,1.24264304256518e-07,1.85878968058476e-05
0.08,0.000194080696256039,0.000147843153250784,-0.00385369758546194,0.000330394542129571,0.000317491631704273,-0.00213336480119403,1.46827870128238e-07,1.22658534165377e-07,1.94022304551688e-05
0.09,0.00014878317679562901,0.000100578134405619,-0.00377682923547805,0.000354949742456771,0.00033270144078807203,-0.0024594162278858103,1.4812575336752698e-07,1.20806209822974e-07,2.0313167255949803e-05
0.1,9.99802384281488e-05,5.19623562415781e-05,-0.00367265140426301,0.000373132782070017,0.00034059907144816604,-0.0027979186775513,1.4922412113146e-07,1.1870781393752901e-07,2.13167172634254e-05
0.11,4.8637158516621706e-05,3.18755068709636e-06,-0.0035369871671967297,0.000384285386863334,0.000341114377609482,-0.0031461789478024102,1.50040831745273e-07,1.1636917909128699e-07,2.24087201925094e-05
0.12,-4.11644848885664e-06,-4.456458010146e-05,-0.00336606640119074,0.000387922633317135,0.00033438881434997403,-0.0035006487330200603,1.50500914587862e-07,1.1380188096200098e-07,2.3584944569220102e-05
0.13,-5.702776730588621e-05,-9.016584674511891e-05,-0.00315667926228542,0.000383780382438876,0.000320769883785984,-0.00385701564491964,1.50539548188824e-07,1.1102319826333802e-07,2.48411936500977e-05
0.14,-0.00010877596254645601,-0.000132582896735951,-0.00290630606958409,0.000371849970415493,0.000300794628102754,-0.004210320678496879,1.50104610525911e-07,1.0805563280237e-07,2.61734151858798e-05
0.15,-0.000158036856451676,-0.000170913028085943,-0.00261321900016961,0.000352396141826886,0.000275163146361186,-0.00455509581060523,1.49158688771602e-07,1.04926020284894e-07,2.7577811386640697e-05
0.16,-0.00020355149351948797,-0.00020441164167463798,-0.00227655271742459,0.000325955898714849,0.000244704266631223,-0.004885514564425379,1.47680458421019e-07,1.01664297359645e-07,2.90509448344258e-05
0.17,-0.000244192540770037,-0.00023250939611235,-0.0018963429586238,0.000293317869881788,0.000210336398788673,-0.005195548002134721,1.45665369759716e-07,9.83020199359174e-08,3.0589835659208194e-05
0.18,-0.000279022691268262,-0.000254818325983993,-0.00147353405329152,0.000255483756091206,0.000173027079611809,-0.00547911877105364,1.43125611869055e-07,9.487074953627609e-08,3.2192045113521994e-05
0.19,-0.000307340078037305,-0.00027112748298563,-0.00100995817104988,0.000213615158057336,0.00013375471760820502,-0.0057302465305287395,1.40089359319837e-07,9.140043651257381e-08,3.3855740807907104e-05
0.2,-0.00032870705522130097,-0.000281389858898675,-0.000508290644629397,0.00016897045426885802,9.347554563678441e-05,-0.0059431792807618,1.36599342568084e-07,8.791793032311099e-08,3.55797393426941e-05
0.21,-0.00034296039709919197,-0.000285703261652292,2.80131646659144e-05,0.000122837225028115,5.30978707743161e-05,-0.00611250670093202,1.32710817831043e-07,8.444573759952411e-08,3.73635229063335e-05
0.22,-0.000350202802959509,-0.000284288297212298,0.00059479340524558,7.646594402886801e-05,1.3464518309205e-05,-0.00623325343593221,1.28489043796922e-07,8.10011291851668e-08,3.92072275914844e-05
0.23,-0.000350777367454253,-0.000277466585722532,0.00118726763063075,3.10102783870156e-05,-2.46569079514339e-05,-0.0063009521687674205,1.2400639888377599e-07,7.75956693022447e-08,4.11116026598383e-05
0.24,-0.00034522818855135096,-0.00026564181743411096,0.0018001136022984103,-1.2521578694354598e-05,-6.0577476304741294e-05,-0.00631169808398823,1.19339292103446e-07,7.423520580514901e-08,4.3077941684600504e-05
0.25,-0.00033425138380623103,-0.000249285322041573,0.0024275486668677102,-5.33014435481549e-05,-9.368645114884591e-05,-0.00626218777866004,1.14565031460698e-07,7.09203229142359e-08,4.51079883052104e-05
0.26,-0.000318641370869389,-0.000228926642528235,0.00306340287835195,-9.07000112607076e-05,-0.000123449634770116,-0.00614974665436355,1.0975881527221598e-07,6.76472199841254e-08,4.7203821107950705e-05
0.27,-0.000299237305056203,-0.000205148373784308,0.00370118474582859,-0.000124290139276725,-0.000149409134868094,-0.0059723492218132605,1.0499100345872699e-07,6.440894484837849e-08,4.93677237500478e-05
