# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit
15.002,-0.0003245388092661746,9.123699256705454e-05
15.012,-0.00032878866780117563,9.123699256705454e-05
15.022,-0.0003323460444344057,9.123699256705454e-05
15.032,-0.00033523815771259577,9.123699256705454e-05
15.042,-0.0003374925966692328,9.123699256705454e-05
15.052,-0.0003391372403079489,9.123699256705454e-05
15.062,-0.000340200175358062,9.123699256705454e-05
15.072,-0.000340709603864907,9.123699256705454e-05
15.082,-0.000340693744250315,9.123699256705454e-05
15.092,-0.00034018076457115404,9.123699256705454e-05
15.102,-0.0003391987070489201,9.123699256705454e-05
15.112,-0.0003377764495097565,9.123699256705454e-05
15.122,-0.0003359405345222399,9.123699256705454e-05
15.132,-0.00033371819976681024,9.123699256705454e-05
15.142,-0.00033113627122835363,9.123699256705454e-05
15.152,-0.000328221125084157,9.123699256705454e-05
15.162,-0.00032499860447463236,9.123699256705454e-05
15.172,-0.00032149396501624373,9.123699256705454e-05
15.182,-0.00031773182753492413,9.123699256705454e-05
15.192,-0.00031373611947008254,9.123699256705454e-05
15.202,-0.0003095300315755759,9.123699256705454e-05
15.212,-0.0003051369902935812,9.123699256705454e-05
15.222,-0.00030057754744636147,9.123699256705454e-05
15.232,-0.00029587241610257983,9.123699256705454e-05
15.242,-0.00029104139840865814,9.123699256705454e-05
15.252,-0.0002861033850550544,9.123699256705454e-05
15.262,-0.0002810763062291927,9.123699256705454e-05
15.272,-0.00027597711177350707,9.123699256705454e-05
15.282,-0.00027082178798094235,9.123699256705454e-05
15.292,-0.00026562531755904765,9.123699256705454e-05
15.302,-0.000260401663232016,9.123699256705454e-05
15.312,-0.0002551648162401642,9.123699256705454e-05
15.322,-0.0002499257326017704,9.123699256705454e-05
15.332,-0.00024469538958081955,9.123699256705454e-05
15.342,-0.00023948378904255175,9.123699256705454e-05
15.352,-0.00023429995746176898,9.123699256705454e-05
15.362,-0.00022915197728023517,9.123699256705454e-05
15.372,-0.0002240469994481614,9.123699256705454e-05
15.382,-0.0002189912611944226,9.123699256705454e-05
15.392,-0.00021399013305936577,9.123699256705454e-05
