# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.000386358236284259,-1.92176413567248e-05,-0.000375351575956951,0.00036855965959934,-3.5820848804657404e-06,-6.00491459889426e-05,2.85108909428665e-07,3.8214907140656e-10,1.44494705507368e-07
0.02,-0.000491887919267618,-1.79428095263822e-05,-0.000362017378437869,0.0007264437842480731,-6.921528711063049e-06,-0.00011877711790012,7.696742967940879e-07,3.6985197339810196e-10,1.45164586027686e-07
0.03,-0.000665158770653649,-1.5939170000692998e-05,-0.000340139769840813,0.00106329555640744,-9.79953934681846e-06,-0.00017490008511891002,1.57303363045328e-06,3.5008811172083603e-10,1.46285102801964e-07
0.04,-0.000902440229361191,-1.3374663177838e-05,-0.000310224883145925,0.00136934506247957,-1.2042279484757e-05,-0.00022720736182722201,2.6895042677066603e-06,3.23898110309615e-10,1.4786266339138902e-07
0.05,-0.00119884346172176,-1.04587483822684e-05,-0.00027295595444177997,0.00163558671794406,-1.35368329028191e-05,-0.00027459417506143103,4.112369557628051e-06,2.9263126276245003e-10,1.49906914042891e-07
0.06,-0.0015485679403395198,-7.420492638747141e-06,-0.00022916923677353197,0.00185384451045567,-1.42402800945141e-05,-0.00031609001131847,5.83480213479401e-06,2.57849288171916e-10,1.5243143433867398e-07
0.07,-0.0019451123941773398,-4.48519958915684e-06,-0.000179824811790395,0.00201672766456255,-1.41809911072655e-05,-0.00035088131009863,7.85065269899423e-06,2.2121752413891499e-10,1.55454656711982e-07
0.08,-0.00238139997195407,-1.8522974142548699e-06,-0.000125973584092373,0.00211750430014758,-1.3452200487628e-05,-0.000378327484416057,1.01548902875663e-05,1.84392703670194e-10,1.5900102935366e-07
0.09,-0.00284978276946233,3.2301801758014197e-07,-6.87219658111936e-05,0.00214994201262715,-1.2198858463903699e-05,-0.000397969515378805,1.2743512490783699e-05,1.48916488462037e-10,1.63102443755796e-07
0.1,-0.0033419145088678897,1.94241951838704e-06,-9.19593474560048e-06,0.0021081779451708,-1.0599533424266199e-05,-0.000409530688518208,1.56128068330863e-05,1.1612310239754701e-10,1.6779995005404302e-07
0.11,-0.00384850846958839,2.97016185826124e-06,5.149373614962971e-05,0.00198668388512948,-8.84567526060341e-06,-0.000412909408302496,1.87579302999267e-05,8.7067832280321e-11,1.73145784327365e-07
0.12,-0.00435902615012107,3.43155774038043e-06,0.000112283241921258,0.00178038287679465,-7.120774524317529e-06,-0.00040816443449897405,2.2170872165422897e-05,6.24810183517345e-11,1.79205732006215e-07
0.13,-0.00486136573862827,3.40479644474981e-06,0.000172182717564527,0.00148495338482338,-5.58184908702302e-06,-0.000395493315044448,2.58379633998072e-05,4.27496780604807e-11,1.86061850472753e-07
0.14,-0.0053416339520094705,3.0074680174432997e-06,0.000230296788824043,0.00109732762670942,-4.34528340886517e-06,-0.000375205224980071,2.97371811976e-05,2.79263517793033e-11,1.93815571795012e-07
0.15,-0.00578408704101061,2.37972940876584e-06,0.000285837334575711,0.000616356333005631,-3.4784008650964598e-06,-0.00034768983521906,3.3835558027223e-05,1.7762384637248898e-11,2.0259120335200398e-07
0.16,-0.00617131535500172,1.66634692060578e-06,0.000338127465629167,4.35778959126808e-05,-2.9973618088382702e-06,-0.000313384200224064,3.8087032243892204e-05,1.17608898728946e-11,2.1253983996288e-07
0.17,-0.00648472141765472,9.9984545913386e-07,0.00038659619932379197,-0.000615999098178647,-2.87115956934007e-06,-0.000272739939932177,4.24310667535467e-05,9.24324821476364e-12,2.2384369616580896e-07
0.18,-0.00670530656500534,4.867051958425071e-07,0.000430763870506169,-0.0013532098289861401,-3.03074338353172e-06,-0.000226193168684406,4.67923129719684e-05,9.42228740448138e-12,2.36720861692947e-07
0.19,-0.00681474008345962,1.9802421582843302e-07,0.00047021894265206394,-0.00215425882051816,-3.38172562194295e-06,-0.00017413966568111298,5.10815134708915e-05,1.14752817721599e-11,2.51430477192355e-07
0.2,-0.00679664279862768,1.65394384215002e-07,0.0005045875348985981,-0.00300056213130821,-3.81879675530551e-06,-0.000116917666575524,5.5197726435978395e-05,1.4610563960661698e-11,2.68278321132509e-07
0.21,-0.00663797991557374,3.82015776780184e-07,0.000533497621507226,-0.0038689859621542297,-4.239905432811979e-06,-5.48003716719985e-05,5.90318297349068e-05,1.81227341328975e-11,2.87622792889257e-07
0.22,-0.00633043088213469,8.08402731739099e-07,0.000556540445095179,-0.00473252364486959,-4.5584544708771796e-06,1.20001890298095e-05,6.247113520273431e-05,2.14330221397434e-11,3.09881271563491e-07
