# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.000536736329419021,-0.000184143110805946,-0.0014530310127360698,-9.12201835507968e-05,-4.4065036676076895e-05,-0.000188285424832817,2.96407009205245e-07,3.5850412714554704e-08,2.14675052517729e-06
0.02,-0.000515397459605229,-0.00016822498205769,-0.00142319021211761,-0.000180626497401227,-8.53483095009321e-05,-0.00037544862278101297,2.98260472930959e-07,3.5583978522977e-08,2.1664320482155397e-06
0.03,-0.000479963544906829,-0.000142946041457341,-0.00137316335445776,-0.00026633164109027903,-0.000121289898843583,-0.0005602943543160059,3.0129754748537103e-07,3.5144810329810205e-08,2.1995073615040797e-06
0.04,-0.00043070273567551404,-0.00011006620244798001,-0.0013025305461241302,-0.00034631860250780295,-0.00014975175538313302,-0.000741478675990141,3.05441420961329e-07,3.45401571616494e-08,2.24637645053452e-06
0.05,-0.000368123102065673,-7.18281672433346e-05,-0.00121074549281458,-0.000418416522264813,-0.000169176573464678,-0.000917429333112441,3.1058700437863396e-07,3.37799986187859e-08,2.30758122962597e-06
0.06,-0.000293080844549705,-3.0764595896521504e-05,-0.00109718707176468,-0.00048031962611477,-0.000178690833746298,-0.0010862636293728599,3.16603324673e-07,3.2876874425623306e-08,2.38378814294584e-06
0.07,-0.00020688770236393402,1.0513142393511901e-05,-0.000961237232225559,-0.00052965460632964,-0.00017814358734893201,-0.0012457085186109301,3.2333652339563397e-07,3.1845663876532797e-08,2.47576672995648e-06
0.08,-0.000111399015217452,4.952327300512229e-05,-0.000802389629666351,-0.0005640954372951,-0.000168079625661368,-0.001393031123223,3.30613402968568e-07,3.07033151316054e-08,2.58436482806404e-06
0.09,-9.06490007475046e-06,8.409869974156099e-05,-0.000620390464239544,-0.000581518080172861,-0.000149652711312514,-0.00152499077842391,3.38245449981296e-07,2.9468525301407795e-08,2.71048120239732e-06
0.1,9.70698116744558e-05,0.00011253195198707,-0.000415408762129887,-0.000580181613709096,-0.00012449069628013,-0.00163782540293991,3.46033253224605e-07,2.81613736783319e-08,2.8550364901695703e-06
0.11,0.000203426168436324,0.00013366823488861998,-0.000188228319360373,-0.000558917719541616,-9.45289122739653e-05,-0.00172728501446815,3.5377122322228396e-07,2.68029122739384e-08,3.01894342141548e-06
0.12,0.000306015086510814,0.000146941094005425,5.9551603832804104e-05,-0.000517307719940177,-6.183069467742521e-05,-0.0017887232687560102,3.61252510281925e-07,2.54147199118042e-08,3.20307732570824e-06
