# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,1.69817550702207e-10,1.69868531202906e-10,1.69817550702207e-10,1.61558953004853e-11,1.60713215958111e-11,1.61558953004853e-11,2.6232150579203603e-09,-3.53173077447232e-11,2.6232150579203603e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0
0.022,0.0,-6.67208539664262e-06,1.9258405934308398e-10,2.1140381551827299e-10,1.9258405934308398e-10,-3.6806897864642394e-11,-7.37195930684539e-11,-3.6806897864642394e-11,2.6599551992932895e-07,-5.02602516119856e-11,2.6599551992932895e-07,-0.0,-0.0,-0.0,1.979050810950642e-12,-5.664485625553254e-16,1.979050810950642e-12
0.042,0.0,-1.00055141237505e-05,1.27684610264984e-10,2.20501536864994e-10,1.27684610264984e-10,2.02759765476661e-11,-1.75785120404084e-10,2.02759765476661e-11,7.94756568429021e-07,-8.73973874603485e-11,7.94756568429021e-07,-0.0,-0.0,-0.0,1.767027942609883e-11,-2.7554149480000458e-15,1.767027942609883e-11
0.062,0.0,-1.03902287571547e-05,2.3545216573603103e-11,2.0687467047959898e-10,2.3545216573603103e-11,1.4335295120304899e-10,-2.7002631078937303e-10,1.4335295120304899e-10,1.3785408586022699e-06,-9.662150370819879e-11,1.3785408586022699e-06,-0.0,-0.0,-0.0,5.520255616983096e-11,-5.811664429514209e-15,5.520255616983096e-11
0.082,0.0,-7.82618856938883e-06,-1.7081208665265699e-10,1.45303354272324e-10,-1.7081208665265699e-10,4.5316824358757203e-10,-3.16336371178519e-10,4.5316824358757203e-10,1.82338829387117e-06,-1.2421220602895698e-10,1.82338829387117e-06,-0.0,-0.0,-0.0,1.0339911659693495e-10,-9.004186360507089e-15,1.0339911659693495e-10
0.102,0.0,-2.31361955588098e-06,-4.62059862050905e-10,6.23723604641615e-11,-4.62059862050905e-10,1.05041239986517e-09,-2.94698231672209e-10,1.05041239986517e-09,1.94468636821995e-06,-1.38717229544294e-10,1.94468636821995e-06,-0.0,-0.0,-0.0,1.3428550767564116e-10,-1.1183118794720624e-14,1.3428550767564116e-10
0.122,0.0,6.1469855836460995e-06,-7.74138082869486e-10,1.07478457937648e-11,-7.74138082869486e-10,1.7979947594725897e-09,-2.61876662893603e-10,1.7979947594725897e-09,1.57387248295654e-06,-1.29592109198539e-10,1.57387248295654e-06,-0.0,-0.0,-0.0,1.2319457746092154e-10,-1.0281144845116967e-14,1.2319457746092154e-10
0.142,0.0,1.75548674856199e-05,-1.04462404161301e-09,-5.2971807191398706e-11,-1.04462404161301e-09,2.40808522451259e-09,-2.38304443639486e-10,2.40808522451259e-09,5.65829386006056e-07,-1.05636822036464e-10,5.65829386006056e-07,-0.0,-0.0,-0.0,8.436715466406421e-11,-5.773246975119141e-15,8.436715466406421e-11
0.162,0.0,3.19090001849905e-05,-1.0539895277196301e-09,-7.10599250028513e-11,-1.0539895277196301e-09,2.50155943895357e-09,-2.03260738342724e-10,2.50155943895357e-09,-1.20312814916145e-06,-5.3925628383116796e-11,-1.20312814916145e-06,-0.0,-0.0,-0.0,1.187300791554304e-10,5.539735891759896e-16,1.187300791554304e-10
0.182,0.0,4.92080911995455e-05,-6.56404687102136e-10,-7.694548332071449e-11,-6.56404687102136e-10,1.6307753239423598e-09,-1.7461180082936102e-10,1.6307753239423598e-09,-3.83340752266679e-06,-3.63049202704009e-12,-3.83340752266679e-06,-0.0,-0.0,-0.0,4.706353043058161e-10,3.746926855028074e-15,4.706353043058161e-10
0.202,0.0,6.94505816362473e-05,2.6544660006412196e-10,-1.0270362500436999e-10,2.6544660006412196e-10,-5.634905037460669e-10,-1.3013104897416e-10,-5.634905037460669e-10,-7.402745289987131e-06,3.99168098501027e-11,-7.402745289987131e-06,-0.0,-0.0,-0.0,1.5901585707539043e-09,-2.3856902870791607e-16,1.5901585707539043e-09
0.222,0.0,9.26346463195461e-05,1.84206146690435e-09,-1.2627563636350102e-10,1.84206146690435e-09,-4.40692351052056e-09,-6.67782918646936e-11,-4.40692351052056e-09,-1.1972048321520401e-05,8.39018721146612e-11,-1.1972048321520401e-05,-0.0,-0.0,-0.0,4.1986892974602225e-09,-1.8783571320645503e-14,4.1986892974602225e-09
0.242,0.0,0.000118758193941226,4.1694980417404e-09,-1.3654111820842401e-10,4.1694980417404e-09,-1.0193308692587e-08,-1.62540344847539e-11,-1.0193308692587e-08,-1.7586897939912198e-05,1.31934873327539e-10,-1.7586897939912198e-05,-0.0,-0.0,-0.0,9.356325640265828e-09,-5.645615479728917e-14,9.356325640265828e-09
0.262,0.0,0.000147818867232647,7.295854765324851e-09,-1.3135212700259002e-10,7.295854765324851e-09,-1.80503263003098e-08,4.68302744969074e-11,-1.80503263003098e-08,-2.4276967802090197e-05,1.52320181565747e-10,-2.4276967802090197e-05,-0.0,-0.0,-0.0,1.8528562883811137e-08,-1.2028813581480118e-13,1.8528562883811137e-08
0.282,0.0,0.000179814043158941,1.1174065706088601e-08,-1.34000327183685e-10,1.1174065706088601e-08,-2.79872485711139e-08,1.10852130596693e-10,-2.79872485711139e-08,-3.20571860385965e-05,1.70889759559257e-10,-3.20571860385965e-05,-0.0,-0.0,-0.0,3.365037512506433e-08,-2.0573564164761856e-13,3.365037512506433e-08
0.302,0.0,0.00021474083313419498,1.5678963189303796e-08,-1.58483984948759e-10,1.5678963189303796e-08,-3.9774461743841703e-08,1.91408398757364e-10,-3.9774461743841703e-08,-4.0928001470098205e-05,1.63460808483429e-10,-4.0928001470098205e-05,-0.0,-0.0,-0.0,5.718590860713028e-08,-3.1036680805319365e-13,5.718590860713028e-08
0.322,0.0,0.000252596083259295,2.06397334014675e-08,-1.80124503211924e-10,2.06397334014675e-08,-5.29879225010388e-08,2.6285671779640003e-10,-5.29879225010388e-08,-5.08749630529606e-05,1.2561626200007502e-10,-5.08749630529606e-05,-0.0,-0.0,-0.0,9.218139095746939e-08,-4.1687613190544463e-13,9.218139095746939e-08
0.342,0.0,0.000293376374582367,2.5837595035895e-08,-1.76834210064935e-10,2.5837595035895e-08,-6.705171864165241e-08,3.13507774111705e-10,-6.705171864165241e-08,-6.18693538802006e-05,1.16724404990323e-10,-6.18693538802006e-05,-0.0,-0.0,-0.0,1.4230934597851572e-07,-5.224600212483031e-13,1.4230934597851572e-07
0.362,0.0,0.000337078023378577,3.10025519265829e-08,-1.18988076406944e-10,3.10025519265829e-08,-8.12690426551368e-08,3.28542370333547e-10,-8.12690426551368e-08,-7.38699655029097e-05,1.3186177081550198e-10,-7.38699655029097e-05,-0.0,-0.0,-0.0,2.1190330507616894e-07,-6.427465877167716e-13,2.1190330507616894e-07
0.382,0.0,0.000383697081453931,3.574248144354e-08,-2.07476953702634e-11,3.574248144354e-08,-9.472786864852179e-08,3.02686398237429e-10,-9.472786864852179e-08,-8.682474655510659e-05,1.6743453678726301e-10,-8.682474655510659e-05,-0.0,-0.0,-0.0,3.059827164456582e-07,-8.146428494830227e-13,3.059827164456582e-07
0.402,0.0,0.000433229336470941,3.95619370068595e-08,3.6344241860792896e-11,3.95619370068595e-08,-1.06359338051482e-07,2.41210038019253e-10,-1.06359338051482e-07,-0.000100670789731898,1.58725091249301e-10,-0.000100670789731898,-0.0,-0.0,-0.0,4.3026650226448997e-07,-1.0215539620402472e-12,4.3026650226448997e-07
0.422,0.0,0.00048567031229364006,4.2084911742140494e-08,8.70795508522974e-11,4.2084911742140494e-08,-1.1507905642268801e-07,1.6001330715993602e-10,-1.1507905642268801e-07,-0.00011533535383323701,1.42688410376646e-10,-0.00011533535383323701,-0.0,-0.0,-0.0,5.911733847466881e-07,-1.239242596247903e-12,5.911733847466881e-07
0.442,0.0,0.000541015269358394,4.2874647834468195e-08,1.28286920005104e-10,4.2874647834468195e-08,-1.19771152922485e-07,7.74927534033864e-11,-1.19771152922485e-07,-0.00013073973079054198,1.0348361779914799e-10,-0.00013073973079054198,-0.0,-0.0,-0.0,7.958123542373635e-07,-1.4361757536309903e-12,7.958123542373635e-07
0.462,0.0,0.000599259205060516,4.15269404556136e-08,1.76050442404401e-10,4.15269404556136e-08,-1.19349915118065e-07,-4.52595721017038e-11,-1.19349915118065e-07,-0.00014680060745518402,8.66470804053541e-11,-0.00014680060745518402,-0.0,-0.0,-0.0,1.0519644335013218e-06,-1.61069468441344e-12,1.0519644335013218e-06
0.482,0.0,0.0006603968541682901,3.7630738796281496e-08,1.89798885876217e-10,3.7630738796281496e-08,-1.1270627890166099e-07,-1.54995352035657e-10,-1.1270627890166099e-07,-0.000163430948757088,8.144132050682909e-11,-0.000163430948757088,-0.0,-0.0,-0.0,1.3680540577028813e-06,-1.7912651614258257e-12,1.3680540577028813e-06
