# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,5.46509243907152e-07,-1.2990001750688701e-10,-1.2990001750688701e-10,-1.2990001750688701e-10,-1.58633970017097e-10,-1.58633970017097e-10,-1.58633970017097e-10,-3.4222994287784505e-09,-3.4222994287784505e-09,-3.4222994287784505e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,1.55157457001752e-05,-5.67245803666397e-10,-5.67245803666397e-10,-5.67245803666397e-10,-8.0599167637036e-10,-8.0599167637036e-10,-8.0599167637036e-10,-5.15837726129831e-07,-5.15837726129831e-07,-5.15837726129831e-07,0.0,0.0,0.0,7.673161980272364e-12,7.673161980272364e-12,7.673161980272364e-12
0.042,0.0,3.82994119217079e-05,-3.19435342502352e-09,-3.19435342502352e-09,-3.19435342502352e-09,-2.8106231771083603e-09,-2.8106231771083603e-09,-2.8106231771083603e-09,-2.16998509520993e-06,-2.16998509520993e-06,-2.16998509520993e-06,0.0,0.0,0.0,1.3364430074512666e-10,1.3364430074512666e-10,1.3364430074512666e-10
0.062,0.0,6.88913381713121e-05,-1.24438595646971e-08,-1.24438595646971e-08,-1.24438595646971e-08,-9.26292094232228e-09,-9.26292094232228e-09,-9.26292094232228e-09,-5.34024531469312e-06,-5.34024531469312e-06,-5.34024531469312e-06,0.0,0.0,0.0,8.186682533454907e-10,8.186682533454907e-10,8.186682533454907e-10
0.082,0.0,0.000107283232896935,-3.52586458051714e-08,-3.52586458051714e-08,-3.52586458051714e-08,-2.4998100439158e-08,-2.4998100439158e-08,-2.4998100439158e-08,-1.03610029210225e-05,-1.03610029210225e-05,-1.03610029210225e-05,0.0,0.0,0.0,3.1421411212107613e-09,3.1421411212107613e-09,3.1421411212107613e-09
0.102,0.0,0.000153464684780623,-8.22146710851589e-08,-8.22146710851589e-08,-8.22146710851589e-08,-5.71121924947292e-08,-5.71121924947292e-08,-5.71121924947292e-08,-1.75114810261008e-05,-1.75114810261008e-05,-1.75114810261008e-05,0.0,0.0,0.0,9.196363842212774e-09,9.196363842212774e-09,9.196363842212774e-09
0.122,0.0,0.000207423165311339,-1.66536639094361e-07,-1.66536639094361e-07,-1.66536639094361e-07,-1.14227781092149e-07,-1.14227781092149e-07,-1.14227781092149e-07,-2.70136500622401e-05,-2.70136500622401e-05,-2.70136500622401e-05,0.0,0.0,0.0,2.2503766332426778e-08,2.2503766332426778e-08,2.2503766332426778e-08
0.142,0.0,0.000269144031881959,-3.03690521677569e-07,-3.03690521677569e-07,-3.03690521677569e-07,-2.05817742553095e-07,-2.05817742553095e-07,-2.05817742553095e-07,-3.90417854052318e-05,-3.90417854052318e-05,-3.90417854052318e-05,0.0,0.0,0.0,4.845992511758401e-08,4.845992511758401e-08,4.845992511758401e-08
0.162,0.0,0.000338610531408584,-5.10721455095284e-07,-5.10721455095284e-07,-5.10721455095284e-07,-3.41547566465463e-07,-3.41547566465463e-07,-3.41547566465463e-07,-5.37258027501173e-05,-5.37258027501173e-05,-5.37258027501173e-05,0.0,0.0,0.0,9.478833755370841e-08,9.478833755370841e-08,9.478833755370841e-08
0.182,0.0,0.000415803804471458,-8.04554172220196e-07,-8.04554172220196e-07,-8.04554172220196e-07,-5.30763185479955e-07,-5.30763185479955e-07,-5.30763185479955e-07,-7.11553203300748e-05,-7.11553203300748e-05,-7.11553203300748e-05,0.0,0.0,0.0,1.719919207421654e-07,1.719919207421654e-07,1.719919207421654e-07
0.202,0.0,0.000500702889976525,-1.20190784458964e-06,-1.20190784458964e-06,-1.20190784458964e-06,-7.82093041885817e-07,-7.82093041885817e-07,-7.82093041885817e-07,-9.13857156946128e-05,-9.13857156946128e-05,-9.13857156946128e-05,0.0,0.0,0.0,2.937929226063684e-07,2.937929226063684e-07,2.937929226063684e-07
