# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.017984128471186,0.00117827020369744,-0.00370590655854554,0.00298961623088077,0.000277635999545379,-8.76551320066352e-05,0.00033236668207607,1.46540242116477e-06,1.37414268428379e-05
0.02,0.01732778980364,0.00109791620397402,-0.00375449265091492,0.00591231392766735,0.000545202904479044,-0.00018514774544345,0.00033520775545842,1.5026661980011e-06,1.41304947534169e-05
0.03,0.0162518775873465,0.000966995201497508,-0.00383212484366534,0.00870307198419355,0.00079292000584649,-0.000301975695319925,0.000339866987076149,1.5638018553908e-06,1.47763701380011e-05
0.04,0.0147827468019954,0.000789959271516879,-0.00393385586965633,0.0113005909613846,0.00101158989451466,-0.000446953782497657,0.000346232959088433,1.64734976533965e-06,1.56749896869185e-05
0.05,0.0129560761746938,0.000572927478326483,-0.00405290817620237,0.013648974614563,0.00119290311325509,-0.000627865608837011,0.000354154417873453,1.75126373303522e-06,1.68202799074883e-05
0.06,0.010815714817122,0.000323549027066666,-0.00418084187154695,0.0156992063074221,0.00132974974593503,-0.000851115031013997,0.000363444765688315,1.87291835973006e-06,1.82038355508982e-05
0.07,0.00841228803887331,5.08008235831239e-05,-0.00430779272031554,0.0174103680805812,0.00141652759393669,-0.0011213881146389,0.000373887506750291,2.00913114806079e-06,1.98145894248569e-05
0.08,0.00580162215284491,-0.000235290476551109,-0.00442278806068578,0.0187505627754141,0.00144942898787959,-0.00144134314596069,0.000385242423999127,2.1562059992613e-06,2.16385242941525e-05
0.09,0.00304305440487162,-0.000524005200650684,-0.00451414250411568,0.0196975139820353,0.00142668219985426,-0.00181135161536258,0.000397252237183487,2.31000354968995e-06,2.36584772219404e-05
0.1,0.00019769694312158,-0.000804360147962669,-0.00456992688879983,0.0202388338542294,0.00134872025183427,-0.00222931591645414,0.00040964947986042,2.46604156533842e-06,2.58540812243315e-05
0.11,-0.00267327710037058,-0.0010655941919191,-0.00457849431894945,0.0203719641317457,0.00121825063690752,-0.00269058892310893,0.000422163333040501,2.61962559617728e-06,2.82018789818089e-05
0.12,-0.00551026168422927,-0.00129768305188685,-0.00452903764845096,0.0201038101522352,0.00104020446647258,-0.00318801622905435,0.000434526166465798,2.76600663522387e-06,3.06756294978001e-05
0.13,-0.00825670384777295,-0.00149184800561764,-0.00441214494776824,0.0194501004009583,0.000821552538271205,-0.00371211385218652,0.000446479564037185,2.9005590450052e-06,3.32468122917119e-05
0.14,-0.0108604014733227,-0.00164101853117636,-0.00422031466085745,0.0184345145308343,0.000570987844171333,-0.00425138337756172,0.000457779646149291,3.01896893785564e-06,3.58853164596564e-05
0.15,-0.0132745786729757,-0.00174020862361201,-0.00394839128563374,0.017087630247472,0.00029848763325903,-0.00479275406889978,0.000468201546419343,3.11742092090219e-06,3.85602853094238e-05
0.16,-0.015458717722279,-0.00178677123820585,-0.00359388594981938,0.015445743657098,1.4781528305207e-05,-0.00532212895044138,0.000477542950737887,3.1927699512587e-06,4.12410727854354e-05
0.17,-0.0173791397282497,-0.00178050467454039,-0.00315715405719024,0.0135496185138923,-0.000269236480035197,-0.005825000867169,0.00048562665956604,3.24268517824193e-06,4.38982568433524e-05
0.18,-0.019009338807426,-0.00172359776035887,-0.0026414135084106,0.0114432174109869,-0.000543106690883234,-0.00628709654475589,0.000492302186610625,3.26575411719626e-06,4.65046482854955e-05
0.19,-0.0203300856648337,-0.00162041589728779,-0.0020526006181777,0.00917246269999837,-0.000797364729167453,-0.00669500280759565,0.000497446455122336,3.26153819150328e-06,4.9036231891457e-05
0.2,-0.0213293254485176,-0.00147714552961038,-0.00139907518597013,0.00678406736185458,-0.00102401925180437,-0.00703672997286271,0.00050096369405896,3.23057434371392e-06,5.14729800869818e-05
0.21,-0.0220019011385345,-0.00130132845449506,-0.000691199542049923,0.00432446690498,-0.00121690835504671,-0.00730217301534773,0.000502784667722114,3.174321691061e-06,5.37994875530025e-05
0.22,-0.0223491372732648,-0.00110132786796137,5.91727948249889e-05,0.00183887344602654,-0.00137190873636753,-0.00748344078112544,0.000502865392409733,3.0950566536699e-06,5.60053873442588e-05
0.23,-0.0223783195233853,-0.000885773838544415,0.000839256201141409,-0.000629536734782839,-0.00148698650694981,-0.00757503618627425,0.000501185501191167,2.99572416490049e-06,5.80855241945186e-05
0.24,-0.022102103738311,-0.00066303634400366,0.0016358946876635,-0.00304029989720447,-0.00156209438565653,-0.00757388447321243,0.000497746413124001,2.8797560631694e-06,6.0039877442694e-05
0.25,-0.0215378840670029,-0.000440769126981982,0.00243608352335711,-0.00535621106672495,-0.0015989348950411,-0.00747922055416501,0.000492569447074965,2.75087022188057e-06,6.18732430306164e-05
0.26,-0.0207071442145871,-0.000225558146410575,0.00322741463409872,-0.00754375060129713,-0.00160062134628779,-0.00729235865224227,0.000485693994658278,2.61286517160431e-06,6.35946999333273e-05
0.27,-0.0196348095580838,-2.26956233775437e-05,0.00399841973570626,-0.0095734052406894,-0.00157127646350818,-0.00701637652783336,0.000477175834284678,2.46942481609527e-06,6.52168999632162e-05
0.28,-0.0183486114545162,0.000163913711969827,0.00473879731955567,-0.0114198988506346,-0.00151561165507863,-0.00665575165720681,0.00046708563206753,2.3239463939819e-06,6.67552301582392e-05
0.29,-0.0168784693280597,0.000331721745184349,0.00543952233858383,-0.0130623471051241,-0.00143852805346611,-0.0062159874502628,0.000455507638752996,2.17940227683716e-06,6.82269032537772e-05
0.3,-0.0152558915939919,0.000479401298069823,0.00609284923201305,-0.0144843477570602,-0.00134477403722277,-0.00570326415055841,0.000442538558275088,2.03824281577947e-06,6.96500337350867e-05
0.31,-0.0135133935621499,0.000606634418316081,0.00669222847328715,-0.0156740144957423,-0.00123868410060452,-0.00512414215115882,0.000428286535978294,1.90234361857613e-06,7.10427547239578e-05
0.32,-0.0116839293423289,0.000713858195018222,0.00723216318495376,-0.0166239583282167,-0.00112401211279182,-0.00448533616652021,0.000412870195374821,1.77299675229741e-06,7.24224248604947e-05
0.33,-0.00980033540133216,0.000802002012517015,0.0077080350573333,-0.0173312166067027,-0.00100385983809434,-0.00379356832462272,0.000396417643047051,1.65094180262014e-06,7.380496507866e-05
0.34,-0.00789478553373822,0.000872246421811458,0.00811592785035348,-0.0177971268441792,-0.000880690628848372,-0.00305549812065101,0.000379065362531525,1.53642980410423e-06,7.52043536374452e-05
0.35,-0.00599826016538085,0.000925826841527815,0.00845247262238529,-0.0180271407677567,-0.000756409731792803,-0.00227771849650631,0.000360956929272111,1.42931102284423e-06,7.66322949814999e-05
0.36,-0.00414003654891216,0.000963896315293734,0.00871473234811485,-0.0180305739220761,-0.000632487506600323,-0.00146680098361678,0.00034224149858578,1.32913655264233e-06,7.80980650248185e-05
0.37,-0.00234720992363873,0.000987451930682561,0.00890013581099502,-0.0178202876065572,-0.00051010035958587,-0.000629369390167505,0.000323072044806043,1.23526369225835e-06,7.96085232834358e-05
0.38,-0.000644258512034344,0.000997320586113878,0.00900646269720175,-0.0174123028488352,-0.000390266138134437,0.000227818971000378,0.000303603359529884,1.1469560100609e-06,8.11682717996344e-05
0.39,0.000947333174315819,0.000994192687628721,0.00903187469676741,-0.0168253501277137,-0.000273955451055842,0.00109780332379309,0.000283989847063316,1.06347068929763e-06,8.27799326758386e-05
0.4,0.00240937817631491,0.000978687811769011,0.00897498193246266,-0.0160803631620216,-0.000162166897060504,0.00197337528598503,0.000264383182619004,9.84127935407447e-07,8.44445107073677e-05
0.41,0.00372720512689795,0.000951434687467706,0.00883493068091782,-0.015199929694241,-5.59613697267228e-05,0.00284706956548513,0.000244929920767844,9.08359639418463e-07,8.61618052473347e-05
0.42,0.0048897807178834,0.000913148889244799,0.00861149727621085,-0.0142077162278958,4.35426350847109e-05,0.00371119261683866,0.000225769155881398,8.3573685499913e-07,8.79308359774646e-05
0.43,0.00588973130903916,0.000864694877550596,0.00830517412357465,-0.0131278865981731,0.00013520536284165,0.00455788691894986,0.000207030341427169,7.65977721403383e-07,8.97502503888282e-05
0.44,0.00672326374217968,0.000807123688485706,0.00791723646807356,-0.0119845356681895,0.00021792296753684,0.00537922417380269,0.000188831370529014,6.98939068294835e-07,9.16186860034171e-05
0.45,0.0073899910795397,0.000741682766205972,0.00744978235805862,-0.0108011591286145,0.000290693371512055,0.00616731788420248,0.000171277006677329,6.34595961927988e-07,9.35350670672452e-05
0.46,0.00789267435572449,0.000669799282651714,0.00690574244951818,-0.00960017831963359,0.000352679436517928,0.00691444460161703,0.000154457732254274,5.73013863983353e-07,9.54988229279083e-05
