# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.000850055060906508,-7.52181610787541e-05,-0.000170086365123461,0.000425477463159003,7.05336836372121e-05,7.78639994095151e-05,9.03624678228987e-07,1.06327722835037e-08,3.49921740049564e-08
0.02,0.000777879355160379,-0.000100165588555994,-0.000196628570577923,0.000846287345796632,0.000138309548621008,0.000153195786590136,1.32129856284024e-06,2.91626763705157e-08,6.21317437964877e-08
0.03,0.000658267444005959,-0.000141309715098334,-0.000240744636098694,0.00125777224945574,0.000200499825601749,0.000223304871625342,2.01530705933909e-06,6.01686156475038e-08,1.07823045501903e-07
0.04,0.000492267392150405,-0.000197895661430542,-0.000302092186000948,0.00165530531480345,0.000254167165650419,0.000285226836347064,2.98236287059111e-06,1.03763640907799e-07,1.72614037015386e-07
0.05,0.000281391193802046,-0.000268684643639594,-0.000379900613696981,0.00203432874366719,0.000296280278089141,0.000335686087402636,4.21767444125988e-06,1.59973440912314e-07,2.57009625563032e-07
0.06,2.76409888166044e-05,-0.000351821956780181,-0.000472746549127334,0.00239041448613756,0.000323799871963656,0.000371160104219565,5.71484543979904e-06,2.28625046356316e-07,3.61249122676081e-07
0.07,-0.000266479677194074,-0.000444729301157059,-0.000578349034272102,0.00271934599630639,0.000333837060567003,0.000388051635360283,7.46585406598505e-06,3.09231334315663e-07,4.85071677149263e-07
0.08,-0.000597980169516933,-0.00054405332775782,-0.000693429028529138,0.00301721465925088,0.0003238725782737,0.00038295717730925,9.46116458313393e-06,4.00887470402012e-07,6.27500017259532e-07
0.09,-0.000963430056911625,-0.000645695934541915,-0.000813670870037881,0.00328051994469386,0.00029201261526171,0.00035300316498045,1.16900085820949e-05,5.02194607355941e-07,7.86671519234418e-07
0.1,-0.00135904180808187,-0.000744940941648294,-0.000933810332149783,0.00350625940556452,0.000237247821860873,0.000296208140037212,1.41408496552241e-05,6.11223535521575e-07,9.59740998653992e-07
0.11,-0.00178078536786738,-0.000836677900510128,-0.0010478567558571,0.00369199392386928,0.000159677607254355,0.0002118217306639,1.68020156602982e-05,7.25526847460511e-07,1.14287222637681e-06
0.12,-0.00222452511519613,-0.000915709011483905,-0.00114943783813587,0.00383587537391717,6.06630717254381e-05,0.000100590739057189,1.96624518723625e-05,8.42203001983996e-07,1.33132584052252e-06
0.13,-0.0026861647077905,-0.000977111659689642,-0.00123223769706584,0.00393662798718898,-5.71212655603464e-05,-3.5090834492033e-05,2.27125207468988e-05,9.58010034480661e-07,1.51964110873548e-06
0.14,-0.00316178217617075,-0.00101661897730917,-0.00129048436871574,0.00399348064187105,-0.000189755227526979,-0.000191178233178291,2.59447541665499e-05,1.06952119139895e-06,1.70189902274083e-06
0.15,-0.00364773695690201,-0.00103097566815827,-0.00131943397246965,0.00400605423075374,-0.000332263819089081,-0.00036213196307677,2.93544554064887e-05,1.17331007381006e-06,1.87204556638889e-06
0.16,-0.00414073260274362,-0.0010182269367035,-0.00131579668020793,0.00397421516538578,-0.000478918967483077,-0.000541227034732964,3.29400526682064e-05,1.26614947204365e-06,2.02424760677205e-06
0.17,-0.00463782351492222,-0.000977904758398255,-0.00127805465479076,0.00389791190254074,-0.000623625374934325,-0.000720990058472137,3.67031241555343e-05,1.34520632475993e-06,2.15325036504798e-06
0.18,-0.00513636065606145,-0.000911087082757667,-0.00120663361320021,0.00377701521147527,-0.000760352316536726,-0.000893722813763642,4.06480446968516e-05,1.40821531763064e-06,2.2547051443462e-06
0.19,-0.00563387895168308,-0.000820320335191637,-0.00110390607336015,0.00361118408931094,-0.000883566674629353,-0.00105206000919037,4.47812425691102e-05,1.45361552084449e-06,2.32543888173908e-06
0.2,-0.00612793691513952,-0.000709411757836346,-0.00097402347322702,0.00339977750242259,-0.00098862170915713,-0.00118950453361213,4.91100979019084e-05,1.48063792597322e-06,2.36364276188104e-06
0.21,-0.00661592584386213,-0.000583113500625043,-0.00082259369469853,0.00314182762720766,-0.00107206111527374,-0.0013008860518356,5.36415556105682e-05,1.48933638949318e-06,2.3689649064182e-06
0.22,-0.00709487077039855,-0.000446732876429099,-0.00065623760277459,0.0028360835271013,-0.00113180808836915,-0.00138269785868267,5.8380561021351e-05,1.48055981178044e-06,2.34250115970098e-06
0.23,-0.00756124751583089,-0.000305711194460567,-0.000482070912076156,0.00248112609900903,-0.0011672229748003,-0.00143328116311466,6.33284507148426e-05,1.45586880732017e-06,2.28668725680924e-06
0.24,-0.00801083936195535,-0.000165216106084889,-0.000307164553847663,0.00207554671236362,-0.00117902872283689,-0.00145284347655644,6.84814414382566e-05,1.41740509098425e-06,2.20510423051305e-06
0.25,-0.00843865312345493,-2.97892374768417e-05,-0.000138037092669986,0.00161817435100233,-0.00116911865211477,-0.00144331622251763,7.38293547682374e-05,1.36772582139211e-06,2.10221595713536e-06
0.26,-0.00883890825220236,9.69173694923039e-05,1.97731382371921e-05,0.00110833023913,-0.00114027402579123,-0.00140807373907866,7.9354695009821e-05,1.30961783040345e-06,1.9830626316787e-06
0.27,-0.00920510485637243,0.000212294568553098,0.000162019621374466,0.000546085619669067,-0.00109582791757711,-0.00135154947387039,8.50321649208207e-05,1.24590780877853e-06,1.85293633802965e-06
0.28,-0.00953016818331699,0.000314811902658841,0.000285921079866494,-6.75020664621969e-05,-0.00103931589634934,-0.00127879388561521,9.08286621312841e-05,1.17928406646011e-06,1.71706466579888e-06
0.29,-0.00980665926756679,0.000403942914020606,0.000390191105563513,-0.000730196901120651,-0.000974152805621686,-0.00119502159997618,9.67037535045598e-05,1.11214356648806e-06,1.58032572327052e-06
0.3,-0.010027035056035,0.000479999560085664,0.00047493406510454,-0.00143845349931784,-0.000903368827980326,-0.0011051927329532,0.000102610580484654,1.04647481704898e-06,1.44701334316928e-06
0.31,-0.0101839371312979,0.000543904581547141,0.000541430664786198,-0.00218735805231838,-0.00082942816806888,-0.00101366573234284,0.000108497110743269,9.83783279814069e-07,1.32066538169697e-06
0.32,-0.0102704865719664,0.000596935609734166,0.000591846027951099,-0.00297064469387687,-0.00075414159015126,-0.000923947914225946,0.000114307624322202,9.25061660164572e-07,1.20396146900397e-06
0.33,-0.0102805635542287,0.000640475058890108,0.0006288979581401,-0.0037807832133555,-0.000678671452801542,-0.000838556762007193,0.000119984308698925,8.70803241908043e-07,1.09869008486077e-06
0.34,-0.0102090536856407,0.000675795719763788,0.000655523076050219,-0.0046091279709498,-0.000603616497794032,-0.00075899178929276,0.000125468837808887,8.21052731260188e-07,1.00577903944817e-06
0.35,-0.0100520481472101,0.000703904332456035,0.000674574209324044,-0.00544611350579019,-0.000529154897766218,-0.000685804979974536,0.00013070382427178,7.75486215080352e-07,9.25378834443032e-07
0.36,-0.00980699068453022,0.000725455567260977,0.000688574772772932,-0.00628148017632229,-0.000455218910216886,-0.000618748792992896,0.000135634059491992,7.33510036288994e-07,8.56985286529461e-07
0.37,-0.00947277044937984,0.000740738289606725,0.00069954622190985,-0.00710451330341324,-0.000381673318798566,-0.000556975247606927,0.00014020748926502,6.94367735972208e-07,7.99586343035142e-07
0.38,-0.00904976483257371,0.000749726216246824,0.000708914429328409,-0.00790428143896702,-0.000308472478136559,-0.00049925793040195,0.000144375908591286,6.5724466909549e-07,7.51818149179263e-07
0.39,-0.0085398401123123,0.000752177341227315,0.00071749136384895,-0.00866986302274503,-0.000235776513803845,-0.000444210606382566,0.00014809539397702,6.21361317117287e-07,7.12116920020594e-07
0.4,-0.00794631960059089,0.000747761686380562,0.000725520822730962,-0.00939055510680992,-0.000164014989847885,-0.000390480765135152,0.000151326520408769,5.86048456513503e-07,6.78855692156745e-07
0.41,-0.00727392893847196,0.000736195392429651,0.000732771870637455,-0.0100560622498214,-9.38948791205904e-05,-0.000336902902048717,0.000154034430174224,5.50799904159719e-07,6.50458179806362e-07
