# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0165343518066717,0.000334815114835742,-0.00391569701711682,0.00518656728980241,0.000258490322995553,-0.000304911936109434,0.000300285269918436,1.7891840820481697e-07,1.5425654418639598e-05
0.02,0.0146494365750207,0.000214907104646254,-0.00393655386471144,0.0100684695213621,0.0004941349017532309,-0.000627720223190589,0.00031598007046815295,2.90354364758112e-07,1.5890489008377e-05
0.03,0.0116295084317542,2.54634238321927e-05,-0.00395999254497954,0.0143592682521244,0.00068586858580825,-0.000984094032451299,0.00034143405110071003,4.710641029518661e-07,1.6649982020999802e-05
0.04,0.00764898697304768,-0.000218796257489988,-0.0039702010224498,0.0178077839242277,0.000816035319654488,-0.00138545377828755,0.000375624170005835,7.13785445215227e-07,1.76819783304327e-05
0.05,0.00293667156200217,-0.000498951853138172,-0.00394727526468634,0.0202128259058074,0.0008717270171617,-0.0018373412016917101,0.000417182370961552,1.00886094419965e-06,1.8956804706638502e-05
0.06,-0.00223837342170686,-0.000793386932699859,-0.00386920355896269,0.0214346784185037,0.000845722841999406,-0.00233833010792711,0.00046445575447967303,1.34470995045844e-06,2.0438523874328e-05
0.07,-0.00758325587829735,-0.00107948134967409,-0.0037140903968963398,0.0214026327340392,0.0007369565834326599,-0.00287957599203865,0.000515578457663898,1.70838499015894e-06,2.2086425370242998e-05
0.08,-0.0127989135969201,-0.00133534541896293,-0.0034624194891066,0.0201181361659583,0.000550483613944184,-0.0034450435177460397,0.0005685515920534629,2.0861795971663298e-06,2.3856673557709197e-05
0.09,-0.017597826609737,-0.0015414489101933,-0.00309915496170318,0.0176534344712464,0.00029696432777507204,-0.00401238901422546,0.0006213272500169581,2.46425255470702e-06,2.5704027078126603e-05
0.1,-0.0217206399705369,-0.00168201224885616,-0.0026154980245593302,0.0141458927523065,-8.276599641765089e-06,-0.0045544169237104895,0.000671892482489442,2.8292337074038e-06,2.7583543431454303e-05
0.11,-0.024950654811209,-0.0017460534307281099,-0.00201015107263894,0.009788467626602609,-0.000346520462444121,-0.00504098004208414,0.000718349273985155,3.16877901384989e-06,2.9452187119522102e-05
0.12,-0.0271253187061335,-0.00172801919537083,-0.00128998836587585,0.00481704941116656,-0.000697134648318923,-0.0054411579027899394,0.000758986879938935,3.4720470574568e-06,3.12702693071885e-05
0.13,-0.0281440753823881,-0.00162796909443167,-0.000470087079846957,-0.000504419601977286,-0.0010391304220467,-0.00572552866688575,0.0007923434182644041,3.73007540644761e-06,3.300266037796961e-05
0.14,-0.0279721996741796,-0.00145132199795564,0.000426870967207384,-0.00590002778269474,-0.00135266660735445,-0.005868348501625979,0.0008172542824487441,3.93604249240175e-06,3.46197329591804e-05
0.15,-0.0266405252602329,-0.00120821220347226,0.0013717637449549198,-0.0110981140111238,-0.00162038012566205,-0.00584946791840163,0.000832885720745012,4.08540848025987e-06,3.6098010700382596e-05
