# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,8.744092704977119e-12,8.796884681678881e-12,8.744092704977119e-12,-9.245870195415771e-11,-9.24594105250127e-11,-9.245870195415771e-11,2.59396720114224e-09,-6.45221596046279e-11,2.59396720114224e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0
0.022,0.0,-6.67208539664262e-06,-1.37457340841256e-11,1.2437907000243199e-11,-1.37457340841256e-11,-1.41658478883423e-11,-1.5210074292425e-11,-1.41658478883423e-11,2.65998061916179e-07,-6.6314605871174e-11,2.65998061916179e-07,-0.0,-0.0,-0.0,1.978791424885947e-12,-9.042783201333454e-16,1.978791424885947e-12
0.042,0.0,-1.00055141237505e-05,-1.64662942969326e-10,-5.279549431406429e-12,-1.64662942969326e-10,3.5468310311857103e-12,-4.8569167903855905e-12,3.5468310311857103e-12,7.95077963773786e-07,-8.992617774769859e-12,7.95077963773786e-07,-0.0,-0.0,-0.0,1.7675205704993885e-11,-1.477241280410019e-15,1.7675205704993885e-11
0.062,0.0,-1.03902287571547e-05,-3.8256400819389e-10,-2.93621412986516e-11,-3.8256400819389e-10,3.1110368277055004e-11,8.264615657362049e-12,3.1110368277055004e-11,1.37918771850097e-06,-6.17204907935375e-11,1.37918771850097e-06,-0.0,-0.0,-0.0,5.522426121995062e-11,-2.5976091130162745e-15,5.522426121995062e-11
0.082,0.0,-7.82618856938883e-06,-7.07695503036012e-10,-7.67608732761797e-11,-7.07695503036012e-10,-2.3550964860844903e-12,-4.75440953573984e-11,-2.3550964860844903e-12,1.82454568317434e-06,6.67865700678848e-11,1.82454568317434e-06,-0.0,-0.0,-0.0,1.034476645523007e-10,-2.7427566798064836e-15,1.034476645523007e-10
0.102,0.0,-2.31361955588098e-06,-9.86996288795137e-10,1.89299958416808e-11,-9.86996288795137e-10,-5.36799659516789e-11,-1.2555503453275402e-10,-5.36799659516789e-11,1.9459400837817903e-06,5.6461277812777206e-11,1.9459400837817903e-06,-0.0,-0.0,-0.0,1.3435424707822545e-10,-1.6190845842167442e-15,1.3435424707822545e-10
0.122,0.0,6.1469855836460995e-06,-1.3416630771016499e-09,6.89797511980735e-11,-1.3416630771016499e-09,6.353158719718889e-11,-3.1865193905749e-11,6.353158719718889e-11,1.57465000291772e-06,3.62484859840919e-11,1.57465000291772e-06,-0.0,-0.0,-0.0,1.2325739986126433e-10,-1.925359737327041e-15,1.2325739986126433e-10
0.142,0.0,1.75548674856199e-05,-1.61280402263294e-09,3.76793764025172e-11,-1.61280402263294e-09,1.29710667331773e-10,2.92569705980103e-11,1.29710667331773e-10,5.65418210764872e-07,8.493856699333229e-11,5.65418210764872e-07,-0.0,-0.0,-0.0,8.442619445972705e-11,-4.099361013847749e-15,8.442619445972705e-11
0.162,0.0,3.19090001849905e-05,-1.32826300552625e-09,7.80117928094971e-11,-1.32826300552625e-09,3.6822082877141e-11,-2.8012714373518002e-11,3.6822082877141e-11,-1.2059860568861798e-06,8.47495535643772e-11,-1.2059860568861798e-06,-0.0,-0.0,-0.0,1.1893098034356463e-10,-1.1306465224039938e-14,1.1893098034356463e-10
0.182,0.0,4.92080911995455e-05,-2.42577632894718e-10,1.22302181089357e-10,-2.42577632894718e-10,9.093316257817349e-12,3.81740891937954e-11,9.093316257817349e-12,-3.84003714346777e-06,4.90733244465076e-11,-3.84003714346777e-06,-0.0,-0.0,-0.0,4.714910215627577e-10,-2.0162284926324918e-14,4.714910215627577e-10
0.202,0.0,6.94505816362473e-05,1.8256327980815302e-09,1.3493970115720002e-10,1.8256327980815302e-09,-6.39346802467791e-11,1.20923182136933e-10,-6.39346802467791e-11,-7.4141143717783e-06,4.3036660033633e-11,-7.4141143717783e-06,-0.0,-0.0,-0.0,1.5928045611430145e-09,-2.861354340479281e-14,1.5928045611430145e-09
0.222,0.0,9.26346463195461e-05,4.98994129548541e-09,7.63699618734713e-11,4.98994129548541e-09,-2.38234797726384e-10,1.62023302862308e-10,-2.38234797726384e-10,-1.19888010559483e-05,2.73364339373031e-12,-1.19888010559483e-05,-0.0,-0.0,-0.0,4.2051228252834245e-09,-3.412653766511352e-14,4.2051228252834245e-09
0.242,0.0,0.000118758193941226,9.353695820283841e-09,-2.51457703102575e-11,9.353695820283841e-09,-5.34999849925511e-10,1.32949422247524e-10,-5.34999849925511e-10,-1.7608967938917604e-05,-4.5614910880729e-11,-1.7608967938917604e-05,-0.0,-0.0,-0.0,9.369538046624633e-09,-2.617258926959933e-14,9.369538046624633e-09
0.262,0.0,0.000147818867232647,1.50058427243406e-08,-3.6509585903073605e-11,1.50058427243406e-08,-8.67331630830833e-10,1.0355803763975199e-10,-8.67331630830833e-10,-2.43030990485162e-05,-5.2819837092217896e-11,-2.43030990485162e-05,-0.0,-0.0,-0.0,1.8552335990354512e-08,-7.741641088052982e-15,1.8552335990354512e-08
0.282,0.0,0.000179814043158941,2.17359763468632e-08,2.33675526390894e-12,2.17359763468632e-08,-1.146875813359e-09,1.44841721895606e-10,-1.146875813359e-09,-3.2084866358901096e-05,-1.81664261359734e-11,-3.2084866358901096e-05,-0.0,-0.0,-0.0,3.3688571251519204e-08,1.216546233460503e-14,3.3688571251519204e-08
0.302,0.0,0.00021474083313419498,2.90461906777377e-08,-6.6201626240373e-11,2.90461906777377e-08,-1.48714687668785e-09,1.2109092445306001e-10,-1.48714687668785e-09,-4.09531973901701e-05,1.69565859810619e-12,-4.09531973901701e-05,-0.0,-0.0,-0.0,5.724108268276868e-08,1.2733892697606595e-14,5.724108268276868e-08
0.322,0.0,0.000252596083259295,3.65604942326213e-08,-7.436358959151291e-11,3.65604942326213e-08,-1.8522135587282002e-09,4.2747099827199606e-11,-1.8522135587282002e-09,-5.0891730726464293e-05,-9.469580179456741e-11,-5.0891730726464293e-05,-0.0,-0.0,-0.0,9.225240783676617e-08,4.600613475513758e-14,9.225240783676617e-08
0.342,0.0,0.000293376374582367,4.35337421438839e-08,-1.0427330189881101e-10,4.35337421438839e-08,-2.1163566069443e-09,1.1639309770646e-11,-2.1163566069443e-09,-6.18691558254793e-05,-5.41146860668484e-11,-6.18691558254793e-05,-0.0,-0.0,-0.0,1.423874370941637e-07,1.2290046464652243e-13,1.423874370941637e-07
0.362,0.0,0.000337078023378577,4.9349675350621104e-08,-1.87935263805203e-11,4.9349675350621104e-08,-2.2801703120522e-09,3.80297178365425e-12,-2.2801703120522e-09,-7.38416735211891e-05,2.78166757126613e-11,-7.38416735211891e-05,-0.0,-0.0,-0.0,2.1196621808474483e-07,1.383829650248009e-13,2.1196621808474483e-07
