# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-4.76964489914701e-11,
0.004,-5.0671317378322e-11,
0.006,-5.2553376421868496e-11,
0.008,-5.6012012689522896e-11,
0.01,-6.19405804275134e-11,
0.012,-6.91005738747342e-11,
0.014,-7.56758192433547e-11,
0.016,-8.08274502675754e-11,
0.018,-8.395393212614159e-11,
0.02,-8.417176324744169e-11,
0.022,-8.14240440666125e-11,
0.024,-7.734826572486859e-11,
0.026,-7.44860089466815e-11,
0.028,-7.468462977697751e-11,
0.03,-7.81357816560057e-11,
0.032,-8.37465489769517e-11,
0.034,-9.031214134278249e-11,
0.036,-9.72686141671328e-11,
0.038,-1.04492635626724e-10,
0.04,-1.11784985557002e-10,
0.042,-1.1876704280443499e-10,
0.044,-1.25075269079314e-10,
0.046,-1.30372788171678e-10,
0.048,-1.34189930533203e-10,
0.05,-1.35971015920396e-10,
0.052,-1.35392058799685e-10,
0.054,-1.32634589792275e-10,
0.056,-1.28390610693302e-10,
0.058,-1.23638505009509e-10,
0.06,-1.19306979735642e-10,
0.062,-1.15957758196819e-10,
0.064,-1.13673340489011e-10,
0.066,-1.12234414798631e-10,
0.068,-1.11394903359668e-10,
0.07,-1.10964828070359e-10,
0.072,-1.10668728907607e-10,
0.074,-1.10034684540519e-10,
0.076,-1.0851995338776601e-10,
0.078,-1.05786666784143e-10,
0.08,-1.01877120097903e-10,
0.082,-9.715274530607701e-11,
0.084,-9.20732000822826e-11,
0.086,-8.69874477690805e-11,
0.088,-8.205265469854559e-11,
0.09,-7.728014093349729e-11,
0.092,-7.2623292411993e-11,
0.094,-6.802303138192229e-11,
0.096,-6.34041497569648e-11,
0.098,-5.86871989942185e-11,
0.1,-5.38559780038763e-11,
0.102,-4.90219174540208e-11,
0.104,-4.43849157604156e-11,
0.106,-4.0083163727507703e-11,
0.108,-3.6059340324271605e-11,
0.11,-3.2086444172878303e-11,
0.112,-2.7961185068050102e-11,
0.114,-2.37188913067687e-11,
0.116,-1.96932125858631e-11,
0.118,-1.63516767761964e-11,
0.12,-1.3995703505566399e-11,
0.122,-1.2518846576182199e-11,
0.124,-1.14029151644269e-11,
0.126,-9.98325123460878e-12,
0.128,-7.81240549827067e-12,
0.13,-4.8602704599637105e-12,
0.132,-1.4167129282876e-12,
0.134,2.18644069672184e-12,
0.136,5.7841853048454e-12,
0.138,9.382600321601401e-12,
0.14,1.3048940548981301e-11,
0.142,1.68637697697726e-11,
0.144,2.09839220978337e-11,
0.146,2.56986733802956e-11,
0.148,3.1355798202582e-11,
0.15,3.81797086038417e-11,
0.152,4.612104216226379e-11,
0.154,5.48443995706246e-11,
0.156,6.38402175040818e-11,
0.158,7.25741253747767e-11,
0.16,8.06086541449316e-11,
0.162,8.76833181928489e-11,
0.164,9.37540274881628e-11,
0.166,9.89775221834323e-11,
0.168,1.0362605950502e-10,
0.17,1.07951500142332e-10,
0.172,1.12061567709481e-10,
0.174,1.1588523624694799e-10,
0.176,1.19263478009181e-10,
0.178,1.2212070883046e-10,
0.18,1.2460482354194e-10,
0.182,1.27089227683888e-10,
0.184,1.30015716755535e-10,
0.186,1.33663852526052e-10,
0.188,1.37985251877673e-10,
0.19,1.42608954391265e-10,
0.192,1.47029110747256e-10,
0.194,1.50877551426914e-10,
0.196,1.5411711973927802e-10,
0.198,1.57020154849541e-10,
0.2,1.59930275687872e-10,
0.202,1.6297005777464e-10,
0.204,1.65919567517464e-10,
0.206,1.68374432007556e-10,
0.208,1.70069242784331e-10,
0.21,1.71104609157705e-10,
0.212,1.7188122766971099e-10,
0.214,1.72782525376716e-10,
0.216,1.73862860646814e-10,
0.218,1.74800357853487e-10,
0.22,1.75150079818226e-10,
0.222,1.74677713864261e-10,
0.224,1.73498890934024e-10,
0.226,1.71944657437522e-10,
0.228,1.703234293981e-10,
0.23,1.68805156061155e-10,
0.232,1.67472920677328e-10,
0.234,1.66388130702882e-10,
0.236,1.65529478189923e-10,
0.238,1.64672028200085e-10,
0.24,1.63414090298341e-10,
0.242,1.61440755213819e-10,
0.244,1.58838319526564e-10,
0.246,1.5614594978011298e-10,
0.248,1.54018570320875e-10,
0.25,1.5272117001364999e-10,
0.252,1.51852266145999e-10,
0.254,1.50532329254024e-10,
0.256,1.47934775943683e-10,
0.258,1.4378811224932702e-10,
0.26,1.38525707655068e-10,
0.262,1.33032884033454e-10,
0.264,1.28206137788156e-10,
0.266,1.24609565142799e-10,
0.268,1.2238047641230901e-10,
0.27,1.21340718589154e-10,
0.272,1.21165704147939e-10,
0.274,1.21497483986941e-10,
0.276,1.21990171753809e-10,
0.278,1.22340530505911e-10,
0.28,1.22340389033751e-10,
0.282,1.21931906458243e-10,
0.284,1.21218033041749e-10,
0.286,1.2040269083910999e-10,
0.288,1.19680174033758e-10,
0.29,1.19123474778905e-10,
0.292,1.18624258562364e-10,
0.294,1.1792005136816799e-10,
0.296,1.16710197678224e-10,
0.298,1.14813659180911e-10,
0.3,1.1228083981574799e-10,
0.302,1.09376872447146e-10,
0.304,1.0642285809177701e-10,
0.306,1.03577570179043e-10,
0.308,1.00693518022623e-10,
0.31,9.734359144552058e-11,
0.312,9.30120258723202e-11,
0.314,8.734933992748041e-11,
0.316,8.036496602625591e-11,
0.318,7.2476889713331e-11,
0.32,6.441235452947511e-11,
0.322,5.70120451873094e-11,
0.324,5.1011923652785e-11,
0.326,4.6869292539542203e-11,
0.328,4.4675120736661296e-11,
0.33,4.41647203085686e-11,
0.332,4.48102343622325e-11,
0.334,4.5958610071268e-11,
0.336,4.69720396593055e-11,
0.338,4.73356925723019e-11,
0.34,4.67154514082616e-11,
0.342,4.49698797294618e-11,
0.344,4.2135482596830295e-11,
0.346,3.84043067960481e-11,
0.348,3.40979620671625e-11,
0.35,2.962530971614e-11,
0.352,2.54096350159081e-11,
0.354,2.1791637060485102e-11,
0.356,1.89419568945218e-11,
0.358,1.68268996890724e-11,
0.36,1.52499749389214e-11,
0.362,1.39512844870459e-11,
0.364,1.27153169203461e-11,
0.366,1.1437892519892e-11,
0.368,1.0133821441846499e-11,
0.37,8.905022355254778e-12,
0.372,7.90642053421143e-12,
0.374,7.3337267281058e-12,
0.376,7.42677510050579e-12,
0.378,8.4614083766736e-12,
0.38,1.0708218554286301e-11,
0.382,1.43617571840786e-11,
0.384,1.9466942197405697e-11,
0.386,2.5872974185996302e-11,
0.388,3.3230527744340896e-11,
0.39,4.1030377936436105e-11,
0.392,4.867311784925371e-11,
0.394,5.5559642334971403e-11,
0.396,6.11916228846033e-11,
0.398,6.52652977501403e-11,
0.4,6.773483130481621e-11,
0.402,6.88220557408622e-11,
0.404,6.89632100019326e-11,
0.406,6.87067370182361e-11,
0.408,6.859809750427701e-11,
0.41,6.90922347069695e-11,
0.412,7.051534072158671e-11,
0.414,7.30637752342077e-11,
0.416,7.68050945290328e-11,
0.418,8.16556597229583e-11,
0.42,8.734734739886021e-11,
0.422,9.342969954199779e-11,
0.424,9.934803959290009e-11,
0.426,1.04589029214592e-10,
0.428,1.0882970780827e-10,
0.43,1.12011515931293e-10,
0.432,1.14302460042742e-10,
0.434,1.1597790089254e-10,
0.436,1.17292436389013e-10,
0.438,1.18405150444359e-10,
0.44,1.1937409307848398e-10,
0.442,1.201928110049e-10,
0.444,1.20830195724473e-10,
0.446,1.2125202349130098e-10,
0.448,1.21425250036291e-10,
0.45,1.21316778186293e-10,
0.452,1.20896920041644e-10,
0.454,1.2015387802707e-10,
0.456,1.191230970861e-10,
0.458,1.17927794399209e-10,
0.46,1.16810478377314e-10,
0.462,1.1612117552827799e-10,
0.464,1.1623710733813499e-10,
0.466,1.17428581903908e-10,
0.468,1.19734858963393e-10,
0.47,1.22929334338798e-10,
0.472,1.26610705394449e-10,
0.474,1.30375895081437e-10,
0.476,1.3396958571132e-10,
0.478,1.3731508364251e-10,
0.48,1.40411029100239e-10,
0.482,1.43172246592938e-10,
0.484,1.45332563524296e-10,
0.486,1.4648472224743101e-10,
0.488,1.4624007545091701e-10,
0.49,1.44413073018577e-10,
0.492,1.41121583841119e-10,
0.494,1.36746441999565e-10,
0.496,1.31774441288963e-10,
0.498,1.26610125892707e-10,
0.5,1.21453139627416e-10,
0.502,1.16298754856637e-10,
0.504,1.1105276272770099e-10,
0.506,1.05691664780486e-10,
0.508,1.00375803649485e-10,
0.51,9.545032267520929e-11,
0.512,9.133429325939991e-11,
0.514,8.83655836443922e-11,
0.516,8.66951626589488e-11,
0.518,8.62885911546472e-11,
0.52,8.70157100599138e-11,
0.522,8.87460318842661e-11,
0.524,9.13679423210025e-11,
0.526,9.47185442900753e-11,
0.528,9.849635072272509e-11,
0.53,1.02258933421167e-10,
0.532,1.0555062588434799e-10,
0.534,1.08099783628337e-10,
0.536,1.0995512074002801e-10,
0.538,1.11456157607554e-10,
0.54,1.1303926432223899e-10,
0.542,1.149891745322e-10,
0.544,1.1727651111982499e-10,
0.546,1.19559079208925e-10,
0.548,1.2132272680894e-10,
0.55,1.22071343061485e-10,
0.552,1.21479222237952e-10,
0.554,1.1946806140376e-10,
0.556,1.1621575125483501e-10,
0.558,1.1211683379329699e-10,
0.56,1.07706304056377e-10,
0.562,1.0355526318241399e-10,
0.564,1.00158570437702e-10,
0.566,9.784639814755199e-11,
0.568,9.674458062982e-11,
0.57,9.678454637849191e-11,
0.572,9.77415725463413e-11,
0.574,9.927865809598841e-11,
0.576,1.0098870876053401e-10,
0.578,1.02441920192041e-10,
0.58,1.0324363107126401e-10,
0.582,1.03094911647248e-10,
0.584,1.01839125812512e-10,
0.586,9.94815117907563e-11,
0.588,9.617986266317909e-11,
0.59,9.221128953499659e-11,
0.592,8.792011959170641e-11,
0.594,8.365279245981759e-11,
0.596,7.96931292640358e-11,
0.598,7.621982222406101e-11,
0.6,7.330407605227741e-11,
0.602,7.094481404184459e-11,
0.604,6.911498095949821e-11,
0.606,6.77857888470285e-11,
0.608,6.69149145667598e-11,
0.61,6.64154158190086e-11,
0.612,6.61395744078904e-11,
0.614,6.590166173760199e-11,
0.616,6.553413619173761e-11,
0.618,6.4946435699878e-11,
0.62,6.415161521942601e-11,
0.622,6.3244397651313e-11,
0.624,6.23403293968737e-11,
0.626,6.150460494697021e-11,
0.628,6.07035492010816e-11,
0.63,5.98018633954622e-11,
0.632,5.86084440136057e-11,
0.634,5.6949899517135206e-11,
0.636,5.47342357699289e-11,
0.638,5.19698251576698e-11,
0.64,4.873016144300279e-11,
0.642,4.5090627714598794e-11,
0.644,4.108468625320621e-11,
0.646,3.67153265055744e-11,
0.648,3.20173492471947e-11,
0.65,2.71254812443531e-11,
0.652,2.2293991566852e-11,
0.654,1.78446290653432e-11,
0.656,1.4069246916183e-11,
0.658,1.1144026074859801e-11,
0.66,9.10106190738742e-12,
0.662,7.859873461086951e-12,
0.664,7.280971039995518e-12,
0.666,7.19684266425785e-12,
0.668,7.405830728125941e-12,
0.67,7.654393943877111e-12,
0.672,7.64892634999631e-12,
0.674,7.1162957604144005e-12,
0.676,5.889943857248231e-12,
0.678,3.96998806121983e-12,
0.68,1.51492887288083e-12,
0.682,-1.23632855296082e-12,
0.684,-4.06936891644028e-12,
0.686,-6.867434585271031e-12,
0.688,-9.61616138604605e-12,
0.69,-1.23470856693715e-11,
0.692,-1.50633667578844e-11,
0.694,-1.76979919025655e-11,
0.696,-2.0130622200909698e-11,
0.698,-2.22516673362247e-11,
0.7,-2.40347132018868e-11,
0.702,-2.5576161163284898e-11,
0.704,-2.7082032044620202e-11,
0.706,-2.88110574561144e-11,
0.708,-3.10016525915337e-11,
0.71,-3.38090057066646e-11,
0.712,-3.72636623720775e-11,
0.714,-4.12496940730343e-11,
0.716,-4.55004017586607e-11,
0.718,-4.9619268385438794e-11,
0.72,-5.31385559040323e-11,
0.722,-5.5615634265431994e-11,
0.724,-5.6741352231491995e-11,
0.726,-5.6416176909633705e-11,
0.728,-5.47575690772754e-11,
0.73,-5.2036844405846897e-11,
0.732,-4.85830292610301e-11,
0.734,-4.4706442754927796e-11,
0.736,-4.0674130693536504e-11,
0.738,-3.67286002516967e-11,
0.74,-3.31108377362387e-11,
0.742,-3.00501534728247e-11,
0.744,-2.77134583928096e-11,
0.746,-2.6141540495685798e-11,
0.748,-2.5215083403369498e-11,
0.75,-2.46802661529132e-11,
0.752,-2.4233345970075396e-11,
0.754,-2.3634695994258397e-11,
0.756,-2.28084644687866e-11,
0.758,-2.18885612828037e-11,
0.76,-2.1190403064367502e-11,
0.762,-2.11144096501202e-11,
0.764,-2.20128925061226e-11,
0.766,-2.4067300545698e-11,
0.768,-2.7219389502837398e-11,
0.77,-3.11773834526867e-11,
0.772,-3.54868048497535e-11,
0.774,-3.96326579546906e-11,
0.776,-4.3137522602527396e-11,
0.778,-4.5636276377724097e-11,
0.78,-4.69280001681872e-11,
0.782,-4.7012570008497295e-11,
0.784,-4.6109951378546296e-11,
0.786,-4.46462497629315e-11,
0.788,-4.31888204917831e-11,
0.79,-4.2330545167439795e-11,
0.792,-4.2550838906852106e-11,
0.794,-4.4099340448580895e-11,
0.796,-4.6943530208554e-11,
0.798,-5.07962047545567e-11,
0.8,-5.5207499560767205e-11,
0.802,-5.9686042848717e-11,
0.804,-6.3811839539297e-11,
0.806,-6.731522962968979e-11,
0.808,-7.01120720548608e-11,
0.81,-7.22975966110253e-11,
0.812,-7.41079649463478e-11,
0.814,-7.58610801112218e-11,
0.816,-7.788795433489659e-11,
0.818,-8.046459975661991e-11,
0.82,-8.375308687284701e-11,
0.822,-8.77604609854517e-11,
0.824,-9.23251735929077e-11,
0.826,-9.71393763430625e-11,
0.828,-1.0180806079398e-10,
0.83,-1.05933607062052e-10,
0.832,-1.09202119940211e-10,
0.834,-1.1144527668027901e-10,
0.836,-1.1266104604819e-10,
0.838,-1.12994175666008e-10,
0.84,-1.12691348498859e-10,
0.842,-1.12048728665294e-10,
0.844,-1.1136242486536701e-10,
0.846,-1.1088415151839801e-10,
0.848,-1.1078350609229e-10,
0.85,-1.1112453781763499e-10,
0.852,-1.1186817511018601e-10,
0.854,-1.12905416653262e-10,
0.856,-1.1410891154823001e-10,
0.858,-1.15374960860962e-10,
0.86,-1.16627949351436e-10,
0.862,-1.1777943118954998e-10,
0.864,-1.18664019259026e-10,
0.866,-1.1899423267085501e-10,
0.868,-1.18372015665221e-10,
0.87,-1.1636663428040101e-10,
0.872,-1.1263259475481799e-10,
0.874,-1.0701852357816e-10,
0.876,-9.96204560844126e-11,
0.878,-9.07587152324004e-11,
0.88,-8.089164630822471e-11,
0.882,-7.05049859626245e-11,
0.884,-6.00215168474646e-11,
0.886,-4.9761636665138004e-11,
0.888,-3.99593673965959e-11,
0.89,-3.08126761537818e-11,
0.892,-2.25323810177075e-11,
0.894,-1.5356605393369302e-11,
0.896,-9.51659623513473e-12,
0.898,-5.16633724264921e-12,
0.9,-2.30979165315742e-12,
0.902,-7.6466091041896e-13,
0.904,-1.85858696063728e-13,
0.906,-1.43095694208823e-13,
0.908,-2.20020511300299e-13,
0.91,-9.24136213096506e-14,
0.912,4.44369497557474e-13,
0.914,1.50051794326959e-12,
0.916,3.14422449463533e-12,
0.918,5.445298158490411e-12,
0.92,8.48336456189951e-12,
0.922,1.2317435987227598e-11,
0.924,1.6936421371013702e-11,
0.926,2.22209668430345e-11,
0.928,2.79417248099341e-11,
0.93,3.3802290629021496e-11,
0.932,3.95146528093664e-11,
0.934,4.48797011093598e-11,
0.936,4.9840547384831296e-11,
0.938,5.4484758830474396e-11,
0.94,5.89910257598297e-11,
0.942,6.353907092549021e-11,
0.944,6.821876378866579e-11,
0.946,7.297570124832079e-11,
0.948,7.761533193913171e-11,
0.95,8.1862258442003e-11,
0.952,8.545023683252629e-11,
0.954,8.82102644328507e-11,
0.956,9.013107689466001e-11,
0.958,9.138000714568341e-11,
0.96,9.22835250502589e-11,
0.962,9.32721016697403e-11,
0.964,9.47963525014665e-11,
0.966,9.72264889480075e-11,
0.968,1.0075579858122599e-10,
