# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00242953322316944,1.45291905551497e-10,1.62932844970745e-10,-8.34149805454786e-05,1.06257536729319e-10,1.06461523591368e-10,5.90958974146347e-06,3.2400401930567803e-20,3.78811679756564e-20
0.02,-0.00237657288436752,1.29866904130952e-10,1.47482652409589e-10,-0.000150081933369151,2.13993689631002e-10,2.14402586374731e-10,5.67062326143476e-06,6.26587119904473e-20,6.771960180594171e-20
0.03,-0.00229796115617231,1.02304107150081e-10,1.19875671652168e-10,-0.00018508744582236,3.24254028622897e-10,3.24869026444823e-10,5.31488283787781e-06,1.15606805417954e-19,1.1991006099726601e-19
0.04,-0.00220724875965646,6.006154770827109e-11,7.75670888134516e-11,-0.000177032819219491,4.37259572671513e-10,4.38080922082607e-10,4.90328770608576e-06,1.94803323405987e-19,1.9793154755974102e-19
0.05,-0.00212161920896206,3.85792579330878e-14,1.7453106370961e-11,-0.000119417377658551,5.520949615867111e-10,5.53120396857979e-10,4.51552857792363e-06,3.04808848097791e-19,3.06246784342325e-19
0.06,-0.00206027610288602,-8.1014083417256e-11,-6.37183273000226e-11,-1.16062360869087e-05,6.66507892964286e-10,6.67730937162285e-10,4.24487232483931e-06,4.5079605309563e-19,4.49924629677536e-19
0.07,-0.00204260385454065,-1.86031511726987e-10,-1.68883965491644e-10,0.000140703265741164,7.76842240507194e-10,7.7825066342876e-10,4.19202791557455e-06,6.38091589991665e-19,6.34195888927488e-19
0.08,-0.00208625174473986,-3.17159955481164e-10,-3.0019004552399e-10,0.00032556245149702,8.78116192064558e-10,8.79690880141751e-10,4.45843725225485e-06,8.71678484126773e-19,8.639701080362641e-19
0.09,-0.00220529839049714,-4.75313356781254e-10,-4.58548372323703e-10,0.000525401974942839,9.64244634857038e-10,9.6595908272262e-10,5.1393882264031e-06,1.15569050298525e-18,1.1433435592550399e-18
0.1,-0.00240864857682423,-6.59802217530691e-10,-6.43265000195854e-10,0.000718170873196118,1.0283928285489701e-09,1.0302133836237e-09,6.31735736974469e-06,1.49293077606937e-18,1.47512947627436e-18
0.11,-0.00269879730856833,-8.680710473444131e-10,-8.51777771586566e-10,0.000878901881170183,1.06343711158595e-09,1.06532400690547e-09,8.05597542946016e-06,1.8844458335359e-18,1.8604406118580998e-18
0.12,-0.00307106823413009,-1.0955726234403201e-09,-1.07953093956803e-09,0.000981586444248612,1.06249888520515e-09,1.0644079951340501e-09,1.03949720462155e-05,2.32918325429409e-18,2.29835142958992e-18
0.13,-0.00351339743617632,-1.33579691564087e-09,-1.3200046868294901e-09,0.00100121740816901,1.0195111798265502e-09,1.02139634197869e-09,1.3346397842951e-05,2.8237564456269698e-18,2.78566286065928e-18
0.14,-0.0040066917921091,-1.5804605653308601e-09,-1.56490536042104e-09,0.000915842862673092,9.29773300979814e-10,9.315889775729651e-10,1.68923472660637e-05,3.36233398978084e-18,3.31678681020995e-18
