# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-3.643976434356e-11,
0.004,-6.22915755798913e-11,
0.006,-8.619876707369359e-11,
0.008,-1.0911151222280302e-10,
0.01,-1.31501966568509e-10,
0.012,-1.52618124082253e-10,
0.014,-1.72279786505986e-10,
0.016,-1.90778657255689e-10,
0.018,-2.07967130348415e-10,
0.02,-2.2299900188124598e-10,
0.022,-2.35000972480467e-10,
0.024,-2.43418462485214e-10,
0.026,-2.48010355820185e-10,
0.028,-2.4881878073289197e-10,
0.03,-2.46177996591922e-10,
0.032,-2.40666392625598e-10,
0.034,-2.32983457584169e-10,
0.036,-2.2371028501899098e-10,
0.038,-2.13033956427402e-10,
0.04,-2.00725324167618e-10,
0.042,-1.86521739299385e-10,
0.044,-1.70609464943346e-10,
0.046,-1.53702966319947e-10,
0.048,-1.36583844869642e-10,
0.05,-1.19527149799137e-10,
0.052,-1.0218992756127e-10,
0.054,-8.40770233472114e-11,
0.056,-6.51155912217889e-11,
0.058,-4.5797250292536794e-11,
0.06,-2.6821649970317e-11,
0.062,-8.60859694973823e-12,
0.064,8.973739223816159e-12,
0.066,2.65558337477495e-11,
0.068,4.48950845185751e-11,
0.07,6.42891813760782e-11,
0.072,8.41320608187562e-11,
0.074,1.03067276017712e-10,
0.076,1.1976620977247398e-10,
0.078,1.33741907445217e-10,
0.08,1.45534330831797e-10,
0.082,1.56181133641604e-10,
0.084,1.66467556638603e-10,
0.086,1.7650138145116e-10,
0.088,1.85815767535021e-10,
0.09,1.9383859534225999e-10,
0.092,2.00351329129658e-10,
0.094,2.0556521902910498e-10,
0.096,2.09752083131418e-10,
0.098,2.1280784534312902e-10,
0.1,2.1423830650811298e-10,
0.102,2.136308477467e-10,
0.104,2.11143867270893e-10,
0.106,2.0751036161555202e-10,
0.108,2.03546836683888e-10,
0.11,1.9962483282615501e-10,
0.112,1.95537731324895e-10,
0.114,1.90787852523242e-10,
0.116,1.84978859857795e-10,
0.118,1.7800462106156e-10,
0.12,1.6997917289989e-10,
0.122,1.61070820650005e-10,
0.124,1.51411847801416e-10,
0.126,1.41113004194753e-10,
0.128,1.3030137977022e-10,
0.13,1.19119140175613e-10,
0.132,1.0769866471585601e-10,
0.134,9.61520397030605e-11,
0.136,8.4571026188434e-11,
0.138,7.30083775180475e-11,
0.14,6.144407625948021e-11,
0.142,4.9786290729535606e-11,
0.144,3.7953206756885296e-11,
0.146,2.6015726348639502e-11,
0.148,1.4297042277724401e-11,
0.15,3.30534509589771e-12,
0.152,-6.51722055490848e-12,
0.154,-1.5067490294679802e-11,
0.156,-2.26393885729451e-11,
0.158,-2.9685605458586895e-11,
0.16,-3.6473685683447795e-11,
0.162,-4.2941950622195205e-11,
0.164,-4.8881186197702296e-11,
0.166,-5.4263421289868106e-11,
0.168,-5.94050822317615e-11,
0.17,-6.4802081959962e-11,
0.172,-7.07574245956677e-11,
0.174,-7.709635478246301e-11,
0.176,-8.32070232915096e-11,
0.178,-8.841000544083109e-11,
0.18,-9.24153160220032e-11,
0.182,-9.5542380625385e-11,
0.184,-9.85282526558436e-11,
0.186,-1.02039665432985e-10,
