# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.006691842014665821,-9.08664922270243e-05,6.75995063458855e-05,0.000222096165311012,-1.57923241031416e-05,1.80300830703448e-05,4.48300762558926e-05,8.50611691022254e-09,4.89477715373095e-09
0.02,-0.0068679543416017294,-8.61142929917025e-05,6.3973991153208e-05,0.000415903397256098,-3.0844064964457396e-05,3.60177447339951e-05,4.7341772474175296e-05,8.36702780099245e-09,5.3899494797939706e-09
0.03,-0.0071509705945624205,-7.850305479378041e-05,5.77312813541141e-05,0.000554698380116755,-4.4465963148843106e-05,5.38535748219433e-05,5.1444070737200606e-05,8.139951490709559e-09,6.23310836789053e-09
0.04,-0.0075258907129999,-6.84708802008511e-05,4.8617550970862296e-05,0.000614748379822656,-5.60669246048251e-05,7.13042211391501e-05,5.7016946594512794e-05,7.83176147012244e-09,7.447958214665211e-09
0.05,-0.007973140990939159,-5.658252929681539e-05,3.6364013559109e-05,0.000576472797131611,-6.519235474992099e-05,8.79742403430075e-05,6.39032981472271e-05,7.45162573946452e-09,9.061808446056322e-09
0.06,-0.00846981088873659,-4.34863787703604e-05,2.0759522804770198e-05,0.00042525183525468196,-7.15508218523413e-05,0.00010329314649875799,7.19185356143484e-05,7.0105852463047295e-09,1.11004319006957e-08
0.07,-0.0089910014840452,-2.98663292105692e-05,1.7259249006632801e-06,0.000151836812804777,-7.50270562050182e-05,0.000116530864243394,8.086116210382571e-05,6.52105678330506e-09,1.3582421138075e-08
0.08,-0.009511150651740229,-1.63930042612084e-05,-2.0614162382722302e-05,-0.000247634768421913,-7.56806378752237e-05,0.000126841192158152,9.05233096986299e-05,5.99628953790874e-09,1.65136317188424e-08
0.09,-0.0100052133341648,-3.67849955693851e-06,-4.58867460127727e-05,-0.0007719699010442769,-7.37310998254484e-05,0.00013332931189514,0.00010070023139026701,5.44980644046063e-09,1.9882298870072202e-08
0.1,-0.0104496042734752,7.7615756294378e-06,-7.344072461758871e-05,-0.0014155092042255901,-6.95314261587486e-05,0.000135136278425502,0.000111197895779478,4.89486127992099e-09,2.3655353779051402e-08
0.11,-0.010822850966902,1.75358956728009e-05,-0.0001023518700833,-0.00216886317822508,-6.3532925987433e-05,0.00013153117261471698,0.000121838070537632,4.343940321572e-09,2.7776354678951204e-08
0.12,-0.0111059504254007,2.53933122923193e-05,-0.00013145792538644,-0.0030196771198785803,-5.62451134730272e-05,0.000122000456565231,0.000132460584759776,3.80833309876896e-09,3.21652975490317e-08
0.13,-0.0112824678807561,3.12263462026685e-05,-0.000159422606680202,-0.0039533167499007,-4.81944688307855e-05,0.000106324171772744,0.000142922794805338,3.2977915230504603e-09,3.6720397023870406e-08
0.14,-0.0113384524245982,3.50629994002801e-05,-0.000184822947067346,-0.00495339295752163,-3.98857869140758e-05,8.46299335497078e-05,0.000153096605176502,2.8202899246990998e-09,4.13217474152871e-08
0.15,-0.0112622683371792,3.70486767490976e-05,-0.000206251725272845,-0.0060020821971440205,-3.17692802710468e-05,5.741802894588039e-05,0.000162863678799903,2.3818916177994503e-09,4.5836604226055e-08
0.16,-0.0110444481252819,3.7420808482294e-05,-0.000222424989664592,-0.007080243220485279,-2.42157738794388e-05,2.5554024410588198e-05,0.00017210967845327,1.9867206120486397e-09,5.0125884190870806e-08
0.17,-0.0106776629641143,3.64792334596204e-05,-0.00023228409831922,-0.00816737437047052,-1.75013198363292e-05,-9.771243250998649e-06,0.00018071849048263702,1.6370306698149801e-09,5.4051379526643394e-08
0.18,-0.0101568797814051,3.45555078947788e-05,-0.00023508228863882599,-0.00924149203965461,-1.18014972614087e-05,-4.71109932434864e-05,0.00018856738201291598,1.33335846347716e-09,5.7483128116056e-08
0.19,-0.00947973541148658,3.19840615022647e-05,-0.000230447463020996,-0.010279034534401,-7.19466928086315e-06,-8.48548518649181e-05,0.0001955239344312,1.07474345624165e-09,6.03063790978307e-08
0.2,-0.00864711266010613,2.9077588314196302e-05,-0.00021841540396804,-0.0112549026850789,-3.6726525065874e-06,-0.000121335700433797,0.000201445391807164,8.58994518604027e-10,6.242764089028241e-08
0.21,-0.00766385736070943,2.6108319356184e-05,-0.000199430695425391,-0.0121427376045209,-1.15669363553303e-06,-0.00015494123746191498,0.000206180786177547,6.82982279770975e-10,6.37793893440848e-08
0.22,-0.00653953629001183,2.3295983834604e-05,-0.00017431586148771,-0.0129155080415538,4.83615163817478e-07,-0.000184220295801684,0.000209575882859822,5.42936746448807e-10,6.43231369514627e-08
0.23,-0.00528910906018597,2.08024334833589e-05,-0.000144212271965351,-0.0135464382086626,1.41081283146891e-06,-0.000207974823727364,0.000211480662791654,4.3473163167500805e-10,6.405070668983671e-08
0.24,-0.00393337712133278,1.8732180447465804e-05,-0.00011049888293848,-0.0140102571184174,1.8014650832881002e-06,-0.00022533019941776403,0.000211758760102789,3.54139860762726e-10,6.298370190030109e-08
0.25,-0.00249908190096324,1.71375600753147e-05,-7.469663547644691e-05,-0.0142846988967283,1.83100136609611e-06,-0.000235778954540736,0.000210298032917912,2.97048531337666e-10,6.11713027558234e-08
0.26,-0.00101855150654137,1.60269237542978e-05,-3.83671875633441e-05,-0.0143521371572884,1.6623937431053e-06,-0.00023919572995127202,0.000207021288153095,2.59625837983189e-10,5.86866383084425e-08
0.27,0.00047116148304469696,1.53742069822197e-05,-3.0145773162579798e-06,-0.0142012016696353,1.43893235591792e-06,-0.000235824053008729,0.00020189612200475801,2.3843676665703997e-10,5.5622071653859804e-08
