# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,-1.04765685558435e-10,-1.04734057962645e-10,-1.04765685558435e-10,7.421429247107651e-12,7.28202423536764e-12,7.421429247107651e-12,2.61101121891888e-09,-4.7208081954566e-11,2.61101121891888e-09,0.0,0.0,0.0,0.0,-0.0,0.0
0.022,0.0,-6.67208539664262e-06,-1.16762603888592e-10,-9.84989490001874e-11,-1.16762603888592e-10,4.3279261755282505e-11,-1.1210838114399e-11,4.3279261755282505e-11,2.65827012544828e-07,-4.5002304948883604e-11,2.65827012544828e-07,0.0,0.0,0.0,1.9781074527315112e-12,-4.879246877884758e-16,1.9781074527315112e-12
0.042,0.0,-1.00055141237505e-05,-2.1874641466387e-10,-8.76676826436301e-11,-2.1874641466387e-10,2.2918108597075102e-10,-2.63923735439675e-11,2.2918108597075102e-10,7.9348642095178e-07,-7.67525442605031e-11,7.9348642095178e-07,0.0,0.0,0.0,1.764909571239871e-11,-2.5343697986809404e-15,1.764909571239871e-11
0.062,0.0,-1.03902287571547e-05,-3.30153615933134e-10,-7.206603124996471e-11,-3.30153615933134e-10,4.50682271001697e-10,-3.12333100174926e-11,4.50682271001697e-10,1.37572968146772e-06,-9.47206089177122e-11,1.37572968146772e-06,0.0,0.0,0.0,5.5109713604771165e-11,-5.462908770308853e-15,5.5109713604771165e-11
0.082,0.0,-7.82618856938883e-06,-3.2591911200789e-10,8.08005241457103e-12,-3.2591911200789e-10,9.35878452366688e-10,1.38960828320692e-11,9.35878452366688e-10,1.8196413195377702e-06,-9.86915246052385e-11,1.8196413195377702e-06,0.0,-0.0,0.0,1.0320630394498588e-10,-8.288303512326204e-15,1.0320630394498588e-10
0.102,0.0,-2.31361955588098e-06,-3.1515272034979603e-10,1.4249791649611502e-11,-3.1515272034979603e-10,1.7553427084573e-09,3.85450006382953e-11,1.7553427084573e-09,1.94161799548609e-06,-1.01530464964782e-10,1.94161799548609e-06,0.0,-0.0,0.0,1.3403401374043711e-10,-9.933641656808235e-15,1.3403401374043711e-10
0.122,0.0,6.1469855836460995e-06,-2.02469634830875e-10,-2.2291107196327897e-12,-2.02469634830875e-10,2.77071785877784e-09,8.10178107592324e-11,2.77071785877784e-09,1.5742409189605801e-06,-9.566361949862071e-11,1.5742409189605801e-06,0.0,-0.0,0.0,1.229445184567754e-10,-9.292693688297296e-15,1.229445184567754e-10
0.142,0.0,1.75548674856199e-05,1.32311527555489e-10,-2.37757437088235e-11,1.32311527555489e-10,3.47368187736613e-09,9.00179752566441e-11,3.47368187736613e-09,5.73442942278392e-07,-5.20833955189885e-11,5.73442942278392e-07,-0.0,-0.0,-0.0,8.393953559815727e-11,-6.370152363153027e-15,8.393953559815727e-11
0.162,0.0,3.19090001849905e-05,9.12787275045516e-10,-2.77041835382213e-11,9.12787275045516e-10,3.1807166544679304e-09,5.1030174199021504e-11,3.1807166544679304e-09,-1.18296066131387e-06,1.0604122179412401e-11,-1.18296066131387e-06,-0.0,-0.0,-0.0,1.171195921785689e-10,-5.2775833486692416e-15,1.171195921785689e-10
0.182,0.0,4.92080911995455e-05,2.21981800891068e-09,-5.913619620774079e-11,2.21981800891068e-09,1.4122282160464401e-09,5.41631946983816e-11,1.4122282160464401e-09,-3.7953096722797096e-06,9.80403221945057e-11,-3.7953096722797096e-06,-0.0,-0.0,-0.0,4.6503201566055565e-10,-1.3101835376344217e-14,4.6503201566055565e-10
0.202,0.0,6.94505816362473e-05,4.04911894132548e-09,-1.01069371032563e-10,4.04911894132548e-09,-2.27734495895647e-09,3.8494107703828e-11,-2.27734495895647e-09,-7.34313732062798e-06,2.1029590048602499e-10,-7.34313732062798e-06,-0.0,-0.0,-0.0,1.5748699014821436e-09,-4.352543542184091e-14,1.5748699014821436e-09
0.222,0.0,9.26346463195461e-05,6.31460026677352e-09,-1.35721774040325e-10,6.31460026677352e-09,-8.22614078566936e-09,3.43495055827002e-12,-8.22614078566936e-09,-1.1889863374138198e-05,2.68117001947681e-10,-1.1889863374138198e-05,-0.0,-0.0,-0.0,4.164350369149203e-09,-1.0981276381349464e-13,4.164350369149203e-09
0.242,0.0,0.000118758193941226,8.80411288899627e-09,-1.54935803771187e-10,8.80411288899627e-09,-1.65981667697826e-08,-1.2668394698131e-11,-1.65981667697826e-08,-1.7484780764743e-05,3.27907241856174e-10,-1.7484780764743e-05,-0.0,-0.0,-0.0,9.289859678501145e-09,-2.1352499817621396e-13,9.289859678501145e-09
0.262,0.0,0.000147818867232647,1.1173926693277299e-08,-1.22047018788692e-10,1.1173926693277299e-08,-2.73016862509673e-08,2.16364851941279e-11,-2.73016862509673e-08,-2.41632996611695e-05,3.22814910144196e-10,-2.41632996611695e-05,-0.0,-0.0,-0.0,1.8414886176077447e-08,-3.542885726767663e-13,1.8414886176077447e-08
0.282,0.0,0.000179814043158941,1.2863571352603501e-08,-8.01438608614472e-11,1.2863571352603501e-08,-4.01110022075634e-08,1.31828586710423e-11,-4.01110022075634e-08,-3.19472246375836e-05,3.0348533074290397e-10,-3.19472246375836e-05,-0.0,-0.0,-0.0,3.347686173761106e-08,-5.216555693695703e-13,3.347686173761106e-08
0.302,0.0,0.00021474083313419498,1.30931369047119e-08,-7.36890385168148e-11,1.30931369047119e-08,-5.43252117578627e-08,1.95540186113442e-11,-5.43252117578627e-08,-4.08453781663618e-05,2.58735686214894e-10,-4.08453781663618e-05,-0.0,-0.0,-0.0,5.6950745019104656e-08,-6.976337175643197e-13,5.6950745019104656e-08
0.322,0.0,0.000252596083259295,1.0932833398532399e-08,-4.9637294554591104e-11,1.0932833398532399e-08,-6.89118946683126e-08,3.3346872540227603e-11,-6.89118946683126e-08,-5.08537557324382e-05,2.13902467213102e-10,-5.08537557324382e-05,-0.0,-0.0,-0.0,9.190756892740115e-08,-8.747710856868555e-13,9.190756892740115e-08
0.342,0.0,0.000293376374582367,5.25877451922824e-09,4.2222411397262e-12,5.25877451922824e-09,-8.25766946285056e-08,2.75382726314498e-11,-8.25766946285056e-08,-6.1956250690559e-05,1.1348466852607301e-10,-6.1956250690559e-05,-0.0,-0.0,-0.0,1.4206649354611384e-07,-1.0183960639590498e-12,1.4206649354611384e-07
0.362,0.0,0.000337078023378577,-5.279939112484071e-09,2.93373715700611e-11,-5.279939112484071e-09,-9.373800742765689e-08,-7.0682384755566e-12,-9.373800742765689e-08,-7.412551383043359e-05,2.5396801911391802e-11,-7.412551383043359e-05,-0.0,-0.0,-0.0,2.118392182434532e-07,-1.078969507103583e-12,2.118392182434532e-07
0.382,0.0,0.000383697081453931,-2.21368273180337e-08,2.66095817642434e-11,-2.21368273180337e-08,-1.0043307928667001e-07,-2.45032042004623e-11,-1.0043307928667001e-07,-8.73242221017972e-05,-3.07330667843704e-11,-8.73242221017972e-05,-0.0,-0.0,-0.0,3.06366058686339e-07,-1.069137879050916e-12,3.06366058686339e-07
0.402,0.0,0.000433229336470941,-4.68921374355872e-08,-4.84800239184678e-12,-4.68921374355872e-08,-1.0050079936945301e-07,-6.25954972566286e-11,-1.0050079936945301e-07,-0.000101505569589125,-2.3753304341457397e-11,-0.000101505569589125,-0.0,-0.0,-0.0,4.3154279254110945e-07,-1.029553640439991e-12,4.3154279254110945e-07
0.422,0.0,0.00048567031229364006,-8.117788009548321e-08,-6.742199781879421e-11,-8.117788009548321e-08,-9.15540252460035e-08,-8.8523249136517e-11,-9.15540252460035e-08,-0.000116614723271869,-5.8791487494349295e-12,-0.000116614723271869,-0.0,-0.0,-0.0,5.940375497917708e-07,-1.0046933453013273e-12,5.940375497917708e-07
0.442,0.0,0.000541015269358394,-1.2664123515932802e-07,-1.24094363883034e-10,-1.2664123515932802e-07,-7.11196972182333e-08,-6.92489781058548e-11,-7.11196972182333e-08,-0.000132591052408933,1.7029861979629698e-11,-0.000132591052408933,-0.0,-0.0,-0.0,8.012993103158657e-07,-1.017010450053639e-12,8.012993103158657e-07
0.462,0.0,0.000599259205060516,-1.84963702148525e-07,-1.25186913822762e-10,-1.84963702148525e-07,-3.6790351142721005e-08,-7.02862013062128e-11,-3.6790351142721005e-08,-0.000149369395802474,4.76622864638634e-11,-0.000149369395802474,-0.0,-0.0,-0.0,1.0615585237607755e-06,-1.0855209018645464e-12,1.0615585237607755e-06
