# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00445451239017762,0.00159910795731713,-0.00107007728044588,0.00132236020044769,7.27402134365939e-05,-4.99143575166505e-05,2.1591317133974e-05,2.56243739780578e-06,1.1475568292127599e-06
0.02,-0.00514082380921021,0.0016125943477585199,-0.0010800463804174,0.00252262849756993,0.00015049958959098702,-0.000103669275656174,3.27917239740945e-05,2.62311065688979e-06,1.17724750256781e-06
0.03,-0.0062343302933405,0.00163247121132703,-0.00109459045816955,0.00348637708131707,0.00023784112198553197,-0.000164727616309875,5.1021699359596e-05,2.7215306551188803e-06,1.2252634586909599e-06
0.04,-0.00766290856012868,0.00165506397519801,-0.00111079575569041,0.00411398858752254,0.000338454340568612,-0.00023583069440128,7.5645069699159e-05,2.85378810264797e-06,1.2894833272816201e-06
0.05,-0.009332126207314679,0.00167565915596209,-0.00112495004154471,0.00432680685737811,0.000454811862572957,-0.000318718699599758,0.000105809837130304,3.0146874372966802e-06,1.367094205446e-06
0.06,-0.011131217627432,0.0016888879639785,-0.0011328680362674,0.0040718904796156795,0.00058792741579955,-0.00041393934737149197,0.000140484297947238,3.19800120112019e-06,1.45473577089869e-06
0.07,-0.0129400134828116,0.00168915772880715,-0.00113025546129684,0.0033250733252965198,0.00073723304780867,-0.000520759980679111,0.000178500061553945,3.39676639957019e-06,1.5486683652682301e-06
0.08,-0.0146363444461799,0.00167109417948234,-0.0011130791495644302,0.0020921624865804897,0.0009005819050645349,-0.00063718832914302,0.000218599722617475,3.60360352442943e-06,1.64495415999115e-06
0.09,-0.0161034189090151,0.00162995832535535,-0.00107791126605186,0.000408239782076268,0.00107437150887324,-0.000760096963904824,0.00025948676027889503,3.81103828147378e-06,1.7396400920188499e-06
0.1,-0.0172366917353917,0.00156200591883137,-0.00102221943135315,-0.00166483304171329,0.00125377212322999,-0.0008854372640699301,0.0002998752110377,4.01180702745287e-06,1.82893171443961e-06
0.11,-0.0179497940413833,0.00146476457378667,-0.0009445808612453141,-0.00404248386809285,0.00143303666324482,-0.00100852137677267,0.00033853678195187,4.1991293348243105e-06,1.90934837083838e-06
0.12,-0.0181791765909592,0.0013372125920958,-0.000844806701069659,-0.006622753332836039,0.00160586337052769,-0.00112434588152834,0.000374343323232872,4.36693468126212e-06,1.9778520234819303e-06
0.13,-0.0178872236176314,0.0011798532814961,-0.0007239715629552679,-0.00929247930717304,0.0017657805227317101,-0.00122792899562297,0.00040630294042139103,4.51003462031579e-06,2.0319444422595297e-06
0.14,-0.0170637102010903,0.000994687890350715,-0.000584351863095859,-0.0119339121835406,0.0019065236664514,-0.0013146341546310801,0.00043358846583125296,4.62423648994964e-06,2.06973006042617e-06
0.15,-0.0157255948076658,0.0007850982415663401,-0.00042928400859572997,-0.0144313256762534,0.00202237980105602,-0.00138045631028675,0.000455557492828979,4.70639930862994e-06,2.0899443846465197e-06
