# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,8.500694231455541e-12,8.506897355661281e-12,8.500694231455541e-12,-1.9635277003832803e-11,-1.9644529657844e-11,-1.9635277003832803e-11,2.64793394670818e-09,-1.04889563366278e-11,2.64793394670818e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0
0.022,0.0,-6.67208539664262e-06,1.44837081574918e-11,1.53666862899172e-11,1.44837081574918e-11,5.482070910560021e-11,4.9268890627040794e-11,5.482070910560021e-11,2.66123286737362e-07,5.2160942928085104e-11,2.66123286737362e-07,-0.0,-0.0,-0.0,1.980296652739591e-12,5.950555569412206e-16,1.980296652739591e-12
0.042,0.0,-1.00055141237505e-05,3.21295500752494e-11,3.1953411289472606e-11,3.21295500752494e-11,5.53086829792312e-11,1.87114140286068e-11,5.53086829792312e-11,7.953076943134009e-07,6.893230906274161e-11,7.953076943134009e-07,-0.0,-0.0,-0.0,1.7681370535553014e-11,2.5458508578631557e-15,1.7681370535553014e-11
0.062,0.0,-1.03902287571547e-05,2.03723092262591e-11,1.66981165978754e-11,2.03723092262591e-11,1.0293155995793499e-10,1.3944993048457e-11,1.0293155995793499e-10,1.37972815514631e-06,7.62589189949837e-11,1.37972815514631e-06,-0.0,-0.0,-0.0,5.524349313219571e-11,4.913595047790467e-15,5.524349313219571e-11
0.082,0.0,-7.82618856938883e-06,1.73028984641347e-11,9.863350254342211e-12,1.73028984641347e-11,1.80399687264771e-10,8.79523303681923e-12,1.80399687264771e-10,1.8252281427867199e-06,6.51498949971105e-11,1.8252281427867199e-06,-0.0,-0.0,-0.0,1.0348517178337152e-10,6.779834066221226e-15,1.0348517178337152e-10
0.102,0.0,-2.31361955588098e-06,1.32107334617827e-11,5.0910934987866204e-12,1.32107334617827e-11,2.8505922855001e-10,-1.85304838996676e-12,2.8505922855001e-10,1.94676613624148e-06,3.6196128654027104e-11,1.94676613624148e-06,-0.0,-0.0,-0.0,1.3440415144116157e-10,7.723552490175134e-15,1.3440415144116157e-10
0.122,0.0,6.1469855836460995e-06,-9.42008043837601e-12,-1.3041230765134501e-11,-9.42008043837601e-12,3.85892788222105e-10,-2.9172121443539897e-11,3.85892788222105e-10,1.57530496879064e-06,6.62985076326554e-12,1.57530496879064e-06,-0.0,-0.0,-0.0,1.2330264937287658e-10,7.650205504138202e-15,1.2330264937287658e-10
0.142,0.0,1.75548674856199e-05,-3.51128384074379e-11,-2.87134083792648e-11,-3.51128384074379e-11,4.93226487208076e-10,-1.28534774311706e-11,4.93226487208076e-10,5.6530239113134e-07,-3.16267311165479e-11,5.6530239113134e-07,-0.0,-0.0,-0.0,8.446212325312882e-11,8.247035458215319e-15,8.446212325312882e-11
0.162,0.0,3.19090001849905e-05,-5.0028076052209e-11,-2.25920899525519e-11,-5.0028076052209e-11,4.73717828984773e-10,-4.11582094832545e-12,4.73717828984773e-10,-1.20772104236418e-06,-8.00545254729308e-11,-1.20772104236418e-06,-0.0,-0.0,-0.0,1.1904778462757116e-10,1.2897658657736735e-14,1.1904778462757116e-10
0.182,0.0,4.92080911995455e-05,-7.38684333872159e-11,-1.08778411047747e-11,-7.38684333872159e-11,2.4778216295609303e-10,-9.4984360297956e-13,2.4778216295609303e-10,-3.844348207194091e-06,-1.07107051981395e-10,-3.844348207194091e-06,-0.0,-0.0,-0.0,4.720264008704922e-10,2.6273206854465397e-14,4.720264008704922e-10
