# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,2.43229133245326e-11,
0.004,3.41734070637281e-11,
0.006,2.20859055717909e-11,
0.008,-7.1292119227376695e-12,
0.01,-3.7860437178192494e-11,
0.012,-5.5043752024594496e-11,
0.014,-5.59174038393799e-11,
0.016,-4.89836181636045e-11,
0.018,-4.4276473478659294e-11,
0.02,-4.6604003083808e-11,
0.022,-5.63230073432268e-11,
0.024,-7.20958503883807e-11,
0.026,-9.140495142122791e-11,
0.028,-1.1015705118029599e-10,
0.03,-1.2391474135018798e-10,
0.032,-1.30250732450576e-10,
0.034,-1.30020428557201e-10,
0.036,-1.26724285058867e-10,
0.038,-1.24753872113499e-10,
0.04,-1.27407897244576e-10,
0.042,-1.35211399677174e-10,
0.044,-1.4528578825201e-10,
0.046,-1.52561518355444e-10,
0.048,-1.5260971920728598e-10,
0.05,-1.4445170930236698e-10,
0.052,-1.31388893223624e-10,
0.054,-1.19163226514014e-10,
0.056,-1.1257008661183901e-10,
0.058,-1.1264609809231399e-10,
0.06,-1.16178367249482e-10,
0.062,-1.17812753383844e-10,
0.064,-1.13370110953075e-10,
0.066,-1.0226796959271599e-10,
0.068,-8.77153639401667e-11,
0.07,-7.485585439591621e-11,
0.072,-6.80534819535403e-11,
0.074,-6.865734574055451e-11,
0.076,-7.4272965261893e-11,
0.078,-8.00264501711331e-11,
0.08,-8.13442062670885e-11,
0.082,-7.66716601160707e-11,
0.084,-6.83010966110125e-11,
0.086,-6.065907906105671e-11,
0.088,-5.726046232814321e-11,
0.09,-5.851648912615249e-11,
0.092,-6.18398871164685e-11,
0.094,-6.36949584783082e-11,
0.096,-6.192333404671539e-11,
0.098,-5.678576287071779e-11,
0.1,-5.0325561149002796e-11,
0.102,-4.4780130015524794e-11,
0.104,-4.11410514135868e-11,
0.106,-3.8674090526828505e-11,
0.108,-3.5629426980445796e-11,
0.11,-3.07095874118652e-11,
0.112,-2.4322953714945e-11,
0.114,-1.86343060055231e-11,
0.116,-1.61723496752928e-11,
0.118,-1.78609059884178e-11,
0.12,-2.19263147610564e-11,
0.122,-2.46454141062872e-11,
0.124,-2.26413038598215e-11,
0.126,-1.53021218237806e-11,
0.128,-5.67503676174466e-12,
0.13,9.47514416027337e-13,
0.132,7.52278895604343e-14,
0.134,-9.11304858278447e-12,
0.136,-2.29214212809726e-11,
0.138,-3.4953141460054796e-11,
0.14,-3.9586504223745e-11,
0.142,-3.51002610828439e-11,
0.144,-2.46819836546053e-11,
0.146,-1.4784266246766802e-11,
0.148,-1.17214553079494e-11,
0.15,-1.82915905070994e-11,
0.152,-3.2206497359650096e-11,
0.154,-4.7240889326425295e-11,
0.156,-5.66185144190302e-11,
0.158,-5.68700568773975e-11,
0.16,-4.9943363123081205e-11,
0.162,-4.21496619215651e-11,
0.164,-4.0346231554425706e-11,
0.166,-4.76022189726233e-11,
0.168,-6.11960690860485e-11,
0.17,-7.44626416114617e-11,
0.172,-8.13891274545283e-11,
0.174,-8.077135767498209e-11,
