# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.865026927883626E+003  0.000000000000000E+000 
      0.02000000 -0.865026927887518E+003 -0.389220237728001E-008 
      0.04000000 -0.865026927887558E+003 -0.393203217235314E-008 
      0.06000000 -0.865026927887488E+003 -0.386242670523504E-008 
      0.08000000 -0.865026927887353E+003 -0.372746943843385E-008 
      0.10000000 -0.865026927887257E+003 -0.363069850428772E-008 
      0.12000000 -0.865026927887304E+003 -0.367835891441164E-008 
      0.14000000 -0.865026927887484E+003 -0.385768966650062E-008 
      0.16000000 -0.865026927887489E+003 -0.386339344783391E-008 
      0.18000000 -0.865026927886517E+003 -0.289104374189808E-008 
      0.20000000 -0.865026927883032E+003  0.594256675520732E-009 
      0.22000000 -0.865026927874523E+003  0.910304165940836E-008 
      0.24000000 -0.865026927857255E+003  0.263712879830686E-007 
      0.26000000 -0.865026927826015E+003  0.576108016712288E-007 
      0.28000000 -0.865026927773877E+003  0.109749163513077E-006 
      0.30000000 -0.865026927691975E+003  0.191650919768882E-006 
      0.32000000 -0.865026927569309E+003  0.314317117842400E-006 
      0.34000000 -0.865026927392581E+003  0.491044818809683E-006 
      0.36000000 -0.865026927146072E+003  0.737553934048053E-006 
      0.38000000 -0.865026926811554E+003  0.107207152519072E-005 
      0.40000000 -0.865026926368251E+003  0.151537434080114E-005 
      0.42000000 -0.865026925792848E+003  0.209077818220442E-005 
      0.44000000 -0.865026925059543E+003  0.282408250913639E-005 
      0.46000000 -0.865026924140141E+003  0.374348459300086E-005 
      0.48000000 -0.865026923004176E+003  0.487945007003560E-005 
      0.50000000 -0.865026921619075E+003  0.626455062523000E-005 
      0.52000000 -0.865026919950359E+003  0.793326658348639E-005 
      0.54000000 -0.865026917961856E+003  0.992177006925510E-005 
      0.56000000 -0.865026915615941E+003  0.122676850610214E-004 
      0.58000000 -0.865026912873783E+003  0.150098429021024E-004 
      0.60000000 -0.865026909695620E+003  0.181880061022863E-004 
