# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,1.1412108514109999e-10,
0.004,1.09203284987457e-10,
0.006,1.01996020318446e-10,
0.008,9.55757290082281e-11,
0.01,9.05971431868777e-11,
0.012,8.90741543660605e-11,
0.014,9.01357395460382e-11,
0.016,9.142472468308309e-11,
0.018,8.836602039886421e-11,
0.02,8.086076713698401e-11,
0.022,7.339329891233071e-11,
0.024,6.835860737971641e-11,
0.026,6.37858125586904e-11,
0.028,5.75619775208864e-11,
0.03,5.03876404386385e-11,
0.032,4.42749095529146e-11,
0.034,3.9789871016947104e-11,
0.036,3.57106544417569e-11,
0.038,3.10701334183561e-11,
0.04,2.6407372640864998e-11,
0.042,2.2684836335301102e-11,
0.044,1.9942221280181102e-11,
0.046,1.74665563620217e-11,
0.048,1.4690575846691802e-11,
0.05,1.15846597699187e-11,
0.052,8.390057703221129e-12,
0.054,5.0927885884677e-12,
0.056,1.14434120224626e-12,
0.058,-4.16929345647219e-12,
0.06,-1.0939615831769698e-11,
0.062,-1.82725314044642e-11,
0.064,-2.4868321242324002e-11,
0.066,-3.0043578761379104e-11,
0.068,-3.4175537551450296e-11,
0.07,-3.81357271042086e-11,
0.072,-4.2333697922609395e-11,
0.074,-4.6380973615273204e-11,
0.076,-4.9664695293890204e-11,
0.078,-5.2083727063868995e-11,
0.08,-5.408085328205329e-11,
0.082,-5.604196274466011e-11,
0.084,-5.790981035151629e-11,
0.086,-5.94891222313122e-11,
0.088,-6.09507810457914e-11,
0.09,-6.27804349491514e-11,
0.092,-6.518044406122239e-11,
0.094,-6.769498673713989e-11,
0.096,-6.959362608887671e-11,
0.098,-7.06276399705731e-11,
0.1,-7.132317945123491e-11,
0.102,-7.25099262536957e-11,
0.104,-7.46001632140769e-11,
0.106,-7.72996320349643e-11,
0.108,-7.991253766720791e-11,
0.11,-8.18907870226583e-11,
0.112,-8.32077141929824e-11,
0.114,-8.433834397733591e-11,
0.116,-8.5851152332424e-11,
0.118,-8.786466811274242e-11,
0.12,-8.982787754175059e-11,
0.122,-9.09286567783442e-11,
0.124,-9.08509371871024e-11,
0.126,-9.01477394311852e-11,
0.128,-8.979405046567529e-11,
0.13,-9.032862052043241e-11,
0.132,-9.145345945749291e-11,
0.134,-9.247169210214009e-11,
0.136,-9.30438677971978e-11,
0.138,-9.344856690321009e-11,
0.14,-9.41421551564571e-11,
0.142,-9.51832459998391e-11,
0.144,-9.615915282322441e-11,
0.146,-9.66296232382551e-11,
0.148,-9.655513587536929e-11,
0.15,-9.627638084426359e-11,
0.152,-9.61345741822375e-11,
0.154,-9.614262976812641e-11,
0.156,-9.59714317475933e-11,
0.158,-9.51904776922275e-11,
0.16,-9.35558984925395e-11,
0.162,-9.119196417307092e-11,
0.164,-8.8585353775471e-11,
0.166,-8.63623106052676e-11,
0.168,-8.493882264964701e-11,
0.17,-8.428177704054641e-11,
0.172,-8.39898394792276e-11,
0.174,-8.36367219809655e-11,
0.176,-8.30705681688317e-11,
0.178,-8.24204113060635e-11,
0.18,-8.186830686152871e-11,
0.182,-8.1456648731753e-11,
0.184,-8.11009733919807e-11,
0.186,-8.07280715039258e-11,
0.188,-8.035804463775641e-11,
0.19,-8.006953879446171e-11,
0.192,-7.993797563804491e-11,
0.194,-8.003377634202091e-11,
0.196,-8.044901292181e-11,
0.198,-8.12574888747007e-11,
0.2,-8.239051271397809e-11,
0.202,-8.353697760552809e-11,
0.204,-8.420069403424241e-11,
0.206,-8.392699927742041e-11,
0.208,-8.25547204542872e-11,
0.21,-8.031222258831021e-11,
0.212,-7.76958667099125e-11,
0.214,-7.52312611888967e-11,
0.216,-7.32765908369366e-11,
0.218,-7.19552138154901e-11,
0.22,-7.1200178697923e-11,
0.222,-7.08507741249935e-11,
0.224,-7.07526195743475e-11,
0.226,-7.0819776329483e-11,
0.228,-7.10194715571087e-11,
0.23,-7.12863413621354e-11,
0.232,-7.145455727430759e-11,
0.234,-7.13113220563846e-11,
0.236,-7.075849275406601e-11,
0.238,-6.99204612527307e-11,
0.24,-6.90422079300463e-11,
0.242,-6.82230741843836e-11,
0.244,-6.72323909106786e-11,
0.246,-6.561537686279859e-11,
0.248,-6.30281683707651e-11,
0.25,-5.951156881345921e-11,
0.252,-5.546847123034979e-11,
0.254,-5.13917918737163e-11,
0.256,-4.760180226535371e-11,
0.258,-4.4191717277110204e-11,
0.26,-4.11489226549924e-11,
0.262,-3.84775699068964e-11,
0.264,-3.6214359377506703e-11,
0.266,-3.4376421627292395e-11,
0.268,-3.29261144606292e-11,
0.27,-3.1767887992894996e-11,
0.272,-3.07389883174335e-11,
0.274,-2.95979377025984e-11,
0.276,-2.80731551076892e-11,
0.278,-2.5994675289882502e-11,
0.28,-2.34179195971615e-11,
0.282,-2.0607018693209602e-11,
0.284,-1.7856377200826398e-11,
0.286,-1.5289448397524198e-11,
0.288,-1.28047778974452e-11,
0.29,-1.0199157128378401e-11,
0.292,-7.333286489851e-12,
0.294,-4.18844931784187e-12,
0.296,-7.987931411503771e-13,
0.298,2.8239702909167203e-12,
0.3,6.66830418911628e-12,
0.302,1.06283285370535e-11,
0.304,1.4462659980743801e-11,
0.306,1.78946632587229e-11,
0.308,2.08053261814718e-11,
0.31,2.3367873013745398e-11,
0.312,2.6000567638538802e-11,
0.314,2.91475048387532e-11,
0.316,3.30274634482314e-11,
0.318,3.75185856741797e-11,
0.32,4.22542367489617e-11,
0.322,4.68615587432912e-11,
0.324,5.11803060611525e-11,
0.326,5.53201567806395e-11,
0.328,5.953149290587179e-11,
0.33,6.39924449510498e-11,
0.332,6.86630409838684e-11,
0.334,7.32974049594258e-11,
0.336,7.75886055248745e-11,
0.338,8.13342136914294e-11,
0.34,8.45105483654746e-11,
0.342,8.722115585176371e-11,
0.344,8.95808426755228e-11,
0.346,9.164156666377471e-11,
0.348,9.34263018030546e-11,
0.35,9.50355799143202e-11,
0.352,9.670813776303609e-11,
0.354,9.87342574793653e-11,
0.356,1.0124981660016099e-10,
0.358,1.04081220226509e-10,
0.36,1.06821520790971e-10,
0.362,1.09142678771974e-10,
0.364,1.1111506342458599e-10,
0.366,1.13236154997328e-10,
0.368,1.16075974890059e-10,
0.37,1.19782479744247e-10,
0.372,1.23856086837033e-10,
0.374,1.27418975225148e-10,
0.376,1.29803992481125e-10,
0.378,1.31015269899764e-10,
0.38,1.31710897746854e-10,
0.382,1.32740361203122e-10,
0.384,1.34602528337774e-10,
0.386,1.3720440358488102e-10,
0.388,1.40023936151232e-10,
0.39,1.4247861526244e-10,
0.392,1.44215315463816e-10,
0.394,1.45179709237125e-10,
0.396,1.45519740963908e-10,
0.398,1.4545771459134e-10,
0.4,1.45209969849872e-10,
0.402,1.44943887204116e-10,
0.404,1.44734065374403e-10,
0.406,1.4451793108630199e-10,
0.408,1.44093206532891e-10,
0.41,1.4319315174267198e-10,
0.412,1.4162252779276001e-10,
0.414,1.39382801651742e-10,
0.416,1.36705425150344e-10,
0.418,1.33962436943372e-10,
0.42,1.31504298813123e-10,
0.422,1.29527652072598e-10,
0.424,1.2805323142965301e-10,
0.426,1.27005743066332e-10,
0.428,1.2630480769396e-10,
0.43,1.25876253175076e-10,
0.432,1.2558320636233501e-10,
0.434,1.2517357360176902e-10,
0.436,1.24344383450129e-10,
0.438,1.22916797954345e-10,
0.44,1.20992466966189e-10,
0.442,1.1894416986882e-10,
0.444,1.1721299039633098e-10,
0.446,1.16044388185617e-10,
0.448,1.15355936576639e-10,
0.45,1.14832857387645e-10,
0.452,1.14170891828172e-10,
0.454,1.13274937034005e-10,
0.456,1.12264614973763e-10,
0.458,1.11295933083382e-10,
0.46,1.1035231578754001e-10,
0.462,1.09176891295606e-10,
0.464,1.0740269271931001e-10,
0.466,1.0478400641137801e-10,
0.468,1.0135939011272401e-10,
0.47,9.74343637692286e-11,
0.472,9.34070533172996e-11,
0.474,8.95656114858241e-11,
0.476,8.59879196814144e-11,
0.478,8.25840421306315e-11,
0.48,7.92198359960358e-11,
0.482,7.58222908630168e-11,
0.484,7.24078766972047e-11,
0.486,6.90456097057538e-11,
0.488,6.58067219345939e-11,
0.49,6.274091110093131e-11,
0.492,5.98799753432749e-11,
0.494,5.724307026927339e-11,
0.496,5.4822453615554704e-11,
0.498,5.2554349200733e-11,
0.5,5.0302656652713e-11,
0.502,4.7886714071065e-11,
0.504,4.51630529968151e-11,
0.506,4.2132443528131895e-11,
0.508,3.9007960085811395e-11,
0.51,3.61763297013064e-11,
0.512,3.40335681144685e-11,
0.514,3.27606959707873e-11,
0.516,3.21699400582437e-11,
0.518,3.1735878290206395e-11,
0.52,3.0820455971097e-11,
0.522,2.89721037496873e-11,
0.524,2.61242411099938e-11,
0.526,2.25845236381042e-11,
0.528,1.8844773187305397e-11,
0.53,1.53463922236693e-11,
0.532,1.23330051461496e-11,
0.534,9.830923105991131e-12,
0.536,7.706847089355201e-12,
0.538,5.733407549899049e-12,
0.54,3.64108727110956e-12,
0.542,1.18343124956561e-12,
0.544,-1.7648226139371e-12,
0.546,-5.10976169561396e-12,
0.548,-8.51288680459939e-12,
0.55,-1.14879030261506e-11,
0.552,-1.3594672523634401e-11,
0.554,-1.46353762084708e-11,
0.556,-1.4746130394884e-11,
0.558,-1.4332137242575802e-11,
0.56,-1.38791298274234e-11,
0.562,-1.37379807351027e-11,
0.564,-1.39904338790285e-11,
0.566,-1.4459285928921699e-11,
0.568,-1.48497168493403e-11,
0.57,-1.4937688416565402e-11,
0.572,-1.4694644378101597e-11,
0.574,-1.42749603510327e-11,
0.576,-1.38775435774941e-11,
0.578,-1.35759034695045e-11,
0.58,-1.3236024768939801e-11,
0.582,-1.2586111442435098e-11,
0.584,-1.1399941549209801e-11,
0.586,-9.6746601145805e-12,
0.588,-7.68168992572836e-12,
0.59,-5.8489434218171e-12,
0.592,-4.54005113961324e-12,
0.594,-3.8604072558078396e-12,
0.596,-3.60140278179144e-12,
0.598,-3.3498061442577898e-12,
0.6,-2.6956782146787996e-12,
0.602,-1.4248617728640299e-12,
0.604,3.98965645177807e-13,
0.606,2.4918071837563902e-12,
0.608,4.5045965156562e-12,
0.61,6.19310695409447e-12,
0.612,7.52220480925729e-12,
0.614,8.66240931375066e-12,
0.616,9.88916436313071e-12,
0.618,1.1438126261879e-11,
0.62,1.3386156943342598e-11,
0.622,1.56125645077105e-11,
0.624,1.7856402849405e-11,
0.626,1.98403545165727e-11,
0.628,2.1399385559387603e-11,
0.63,2.25475839045168e-11,
0.632,2.3444464168363e-11,
0.634,2.42740496203866e-11,
0.636,2.51032601152367e-11,
0.638,2.58096236148809e-11,
0.64,2.6138769271662802e-11,
0.642,2.58753492443825e-11,
0.644,2.5028593690466303e-11,
0.646,2.39042384104594e-11,
0.648,2.29918406524187e-11,
0.65,2.2715066036387603e-11,
0.652,2.31948355363506e-11,
0.654,2.41831861913658e-11,
0.656,2.5222312041348802e-11,
0.658,2.59342510247987e-11,
0.66,2.6256220062887302e-11,
0.662,2.6471345026558703e-11,
0.664,2.70205115426939e-11,
0.666,2.82225794528827e-11,
0.668,3.00804980379074e-11,
0.67,3.22824089749364e-11,
0.672,3.43762767201417e-11,
0.674,3.59952521247548e-11,
0.676,3.70002341118798e-11,
0.678,3.7477818759543e-11,
0.68,3.762734181517e-11,
0.682,3.76267219034983e-11,
0.684,3.7556709217347e-11,
0.686,3.74074584302467e-11,
0.688,3.71348845927548e-11,
0.69,3.67133129213741e-11,
0.692,3.61523555535685e-11,
0.694,3.5485301830031297e-11,
0.696,3.47594221170586e-11,
0.698,3.40470748739433e-11,
0.7,3.34631492803676e-11,
0.702,3.31521565328231e-11,
0.704,3.32237909020003e-11,
0.706,3.36616808334422e-11,
0.708,3.4269026659788403e-11,
0.71,3.47070396751324e-11,
0.712,3.46242960233832e-11,
0.714,3.38070668627803e-11,
0.716,3.22579188955479e-11,
0.718,3.0155552314076504e-11,
0.72,2.77314610700106e-11,
0.722,2.51550785811868e-11,
0.724,2.2503509757728602e-11,
0.726,1.9818599005045697e-11,
0.728,1.71827094391072e-11,
0.73,1.47343291406576e-11,
0.732,1.26021168256175e-11,
0.734,1.08115327402159e-11,
0.736,9.24771961179785e-12,
0.738,7.715787331642599e-12,
0.74,6.06103008771113e-12,
0.742,4.26117774446424e-12,
0.744,2.4222622678282402e-12,
0.746,6.83131771728936e-13,
0.748,-8.97787390806616e-13,
0.75,-2.3891467844887204e-12,
0.752,-3.9355305603204795e-12,
0.754,-5.6505713746023004e-12,
0.756,-7.533213595591041e-12,
0.758,-9.46196003942552e-12,
0.76,-1.12605971604959e-11,
0.762,-1.27802362834426e-11,
0.764,-1.39418078820714e-11,
0.766,-1.47249614469972e-11,
0.768,-1.51347950113751e-11,
0.77,-1.51897263007317e-11,
0.772,-1.49443351554653e-11,
0.774,-1.4519434724692401e-11,
0.776,-1.4095450053895402e-11,
0.778,-1.3850563663549698e-11,
0.78,-1.3872282603488801e-11,
0.782,-1.4101158842000802e-11,
0.784,-1.43512695664547e-11,
0.786,-1.4402740158308698e-11,
0.788,-1.41122912782295e-11,
0.79,-1.3475606080134e-11,
0.792,-1.26079977763511e-11,
0.794,-1.1662565208452199e-11,
0.796,-1.07400686860585e-11,
0.798,-9.84058035047357e-12,
0.8,-8.87269748894659e-12,
0.802,-7.70041715169424e-12,
0.804,-6.19515050338132e-12,
0.806,-4.27298061860085e-12,
0.808,-1.9171476328475497e-12,
0.81,8.057639531761451e-13,
0.812,3.73599222002496e-12,
0.814,6.629506909669581e-12,
0.816,9.19890851895327e-12,
0.818,1.11837076724105e-11,
0.82,1.24259840120398e-11,
0.822,1.2917658359163301e-11,
0.824,1.2797538769083302e-11,
0.826,1.23028337618315e-11,
0.828,1.1703822428930699e-11,
0.83,1.1254665368001301e-11,
0.832,1.11758950893206e-11,
0.834,1.16572805603371e-11,
0.836,1.2854247623671099e-11,
0.838,1.4858291710791e-11,
0.84,1.76476371003258e-11,
0.842,2.1049052397313498e-11,
0.844,2.47459015000684e-11,
0.846,2.8345186167909797e-11,
0.848,3.14816556773478e-11,
0.85,3.39132971896422e-11,
0.852,3.5566265776186e-11,
0.854,3.6515682519807996e-11,
0.856,3.69229720021541e-11,
0.858,3.69687132024662e-11,
0.86,3.6813560425316205e-11,
0.862,3.65961699716447e-11,
0.864,3.64529729061859e-11,
0.866,3.65340087952214e-11,
0.868,3.69949341331685e-11,
0.87,3.7961898612937e-11,
0.872,3.94834294039485e-11,
0.874,4.1493697609050505e-11,
0.876,4.3810702010103895e-11,
0.878,4.61800456522245e-11,
0.88,4.83544224871037e-11,
0.882,5.0178859625695295e-11,
0.884,5.16430391180815e-11,
0.886,5.287174816303629e-11,
0.888,5.4051602478407996e-11,
0.89,5.53243251967552e-11,
0.892,5.6697164632436595e-11,
0.894,5.8016742600444995e-11,
0.896,5.902360249290361e-11,
0.898,5.94647232377196e-11,
0.9,5.9211043545257e-11,
0.902,5.83230745800009e-11,
0.904,5.7033338562517904e-11,
0.906,5.56559457380782e-11,
0.908,5.4469452018942204e-11,
0.91,5.362938981700561e-11,
0.912,5.3146795951506495e-11,
0.914,5.29308429176986e-11,
0.916,5.28601333351056e-11,
0.918,5.2837350920845896e-11,
0.92,5.2799930408961106e-11,
0.922,5.26921076387782e-11,
0.924,5.242930038970939e-11,
0.926,5.1889081174506495e-11,
0.928,5.0942887079650895e-11,
0.93,4.95141518314355e-11,
0.932,4.76298560756918e-11,
0.934,4.543493925072279e-11,
0.936,4.3158999450460396e-11,
0.938,4.1048884578119605e-11,
0.94,3.92950307406852e-11,
0.942,3.797822120577e-11,
0.944,3.70515779148562e-11,
0.946,3.63592330077695e-11,
0.948,3.56845173007488e-11,
0.95,3.48158670791616e-11,
0.952,3.3614143461701097e-11,
0.954,3.20598648386634e-11,
0.956,3.0258555893604e-11,
0.958,2.8394139152529998e-11,
0.96,2.6644330292750402e-11,
0.962,2.5096425125202497e-11,
0.964,2.3708672506416896e-11,
0.966,2.23410600624072e-11,
0.968,2.0838833055291102e-11,
0.97,1.9117925599482698e-11,
0.972,1.7199634267724e-11,
0.974,1.51766789777249e-11,
0.976,1.31414313925177e-11,
0.978,1.1133746085489199e-11,
0.98,9.14918088870584e-12,
0.982,7.199183984272661e-12,
0.984,5.370685717716461e-12,
0.986,3.82817709895013e-12,
0.988,2.74222684590971e-12,
0.99,2.18464316886196e-12,
0.992,2.05943978327149e-12,
0.994,2.11852227475793e-12,
0.996,2.0562861758599497e-12,
0.998,1.62842306914314e-12,
1.0,7.306598208540899e-13,
1.002,-5.94398602732114e-13,
1.004,-2.2077760171963396e-12,
1.006,-3.94099712630644e-12,
1.008,-5.64567745338926e-12,
1.01,-7.218876367718199e-12,
1.012,-8.61637261644009e-12,
1.014,-9.86267343763113e-12,
1.016,-1.1049532283883001e-11,
1.018,-1.23060647378473e-11,
1.02,-1.37378009543424e-11,
1.022,-1.5361057830492898e-11,
1.024,-1.7077247489665698e-11,
1.026,-1.87183245916821e-11,
1.028,-2.0151407500056398e-11,
1.03,-2.1385204839188e-11,
1.032,-2.2607108032975698e-11,
1.034,-2.41130464788803e-11,
1.036,-2.6155467156711103e-11,
1.038,-2.8788806821301802e-11,
1.04,-3.18006190403092e-11,
1.042,-3.47720796076921e-11,
1.044,-3.7240245255519896e-11,
1.046,-3.8879529939875207e-11,
1.048,-3.961376654204e-11,
1.05,-3.96134800586384e-11,
1.052,-3.91963090588162e-11,
1.054,-3.8693313598208706e-11,
