# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.011011483672581,-3.35799152592781e-05,-0.00382350874629569,0.0018917616294125302,-4.7376387225871395e-08,-0.000148995925680753,0.00012483153473403401,1.12761295334237e-09,1.4641418918869101e-05
0.02,0.0105224441500019,-3.603008532823571e-05,-0.0038603635954885603,0.0037202492848606703,-8.79722376930578e-07,-0.000308193409343077,0.00012456208563141598,1.29894096022042e-09,1.49973902669358e-05
0.03,0.00972988995285552,-3.9635823207926294e-05,-0.00391728017911515,0.0054254931861216,-3.17833637056179e-06,-0.00048707674243997595,0.000124106734807331,1.5811003034544197e-09,1.55823277547144e-05
0.04,0.008666063579307279,-4.37423441495166e-05,-0.003987838940858629,0.00695387439152529,-7.429784182352901e-06,-0.000693754835144883,0.00012345702701370702,1.96859436469109e-09,1.63841551895154e-05
0.05,0.007373196276354041,-4.7549219168297e-05,-0.00406370484214678,0.00826068257903826,-1.3858498827387e-05,-0.000934415230809309,0.00012260290000126698,2.45298623326343e-09,1.73868288676556e-05
0.06,0.00590091453999225,-5.02094470158644e-05,-0.0041352064004711395,0.00931200298848372,-2.23911748427578e-05,-0.00121293161821932,0.00012153419206582199,3.0223532804778496e-09,1.85711350849736e-05
0.07,0.00430331601323011,-5.0934695802804104e-05,-0.0041919847306105,0.0100858171481945,-3.2657184463724605e-05,-0.00153065055036911,0.00012024223625653702,3.6608349336219297e-09,1.99156270890168e-05
0.08,0.0026359592396551397,-4.90940241521391e-05,-0.00422365599211605,0.0105722780652456,-4.40248439913624e-05,-0.00188636521541285,0.00011872134460199699,4.34841009591461e-09,2.1397643665657397e-05
0.09,0.000953005586804674,-4.42942822160995e-05,-0.00422043237389112,0.0107731973260614,-5.56690203948811e-05,-0.0022764661138119,0.00011697000027473798,5.06102326876515e-09,2.29943473899221e-05
0.1,-0.000695278470215761,-3.64327190439073e-05,-0.00417365414736757,0.0107008504610682,-6.66618305978459e-05,-0.00269524241319767,0.00011499161274129,5.7711426755881895e-09,2.46837206077381e-05
0.11,-0.00226450012051817,-2.57157758165151e-05,-0.00407619732342495,0.0103762606449819,-7.60755057851642e-05,-0.00313529532599225,0.000112794745768428,6.44878370631381e-09,2.64454614006855e-05
0.12,-0.0037175039083238897,-1.2642177764744699e-05,-0.00392273646998165,0.00982715413066767,-8.30851862910105e-05,-0.0035880173297521104,0.000110392793616302,7.06297283964732e-09,2.8261729771525605e-05
0.13,-0.0050250916321486604,2.0472732946594602e-06,-0.0037098584030888205,0.00908579124838225,-8.70596158515675e-05,-0.00404408903038585,0.00010780314852066999,7.583568040165541e-09,3.0117705456655897e-05
0.14,-0.006166134103425,1.74468922224712e-05,-0.0034360378189895197,0.00818686474576571,-8.762936067274091e-05,-0.00449394886368451,0.000105045964146882,7.98329890013584e-09,3.2001932282937604e-05
0.15,-0.00712716452756683,3.25809152605634e-05,-0.0031014987473844896,0.00716562581327024,-8.4725050688263e-05,-0.00492819889639651,0.000102142667498812,8.23985025334475e-09,3.3906438842471304e-05
0.16,-0.00790158167413135,4.65046861823893e-05,-0.00270799464285924,0.0060563526246706295,-7.85818428687851e-05,-0.0053379214487743794,9.911440006732329e-05,8.337791865576941e-09,3.58266403790399e-05
0.17,-0.0084886105723922,5.8400536456074295e-05,-0.00225854421405394,0.0048912232826458105,-6.97103616299544e-05,-0.005714894497297529,9.59805746504251e-05,8.27015717693629e-09,3.77610410820781e-05
0.18,-0.00889216867306103,6.765762477511129e-05,-0.0017571595671527099,0.00369960177845116,-5.8838272246283603e-05,-0.0060517070915369,9.2757717029287e-05,8.03949647113754e-09,3.97107684661943e-05
0.19,-0.009119768219300859,7.39271998400394e-05,-0.00120859837115829,0.0025076985070780896,-4.6829919267225704e-05,-0.00634178770588021,8.94587241761717e-05,7.658272214764e-09,4.16789813292198e-05
0.2,-0.00918155499721686,7.714788089244541e-05,-0.0006181635125874481,0.00133853122493404,-3.459373811557619e-05,-0.00657936723178762,8.60926180070414e-05,7.148522243004e-09,4.3670199299015205e-05
0.21,-0.009089545092706241,7.75391962047312e-05,8.43657043725427e-06,0.000212091349223704,-2.2988188581064604e-05,-0.0067594033504665,8.26648127327557e-05,6.54078376231438e-09,4.56896048300185e-05
0.22,-0.008857080721497941,7.556531758295601e-05,0.0006651645066296929,-0.0008543848044180651,-1.27366915905294e-05,-0.00687749400511559,7.91778523011509e-05,5.872340534085261e-09,4.7742367611280797e-05
0.23,-0.00849848927478417,7.18742310136898e-05,0.00134567511279699,-0.00184613104361483,-4.36056855017571e-06,-0.00692980485960841,7.56325197838199e-05,5.18491964189003e-09,4.98330369014535e-05
0.24,-0.00802890103628378,6.72201130994932e-05,0.00204329636836603,-0.0027506230945815602,1.8634756731141e-06,-0.00691302970710558,7.202917925888421e-05,4.5220161466929394e-09,5.1965039780302e-05
0.25,-0.00746416358199933,6.23781783667286e-05,0.00275099043800287,-0.0035574498346367203,5.91787310386736e-06,-0.00682439484497142,6.83691873048019e-05,3.9260583584248795e-09,5.4140313390055606e-05
0.26,-0.00682078579532004,5.80616044320709e-05,0.00346131644820709,-0.00425829648255121,8.03057692696137e-06,-0.00666170970768736,6.46562077989477e-05,3.43564007500612e-09,5.6359087784125e-05
0.27,-0.00611585096805879,5.48493597724172e-05,0.00416641499905332,-0.00484702453458372,8.63630185326093e-06,-0.0064234577916814205,6.089727990236221e-05,3.0830379771446997e-09,5.8619823945849295e-05
0.28,-0.00536685426419467,5.31320177258727e-05,0.00485802995351115,-0.0053198117839788105,8.3182031665768e-06,-0.00610891519079924,5.71035221100644e-05,2.8922038115429e-09,6.09192998375893e-05
0.29,-0.00459144143382341,5.30802116543302e-05,0.00552757673496822,-0.0056753031536125,7.737357679739031e-06,-0.0057182796639515,5.3290400325634295e-05,2.8773755731327097e-09,6.32528268761232e-05
0.3,-0.0038070491074701,5.46376055679471e-05,0.00616625919827295,-0.00591472029782081,7.558230333789281e-06,-0.00525279147241632,4.94775391081424e-05,3.04239478797717e-09,6.56145707529755e-05
0.31,-0.00303046842496499,5.75374748159558e-05,0.00676523016500613,-0.00604188441336604,8.37814860430363e-06,-0.00471482824694197,4.56881061391853e-05,3.3807543822325497e-09,6.79979445836707e-05
0.32,-0.0022773699902730697,6.1339536895001e-05,0.00731578485394479,-0.00606312052441931,1.0667762453878699e-05,-0.004107959502244221,4.19478445662311e-05,3.8763399422655795e-09,7.039603930128671e-05
0.33,-0.0015618371191750099,6.54818000216377e-05,0.00780957238114949,-0.00598702982584821,1.4727738138197302e-05,-0.0034369514549462197,3.8283861322428995e-05,4.50477240474106e-09,7.28020560800698e-05
0.34,-0.0008959552911978491,6.934107009388671e-05,0.00823880863050828,-0.00582413622072767,2.06647826328769e-05,-0.00270771870048817,3.47232986014174e-05,5.23521724302935e-09,7.5209708211111e-05
0.35,-0.000289499163550148,7.229543252321329e-05,0.00859647415284081,-0.005586430826522279,2.83878105621584e-05,-0.00192722520738417,3.12920191452146e-05,6.032497352231489e-09,7.761356486043721e-05
0.36,0.000250253912812413,7.37824589319713e-05,0.00887648308146087,-0.00528685139016915,3.76229229100274e-05,-0.00110334222003724,2.8013424642611402e-05,6.85933557434189e-09,8.00093159499778e-05
0.37,0.000718570832727521,7.33479482106218e-05,0.00907381285603532,-0.00493874060957408,4.79440954741649e-05,-0.000244674433558708,2.4907502850302898e-05,7.678557797543899e-09,8.23939453247891e-05
0.38,0.00111317377049914,7.06815048365685e-05,0.00918458917992213,-0.00455532776238921,5.881523340084929e-05,0.0006396321290050679,2.1990166866121104e-05,8.45510680595823e-09,8.47658076643981e-05
0.39,0.0014340338449816401,6.56369634697673e-05,0.00920612541290303,-0.00414927232034536,6.96386120418081e-05,0.0015400868218741,1.9272913856937e-05,9.157747260641031e-09,8.712461253700921e-05
0.4,0.00168307702298739,5.8237368978115e-05,0.00913691989413282,-0.0037322977979644,7.98046873917646e-05,0.0024470432741031897,1.6762795117998e-05,9.76037927519038e-09,8.947132593713381e-05
0.41,0.0018638378491954198,4.8665726606027396e-05,0.00897661801185904,-0.0033149309532435898,8.873874419129109e-05,0.00335087065510272,1.4462658752865899e-05,1.024291766674e-08,9.18080050780607e-05
0.42,0.0019810971339176897,3.72439095160525e-05,0.00872594789157987,-0.00290634784633485,9.59407277065527e-05,0.00424210079840906,1.23716036579121e-05,1.0591732028902801e-08,9.413758579043001e-05
0.43,0.0020405353619146398,2.44028726672887e-05,0.00838663927771977,-0.0025143162382108603,0.00010101572004119799,0.00511154820822988,1.0485570708954901e-05,1.07996758898575e-08,9.646364345965009e-05
0.44,0.0020484255399205197,1.0647656715454801e-05,0.00796133464657128,-0.0021452149776230397,0.000103693714305109,0.005950403239253971,8.79799449281687e-06,1.08657589799198e-08,9.87901480644203e-05
0.45,0.0020113791524317397,-3.47938927045531e-06,0.00745350007589079,-0.00180410631080556,0.000103838468885048,0.0067503013560795,7.300445675525481e-06,1.07945337700865e-08,0.000101121231779193
0.46,0.00193614864796122,-1.7434105145582802e-05,0.00686734127056104,-0.0014948366299843,0.000101446181748851,0.00750337310911979,5.98320813734489e-06,1.05952758136482e-08,0.000103460984141013
0.47,0.00182948105971983,-3.07022576220905e-05,0.0062077277955026,-0.00122014452444065,9.66354450275888e-05,0.00820228023397255,4.83575360839609e-06,1.02810378587734e-08,0.000105813285419672
0.48,0.00169801118273315,-4.28257319459332e-05,0.00548012635612542,-0.000981761036217575,8.963039905164009e-05,0.00884024316403422,3.84709670892183e-06,9.867651750861171e-09,0.00010818168407835401
0.49,0.00154817981608829,-5.34221016399925e-05,0.0046905421723539105,-0.00078049436314425,8.073921488169771e-05,0.00941106442969848,3.00603219384311e-06,9.37274176334664e-09,0.00011056931957056599
0.5,0.00138616294773665,-6.21971590885442e-05,0.00384546628407326,-0.0006162984556555929,7.03300335666656e-05,0.00990915115883637,2.3012715041214402e-06,8.814800220173991e-09,0.00011297888763061201
0.51,0.00121780086742064,-6.89505500813467e-05,0.00295182605508495,-0.000488330776662574,5.88063311101094e-05,0.0103295384680894,1.72150590012634e-06,8.212362935152121e-09,0.00011541264202321699
0.52,0.00104852109201895,-7.357509758414991e-05,0.00201693615415496,-0.000395008075259743,4.65834147271182e-05,0.0106679141912136,1.25542785992903e-06,7.583309512155871e-09,0.000117872424641034
0.53,0.000883254525737778,-7.60507242299948e-05,0.00104844775076814,-0.000334069995433384,3.40674354773336e-05,0.0109206443156773,8.91741319085128e-07,6.944302815909e-09,0.000120359714955625
0.54,0.0007263493202277361,-7.64341024006577e-05,5.4294391321210996e-05,-0.000302658833491073,2.16379590679503e-05,0.011084797796981,6.191857044854711e-07,6.31037328242052e-09,0.000122875690080884
0.55,0.000581490523303549,-7.484529294805949e-05,-0.000957366165841693,-0.000297420334966454,9.634790759253819e-06,0.0111581691126407,4.26590084343393e-07,5.694647069455451e-09,0.000125421287921788
0.56,0.00045163523746865,-7.145269384591999e-05,-0.00197821413880049,-0.000314625933467236,-1.65058956266142e-06,0.0111392969531482,3.02963865733494e-07,5.108211903743139e-09,0.000127997267789367
0.57,0.00033897249671554103,-6.645761681387521e-05,-0.0029998333582758603,-0.00035031224076917004,-1.19789580771652e-05,0.011027477724671,2.37621019562284e-07,4.56011026919434e-09,0.00013060426514554
0.58,0.00024491466312527,-6.00797437498474e-05,-0.0040137794479160206,-0.00040042978964510803,-2.1162942367069102e-05,0.0108227729353211,2.2032720864899e-07,4.05744573867922e-09,0.000133242839466032
0.59,0.00017012341750495901,-5.25445803288309e-05,-0.00501164953631869,-0.00046099067682019905,-2.9062888393488105e-05,0.0105260099370316,2.4145438129871204e-07,3.60558440370531e-09,0.000135913516269372
0.6,0.000114569135649461,-4.40738147105844e-05,-0.00598515254436789,-0.000528204200597276,-3.5579885617870596e-05,0.0101387758101245,2.92125764372072e-07,3.2084294037236797e-09,0.000138616825907319
0.61,7.761840606740151e-05,-3.48792025394261e-05,-0.0069261792310690296,-0.000598590829340434,-4.06470655764761e-05,0.00966340436094257,3.64335597930913e-07,2.86874270976466e-09,0.000141353342583976
0.62,5.8141348864277294e-05,-2.51602424155784e-05,-0.00782687131995787,-0.000669067544405061,-4.42204393356948e-05,0.00910295625287793,4.51031795423976e-07,2.58848505345253e-09,0.000144123727200988
