# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,9.465817772532391e-07,-9.776542027277159e-11,-9.79916717297479e-11,-9.776542027277159e-11,-6.264905109858141e-11,-6.273366378519189e-11,-6.264905109858141e-11,-6.510052144033609e-09,-6.14419473916682e-11,-6.510052144033609e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,2.6874059870021698e-05,1.04011509637352e-10,-2.5927547016542197e-11,1.04011509637352e-10,5.3464469163311e-11,-7.194967266857679e-14,5.3464469163311e-11,-9.183283621352751e-07,-5.0583367338337795e-11,-9.183283621352751e-07,-0.0,0.0,-0.0,2.3670279685774465e-11,1.7412835782113497e-15,2.3670279685774465e-11
0.042,0.0,6.63365273484074e-05,9.57157476133393e-10,2.8590486337976604e-12,9.57157476133393e-10,4.5416023565441295e-10,-1.00048346453113e-11,4.5416023565441295e-10,-3.857879010582969e-06,-3.1657816575875106e-11,-3.857879010582969e-06,-0.0,-0.0,-0.0,4.1171130448810904e-10,8.511220662307048e-15,4.1171130448810904e-10
0.062,0.0,0.000119323297914122,2.90746899173818e-09,1.06172014387218e-11,2.90746899173818e-09,1.5472094666650303e-09,-1.0816409867058401e-11,1.5472094666650303e-09,-9.4844319408447e-06,-1.7099998143275802e-11,-9.4844319408447e-06,-0.0,-0.0,-0.0,2.5196381157668946e-09,1.6344510766099604e-14,2.5196381157668946e-09
0.082,0.0,0.00018582001017773602,6.96330912152857e-09,1.4234018889441998e-12,6.96330912152857e-09,3.846722286859551e-09,6.674450971022541e-12,3.846722286859551e-09,-1.83857640121881e-05,1.9984603873116398e-11,-1.83857640121881e-05,-0.0,-0.0,-0.0,9.663119431429164e-09,1.3130432962354467e-14,9.663119431429164e-09
0.102,0.0,0.000265808631207581,1.4884694158693301e-08,4.2179973756654296e-11,1.4884694158693301e-08,8.005922051691892e-09,-3.72084686279877e-12,8.005922051691892e-09,-3.10483911893919e-05,5.0389268663109297e-11,-3.10483911893919e-05,-0.0,-0.0,-0.0,2.8261459873879896e-08,-1.5402038998246313e-14,2.8261459873879896e-08
0.122,0.0,0.000359267460985997,2.85137818258663e-08,4.6845467953757295e-11,2.85137818258663e-08,1.4830587017338797e-08,1.55873508911879e-11,1.4830587017338797e-08,-4.7854135381652204e-05,6.59964069204311e-11,-4.7854135381652204e-05,-0.0,-0.0,-0.0,6.910658092905318e-08,-7.686823650143978e-14,6.910658092905318e-08
0.142,0.0,0.00046617113777348894,4.96935665796055e-08,5.6789608843376394e-11,4.96935665796055e-08,2.4955632527359398e-08,4.07889706838963e-11,2.4955632527359398e-08,-6.90970409813983e-05,4.82596668203978e-11,-6.90970409813983e-05,-0.0,-0.0,-0.0,1.4870345019945778e-07,-1.5533892847774912e-13,1.4870345019945778e-07
0.162,0.0,0.000586490644377564,7.971260152564759e-08,3.28699512165293e-11,7.971260152564759e-08,3.86468056408809e-08,4.309203176292e-11,3.86468056408809e-08,-9.498640858576559e-05,-1.12522109567835e-11,-9.498640858576559e-05,-0.0,-0.0,-0.0,2.9063322653741366e-07,-1.7914353888382382e-13,2.9063322653741366e-07
0.182,0.0,0.0007201933153250019,1.19281730726175e-07,6.726096884004491e-12,1.19281730726175e-07,5.57408893292166e-08,2.84246519378088e-11,5.57408893292166e-08,-0.00012565737340091999,-5.1517607201540606e-11,-0.00012565737340091999,-0.0,-0.0,-0.0,5.268911601680928e-07,-1.1596092086928474e-13,5.268911601680928e-07
