# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0394060792487169,0.000430902259712538,-0.00394242016065529,0.00686114714596411,0.00010242951096137399,-0.000298231155310329,0.0015999144219147302,1.96168562141158e-07,1.5631618545139e-05
0.02,0.0378633712942866,0.000405179576481621,-0.00392951447810636,0.0135623568070079,0.00020175600029084098,-0.0005993821576375071,0.0016175724079296,2.04875972851183e-07,1.58003430045417e-05
0.03,0.0353362982363784,0.000363372598929469,-0.0039063873747213,0.0199486469835107,0.00029503442597881603,-0.000906135072780241,0.00164660248952301,2.1908495816540604e-07,1.60809430915044e-05
0.04,0.0318891900889433,0.000307001378914033,-0.0038707080563240796,0.0258746849088563,0.000379621906419991,-0.00122070951300455,0.00168641976366136,2.3836263848906604e-07,1.6472512572432e-05
0.05,0.0276085791368132,0.000238049798789208,-0.0038193989837710897,0.0312089803753886,0.00045329595412921904,-0.00154466338324368,0.00173623409802507,2.62144928733501e-07,1.69737935647654e-05
0.06,0.0225999616166187,0.000158839397564879,-0.003748808413387,0.0358373833610616,0.000514337684858067,-0.00187872979878478,0.00179507631124033,2.8977320828392896e-07,1.7583190177123003e-05
0.07,0.0169840165865857,7.18902368812084e-05,-0.0036549145117035203,0.0396657493988568,0.000561574988767737,-0.0022226986980961897,0.00186182849478633,3.2053467416832e-07,1.8298789590379503e-05
0.08,0.0108925141373154,-2.02180923526144e-05,-0.0035335492822245397,0.0426217034530955,0.0005943851490449849,-0.0025753489004670103,0.0019352564694752302,3.53702476663608e-07,1.91183924890462e-05
0.09,0.00446414453255799,-0.000114973226581226,-0.00338062955080456,0.0446555014931927,0.0006126607183421389,-0.0029344332097749897,0.0020140424000161103,3.88571998630004e-07,2.00395544224034e-05
0.1,-0.00215952135897401,-0.000210034869562135,-0.0031923821194517104,0.0457400511723757,0.000616746046755432,-0.00329671585091547,0.00209681581375141,4.2449033262043707e-07,2.10596389982724e-05
0.11,-0.00883776802125902,-0.00030331146822976,-0.00296555094989985,0.0458702028210848,0.0006073542517338191,-0.00365805828013271,0.00218218165044505,4.6087703385883997e-07,2.21758828172994e-05
0.12,-0.0154340445289926,-0.000393006399676353,-0.00269757584447453,0.0450614550051416,0.000585475371202517,-0.0040135464830696795,0.0022687444577033197,4.97235440471294e-07,2.33854708084535e-05
0.13,-0.0218187777082727,-0.00047763518138080997,-0.0023867344445972698,0.0433482331635215,0.000552285906857538,-0.00435765050471055,0.00235512837908204,5.33155089406133e-07,2.4685619230231102e-05
0.14,-0.0278716714566874,-0.0005560184301026481,-0.00203224228494055,0.04078189579139,0.000509068125173246,-0.00468440535037471,0.00243999309412932,5.68306850681217e-07,2.6073662191319603e-05
0.15,-0.0334835180139282,-0.000627257464789769,-0.00163430887791055,0.0374286030077583,0.00045714470518543,-0.00498760170496566,0.00252204630170143,6.024332086135629e-07,2.7547136275793603e-05
0.16,-0.0385575781533408,-0.0006907003343902611,-0.00119415106824699,0.0333671516529847,0.000397831094880186,-0.0052609752064346794,0.00260005364248426,6.35336531980385e-07,2.91038568965159e-05
0.17,-0.0430106037664999,-0.000745905621920659,-0.000713967883781789,0.0286868448586111,0.000332404797033775,-0.00549838425035001,0.00267284710430088,6.668681459039099e-07,3.0741979503568894e-05
0.18,-0.0467735780437307,-0.00079260980944776,-0.000196883525459132,0.023485428098548,0.000262088245321727,-0.00569396836580043,0.00273933293598503,6.96920558368636e-07,3.24600388733333e-05
0.19,-0.0497922373871641,-0.000830701636908271,0.000353133250388669,0.0178670932462352,0.000188040329867742,-0.00584228186518343,0.00279849992508936,7.254243752188508e-07,3.42569604847812e-05
0.2,-0.0520274189433527,-0.000860204215967371,0.000931364455362958,0.0119405310229019,0.000111351191220471,-0.00593840043530339,0.00284942860301602,7.52350380954258e-07,3.6132039478725e-05
0.21,-0.0534552528282018,-0.0008812631682218391,0.00153244435285025,0.00581700257648436,3.3035623427034997e-05,-0.00597800126738282,0.0028913015739018,7.77716124079607e-07,3.80848848474132e-05
0.22,-0.0540671936190104,-0.0008941371970822439,0.00215045984701605,-0.00039159700210081403,-4.59778873786962e-05,-0.00595741988111625,0.0029234147740476103,8.015952933338991e-07,4.01153291935475e-05
0.23,-0.0538698659153149,-0.000899186605285949,0.00277904455537551,-0.00657469824258457,-0.00012486317233728798,-0.00587368868711295,0.00294518911071505,8.24127362931801e-07,4.2223307433880896e-05
0.24,-0.0528846870377664,-0.0008968554911359099,0.0034114638382078803,-0.0126250357297642,-0.00020291568572904,-0.0057245633393822,0.00295618165026032,8.455245474955209e-07,4.4408710945998706e-05
0.25,-0.0511472280448576,-0.0008876446528931981,0.00404069067033194,-0.0184406188770111,-0.000279571257958499,-0.0055085429540693105,0.00295609536123984,8.66073118086383e-07,4.66712265701343e-05
0.26,-0.0487062823202679,-0.0008720743676045219,0.00465947461049757,-0.0239266472808168,-0.000354419108377991,-0.00522488934083041,0.00294478638756226,8.861266070162779e-07,4.90101722697947e-05
0.27,-0.045622627547447,-0.000850638801025374,0.00526040792281019,-0.0289973065475694,-0.00042720364606929905,-0.00487364866592466,0.00292226793134678,9.0608932502479e-07,5.14243428332334e-05
0.28,-0.0419674892054923,-0.000823756373656425,0.00583599388247089,-0.0335773718262293,-0.0004978104687411509,-0.004455676707925379,0.00288871004896997,9.263898259278671e-07,5.39118795217864e-05
0.29,-0.0378207382837832,-0.0007917224684728769,0.00637872231734381,-0.0376035468030272,-0.000566233930941873,-0.00397266641952543,0.0028444349764978802,9.474453316346729e-07,5.6470176882605005e-05
0.3,-0.0332688790246031,-0.00075467200313297,0.0068811564945441,-0.04102547562792,-0.0006325264154983401,-0.00342717424255838,0.00278990796205073,9.696194986159082e-07,5.9095837991262e-05
0.31,-0.0284029008482544,-0.0007125593277353259,0.007336033691378309,-0.0438063827710281,-0.000696732581344221,-0.0028226398855819602,0.0027257239480776,9.931770854492e-07,6.17846862447159e-05
0.32,-0.0233160797393247,-0.000665161561049182,0.007736379446558559,-0.0459233186802626,-0.000758814869728233,-0.00216339333952757,0.00265259077301951,1.01823990881806e-06,6.45318376826459e-05
0.33,-0.0181018169973943,-0.000612108962830279,0.00807563291027906,-0.0473670142049872,-0.0008185789201195849,-0.0014546429402009099,0.00257130981330262,1.04474883084131e-06,6.733183298505861e-05
0.34,-0.0128515973939445,-0.000552942569693314,0.0083477782785823,-0.0481413707989952,-0.000875608846795833,-0.000702439313250322,0.00248275513798238,1.07243633796617e-06,7.017882317717011e-05
0.35,-0.00765313564532106,-0.00048719555833363497,0.008547475371683159,-0.0482626336098822,-0.0009292222755819551,8.63880581314568e-05,0.0023878522881674103,1.1008135494977301e-06,7.3066798126118e-05
0.36,-0.00258876186027871,-0.000414491185113014,0.00867018129410696,-0.0477583085577166,-0.0009784535521351631,0.0009043223630301949,0.0022875577242633,1.12917429622231e-06,7.59898426089588e-05
0.37,0.0022659240558231698,-0.00033464722757012,0.00871225498367294,-0.0466658912895842,-0.0010220707372242302,0.0017432769731006198,0.00218283982167805,1.15661735881044e-06,7.89424015054769e-05
0.38,0.006843119369007379,-0.000247775081592003,0.008671037366604479,-0.0450314754684952,-0.0010586282288152,0.0025947340651314398,0.00207466206556817,1.18208621790233e-06,8.19195338818047e-05
0.39,0.0110836146723198,-0.000154361355446678,0.008544901692414229,-0.0429083012370452,-0.00108655257820611,0.00344989719983884,0.00196396882925348,1.20442393326168e-06,8.49171356224794e-05
0.4,0.0149373399241006,-5.5321055391151295e-05,0.00833327119728608,-0.0403552936863085,-0.00110425486676859,0.00429984919329446,0.00185167385251634,1.2224392299517e-06,8.79321119325927e-05
0.41,0.0183636884402059,4.79858356757552e-05,0.008036604210004029,-0.0374356279864833,-0.00111025945411395,0.00513570610239146,0.00173865129587132,1.23497869587491e-06,9.09624843983953e-05
0.42,0.0213316488298059,0.00015377874375923799,0.00765634978630935,-0.0342153447684056,-0.0011033364921576802,0.0059487587009407605,0.0016257290594190199,1.2409993169589899e-06,9.40074221323375e-05
0.43,0.0238197722112993,0.00025992171563220403,0.00719487955025895,-0.0307620283359585,-0.00108262466692968,0.00673059438069858,0.0015136839355405,1.23963546770178e-06,9.70671924602257e-05
0.44,0.0258159963223175,0.000364024745342392,0.0066554033005893605,-0.0271435526909743,-0.00104773132559975,0.00747319476869567,0.00140323811880161,1.23025494586459e-06,0.000100143033144356
0.45,0.0273173411560974,0.000463572439853047,0.0060418768694383606,-0.0234268967573202,-0.000998799394223329,0.00816900719874851,0.00129505661951675,1.2124996368922001e-06,0.000103236954718659
0.46,0.0283294843028656,0.000556068214019621,0.00535891059224164,-0.0196770304103502,-0.000936534007232773,0.00881099113770998,0.0011897452066361599,1.18630780534645e-06,0.000106351487564443
0.47,0.0288662197132257,0.000639180579021161,0.00461168559580989,-0.0159558760891548,-0.000862186099838828,0.009392643360879659,0.00108784862230468,1.15191668335312e-06,0.000109489393339277
0.48,0.0289488020499076,0.000710878057266624,0.00380588310695716,-0.012321355567769,-0.0007774948031192769,0.00990800775190258,0.000989848943152128,1.10984578118065e-06,0.00011265336383558401
0.49,0.0286051804167629,0.000769540792700662,0.00294762940771932,-0.00882653637423198,-0.000684594747637292,0.0103516768131026,0.000896164091041194,1.06086300012293e-06,0.000115845731968178
0.5,0.0278691296629573,0.000814039793591995,0.0020434562670920103,-0.00551889595368304,-0.000585897799610859,0.0107187921751693,0.000807146600718304,1.0059370171401502e-06,0.00011906821920998899
0.51,0.0267792937389104,0.0008437785409154269,0.00110027403738924,-0.00243972289372059,-0.00048396092527005195,0.0110050505890857,0.00072308282095299,9.46180403297612e-07,0.00012232174142568799
0.52,0.025378162482055,0.0008586959055671639,0.000125352461518153,0.000376327203907689,-0.000381352583452771,0.0112067201999459,0.000644192753129983,8.82788451143914e-07,0.000125606290879484
0.53,0.0237110094020837,0.000859233392848626,-0.000873697132144255,0.0029015083040248102,-0.000280529265906806,0.0113206695860693,0.000570630717304026,8.16978692416372e-07,0.000128920906555672
0.54,0.0218248223396607,0.000846273165530748,-0.0018889450034149898,0.00511508715054927,-0.000183731719595266,0.011344409418917,0.0005024869867154669,7.499356154828659e-07,0.00013226373828993998
0.55,0.0197672604665897,0.000821055690153174,-0.00291217775625919,0.0070032758013821896,-9.29073415760565e-05,0.0112761440139036,0.000439790458304227,6.82764220451635e-07,0.000135632203106344
0.56,0.0175856696352928,0.000785086968454977,-0.00393494946207815,0.00855900492479297,-9.66169144648828e-06,0.0111148278389936,0.00038251234182429,6.16454896319433e-07,0.000139023225159577
0.57,0.0153261837406604,0.0007400451067821349,-0.004948651821010329,0.00978155708128855,6.47614823696973e-05,0.0108602205087918,0.00033057076698698903,5.518608096709021e-07,0.00014243354434516998
0.58,0.0130329331541419,0.000687694575233418,-0.00594460351475225,0.0106760850325103,0.00012947538925326898,0.0105129331063433,0.000283836138221721,4.896877052277561e-07,0.000145860073446055
0.59,0.0107473733796308,0.000629814205625589,-0.00691415631055345,0.0112530433218069,0.000183926445797792,0.0100744589197416,0.00024213701856366,4.304948710716e-07,0.000149300280012326
0.6,0.00850773895989349,0.0005681421701478269,-0.00784881313218672,0.0115275617566206,0.00022785872950775498,0.0095471828141505,0.000205266302262392,3.7470512611317e-07,0.000152752567270797
0.61,0.00634862037962413,0.000504338311792119,-0.00874035150633662,0.0115187872371356,0.00026127377513294304,0.00893436533168364,0.000172987440138977,3.22621118313544e-07,0.00015621662833431102
0.62,0.00430065609440151,0.00043996168191550995,-0.00958094473461428,0.011249216242507,0.00028439185850094,0.008240099985816221,0.000145040508912995,2.74445010735543e-07,0.000159693749783982
0.63,0.00239032834708398,0.00037645931607153396,-0.0103632729483291,0.0107440350735475,0.000297619136470909,0.007469244804507959,0.00012114795926849199,2.30298767050737e-07,0.000163187044151239
0.64,0.0006398501974709719,0.000315161355958184,-0.011080616884982,0.0100304796047194,0.000301522798580871,0.00662733167170227,0.000101019929375896,1.9024267835344103e-07,0.000166701595638495
0.65,-0.0009328681122192811,0.00025727766143032,-0.0117269286893925,0.00913722167257345,0.00029681412330999,0.0057204591359031704,8.43590628085415e-05,1.5429041886733198e-07,0.00017024450921163402
0.66,-0.00231418330264052,0.000203891959249176,-0.0122968761087554,0.0080937859420708,0.000284337387587011,0.00475517586572884,7.086481523428309e-05,1.2241968102627402e-07,0.00017382485954809098
0.67,-0.0034946209605874103,0.00015595112300008,-0.0127858588781072,0.0069299994402533295,0.000265061246188217,0.0037383626814856898,6.0237267900088404e-05,9.45782169958364e-08,0.000177453542789197
0.68,-0.0044687200594237,0.00011424906176714299,-0.0131899986075345,0.0056754758683678795,0.00024006865685343597,0.0026771210155134397,5.21804853019219e-05,7.068580811808519e-08,0.00018114304019846599
0.69,-0.00523482342672525,7.94065682963532e-05,-0.0135061058124546,0.0043591379223782605,0.000210541719357222,0.00157867478229426,4.6405459735307705e-05,5.06332186784986e-08,0.000184907108285471
0.7,-0.00579481721988841,5.1850014723961206e-05,-0.0137316296314378,0.00300878256787163,0.00017773882768147,0.000450291087442324,4.26326791526435e-05,3.42795148924581e-08,0.00018876041439841101
0.71,-0.0061538235518989,3.1792729402519e-05,-0.013864597065589,0.00165069583409493,0.000142963093310752,-0.000700776843389547,4.05943410446039e-05,2.1449223691840402e-08,0.000192718139975371
0.72,-0.0063198526190690295,1.9223092856109197e-05,-0.0139035491351041,0.00030932456421396,0.000107522796051421,-0.0018673234494509898,4.00362188127798e-05,1.1930678969670001e-08,0.000196795575417123
0.73,-0.0063034235385809895,1.3902831829087699e-05,-0.0138474811489317,-0.000992987792494621,7.26863386975252e-05,-0.0030422026002777302,4.07191730627803e-05,5.4765925661192405e-09,0.000201007730831157
0.74,-0.00611716596531339,1.53777708325861e-05,-0.0136957933698485,-0.00223619605158587,3.96355270856391e-05,-0.0042183207177994,4.2420292228316704e-05,1.80745084313596e-09,0.000205368985707803
0.75,-0.0057754167511643,2.3001629147627e-05,-0.0134482568493964,-0.00340267667731627,9.421739198138091e-06,-0.00538861630879444,4.49336472199813e-05,6.17844112962698e-10,0.00020989279801074398
0.76,-0.005293826858965111,3.5971606246609004e-05,-0.0131049972820011,-0.00447728165786142,-1.7070440370856602e-05,-0.00654603204912062,4.80706538565228e-05,1.5853563904160502e-09,0.000214591489349371
