# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,1.1761548034163198e-10,1.17702139651455e-10,1.1761548034163198e-10,-2.72475435426816e-12,-2.72670051051831e-12,-2.72475435426816e-12,2.5975677166133298e-09,2.7814911694661302e-11,2.5975677166133298e-09,-0.0,-0.0,-0.0,0.0,0.0,0.0
0.022,0.0,-6.67208539664262e-06,-5.29100978951151e-11,-8.65054975576724e-12,-5.29100978951151e-11,6.05608308158437e-11,5.7313206624836605e-11,6.05608308158437e-11,2.57317739913423e-07,-1.69393347113391e-10,2.57317739913423e-07,-0.0,-0.0,-0.0,1.9145207768476463e-12,-1.0698656123999182e-15,1.9145207768476463e-12
0.042,0.0,-1.00055141237505e-05,-3.5824979565118e-10,1.0306251862760801e-11,-3.5824979565118e-10,3.46837466703719e-11,4.59087140581828e-12,3.46837466703719e-11,7.697356571146559e-07,-2.91506808698047e-10,7.697356571146559e-07,-0.0,-0.0,-0.0,1.7105975950063197e-11,-7.683542363852116e-15,1.7105975950063197e-11
0.062,0.0,-1.03902287571547e-05,-1.24688603699107e-09,-4.79964652955874e-12,-1.24688603699107e-09,1.62458781898916e-10,3.6076655180431706e-11,1.62458781898916e-10,1.33654626259372e-06,-4.3502156753865396e-10,1.33654626259372e-06,-0.0,-0.0,-0.0,5.347947107973471e-11,-2.0485077297281222e-14,5.347947107973471e-11
0.082,0.0,-7.82618856938883e-06,-2.8903811958972603e-09,-4.72464319078374e-11,-2.8903811958972603e-09,3.9537790988441503e-10,8.639356747907191e-11,3.9537790988441503e-10,1.7698926961513e-06,-3.74701443785416e-10,1.7698926961513e-06,-0.0,-0.0,-0.0,1.0023662128793422e-10,-3.261004057778467e-14,1.0023662128793422e-10
0.102,0.0,-2.31361955588098e-06,-5.31019329842911e-09,-6.01668137362002e-11,-5.31019329842911e-09,6.23528715407906e-10,1.0114470075527499e-10,6.23528715407906e-10,1.89096153044568e-06,-2.79014415668261e-10,1.89096153044568e-06,-0.0,-0.0,-0.0,1.3023838941418396e-10,-3.8020010928650614e-14,1.3023838941418396e-10
0.122,0.0,6.1469855836460995e-06,-8.20905211958535e-09,-5.482407227995279e-11,-8.20905211958535e-09,7.881425249385161e-10,1.14228439103407e-10,7.881425249385161e-10,1.53660453355402e-06,-1.27821575512195e-10,1.53660453355402e-06,-0.0,-0.0,-0.0,1.194182774685037e-10,-3.693517432545922e-14,1.194182774685037e-10
0.142,0.0,1.75548674856199e-05,-1.09400543907598e-08,-5.829460037042911e-11,-1.09400543907598e-08,8.054327607400139e-10,1.33260903082479e-10,8.054327607400139e-10,5.662940693107371e-07,2.15233284482622e-11,5.662940693107371e-07,-0.0,-0.0,-0.0,8.119212258011508e-11,-3.577855618324727e-14,8.119212258011508e-11
0.162,0.0,3.19090001849905e-05,-1.24190955185988e-08,-3.20178443834916e-11,-1.24190955185988e-08,5.66223911446111e-10,1.56592203373143e-10,5.66223911446111e-10,-1.13921998325998e-06,1.40006777458647e-10,-1.13921998325998e-06,-0.0,-0.0,-0.0,1.126344071436769e-10,-4.34907585022671e-14,1.126344071436769e-10
0.182,0.0,4.92080911995455e-05,-1.13522102084156e-08,9.83172995790595e-14,-1.13522102084156e-08,-2.85534700685099e-11,1.68164940330511e-10,-2.85534700685099e-11,-3.6785921712989403e-06,2.1067528958679e-10,-3.6785921712989403e-06,-0.0,-0.0,-0.0,4.4938928049548427e-10,-6.836269849079013e-14,4.4938928049548427e-10
0.202,0.0,6.94505816362473e-05,-6.39961751512938e-09,3.0504197249944703e-12,-6.39961751512938e-09,-9.610543585891331e-10,1.44230276681488e-10,-9.610543585891331e-10,-7.13060197124496e-06,2.41955649132575e-10,-7.13060197124496e-06,-0.0,-0.0,-0.0,1.5264700171467527e-09,-1.1377610871108173e-13,1.5264700171467527e-09
0.222,0.0,9.26346463195461e-05,3.855179192022399e-09,-1.50162896943703e-11,3.855179192022399e-09,-2.1184449809428604e-09,9.74464241277714e-11,-2.1184449809428604e-09,-1.1557718928259301e-05,2.23809968406272e-10,-1.1557718928259301e-05,-0.0,-0.0,-0.0,4.0426935523567295e-09,-1.7351781868675126e-13,4.0426935523567295e-09
0.242,0.0,0.000118758193941226,2.09697488159269e-08,3.7614047803905705e-11,2.09697488159269e-08,-3.44939889773686e-09,3.94017382547182e-11,-3.44939889773686e-09,-1.70085917021879e-05,1.55587805242489e-10,-1.70085917021879e-05,-0.0,-0.0,-0.0,9.027263170735986e-09,-2.385011766270974e-13,9.027263170735986e-09
