# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,9.11374376315893e-06,0.000300211966196552,-0.0064239937845924,6.22791050766216e-06,6.11380613427241e-05,-0.000640245516481133,1.21847194671967e-10,9.386508719234641e-08,4.1677610465856e-05
0.02,5.878478677883e-06,0.000280705430063634,-0.00641875581020036,1.17563648757595e-05,0.000119207060916123,-0.0013057782532704802,1.72768626658316e-10,9.300586183947e-08,4.2905482997694896e-05
0.03,8.45045590880864e-07,0.00024946585334229503,-0.0063927411890323605,1.59560864349814e-05,0.00017134701086751001,-0.00201846854924109,2.5531079637126403e-10,9.159301011703e-08,4.4941355194226295e-05
0.04,-5.48831393677708e-06,0.000208296813339075,-0.006321800962498229,1.83302496041901e-05,0.000215097969232651,-0.00279366204785531,3.66119640420532e-10,8.965469881522369e-08,4.776971504707079e-05
0.05,-1.2498707025010901e-05,0.000159526595706602,-0.00617551497496285,1.85619351586969e-05,0.000248556662059187,-0.00363765996698547,5.007631141327239e-10,8.722914899174219e-08,5.13695552413992e-05
0.06,-1.9502464631445396e-05,0.000105833855826589,-0.00592020683416501,1.65417228689017e-05,0.00027048600135797597,-0.0045460097565131795,6.53974722172323e-10,8.436348196975019e-08,5.5715053665607105e-05
0.07,-2.58234790788267e-05,5.005270288267679e-05,-0.00552233053540866,1.23728469056252e-05,0.00028036947586140696,-0.00550275142126514,8.19939412284642e-10,8.11123160606616e-08,6.0776407746542506e-05
0.08,-3.08582167866258e-05,-5.02530842250928e-06,-0.00495193223617653,6.35408648877311e-06,0.000278407822154232,-0.00648067594549566,9.92603958357205e-10,7.753616916140409e-08,6.65207935822104e-05
0.09,-3.41302769188098e-05,-5.68351708425344e-05,-0.00418589286090324,-1.05678039994981e-06,0.00026546090588925296,-0.0074425611831895,1.16599258736836e-09,7.3699729200243e-08,7.291341600847979e-05
0.1,-3.532890610370129e-05,-0.00010319339352329399,-0.00321068709429792,-9.293917178270951e-06,0.000242942754447551,-0.00834326676326064,1.3345085030007099e-09,6.96700584054165e-08,7.99186119004209e-05
0.11,-3.43280724133487e-05,-0.000142412464333476,-0.0020244473884064897,-1.77422255393905e-05,0.000212681659762082,-0.009132501252905021,1.49320312270671e-09,6.55147983966875e-08,8.750096636273759e-05
0.12,-3.11852364025698e-05,-0.000173367829253156,-0.000638191000994109,-2.57968644408738e-05,0.000176759828379297,-0.00975802810148051,1.63799718446498e-09,6.13004411486299e-08,9.56264001830333e-05
0.13,-2.6121482817550896e-05,-0.0001955153587128,0.0009238544781808211,-3.29167033615621e-05,0.000137347990872017,-0.0101690550228018,1.7658412247806798e-09,5.7090726089174494e-08,0.000104263187153626
0.14,-1.9486855107843e-05,-0.000208862093486745,0.00262481477798665,-3.86661288795019e-05,9.6549687531559e-05,-0.0103195546947535,1.87480704452032e-09,5.29452162581074e-08,0.000113382861716747
0.15,-1.17162870224635e-05,-0.000213897244568244,0.0044165409787695,-4.2741490344443295e-05,5.6267803636318606e-05,-0.0101712903155469,1.9641063784568898e-09,4.89180969599424e-08,0.000122960980900289
0.16,-3.28226946356126e-06,-0.000211493551702704,0.006241655284770179,-4.49807120977132e-05,1.8102673659073604e-05,-0.00969636266686098,2.03403775364879e-09,4.50572292054311e-08,0.00013297770966119499
0.17,5.349735411499691e-06,-0.00020279092380739,0.008036100539172,-4.53568900077759e-05,-1.67128466015565e-05,-0.0088791493712411,2.08586714015054e-09,4.1403478020182e-08,0.00014341820543249198
0.18,1.3758053996789002e-05,-0.000189074703949446,0.00973200790234126,-4.3958709151727e-05,-4.73400396082183e-05,-0.0077175648924819795,2.1216521600646898e-09,3.79903230236783e-08,0.000154272785680903
0.19,2.1590221528806697e-05,-0.00017166000577010701,0.0112607000528873,-4.0961999385633293e-05,-7.332522480284829e-05,-0.00622362480046627,2.14402305933157e-09,3.48437461733815e-08,0.000165536871338076
0.2,2.8575489963436102e-05,-0.00015179158888276698,0.0125556653671659,-3.65975070274846e-05,-9.45605275692095e-05,-0.0044233444234139,2.1559361472772303e-09,3.19823798297223e-08,0.000177210708700396
0.21,3.4524866706481395e-05,-0.00013056601610591398,0.0135553669789853,-3.11199358184276e-05,-0.000111222314830242,-0.00235603659258307,2.1604168264433604e-09,2.9417887877967298e-08,0.000189298882360556
0.22,3.9320922478354205e-05,-0.000108879758214282,0.01420578398691,-2.4782547417468398e-05,-0.000123696169146301,-7.30942308947122e-05,2.16030960104781e-09,2.7155544010270697e-08,0.000201809641449339
0.23,4.29009293673526e-05,-8.740387433804979e-05,0.0144626151440624,-1.7820264787247303e-05,-0.00013249727370796,0.0023636483685284698,2.15805157767018e-09,2.51949647893437e-08,0.000214754070415312
0.24,4.52375701051194e-05,-6.6583239239586e-05,0.0142931038625127,-1.04425234163235e-05,-0.00013819415066852,0.00488388423510094,2.15548404431606e-09,2.35309510266294e-08,0.000228145143246444
0.25,4.63214285290142e-05,-4.66562633371008e-05,0.0136774644920438,-2.83533936968331e-06,-0.000141342076237119,0.00741105060316938,2.1537138903098496e-09,2.2154389423600498e-08,0.00024199670597385697
0.26,4.6148769109020895e-05,-2.7689795257559602e-05,0.0126099025239062,4.82951667116325e-06,-0.000142430483254177,0.00986472475217325,2.15303312155476e-09,2.1053167321424e-08,0.00025632243609855496
0.27,4.47168785121636e-05,-9.62342946020933e-06,0.0110992262587408,1.23815007542829e-05,-0.000141846558766124,0.0121631412641907,2.1529007847999e-09,2.02130566283672e-08,0.00027113482895538
0.28,4.2027686717044106e-05,7.682323292475529e-06,0.0091690466072865,1.9638255052788e-05,-0.000139855318750461,0.0142257809671217,2.15198751230436e-09,1.9618528273963202e-08,0.000286444259811113
0.29,3.8098761477341604e-05,2.4398773270061802e-05,0.00685755802098204,2.63962740002775e-05,-0.00013659489508853002,0.0159759839965822,2.1482789072050897e-09,1.92534655013303e-08,0.00030225816667018597
0.3,3.29793317643864e-05,4.0686370577891794e-05,0.0042168903470781,3.24282907480036e-05,-0.000132084714303263,0.0173435356335946,2.1392303644625197e-09,1.91017525033762e-08,0.000318580392473045
0.31,2.67679612521629e-05,5.66590745982775e-05,0.00131202163980526,3.74891868738314e-05,-0.000126243705184748,0.0182671649725176,2.12196288205834e-09,1.9147723833106698e-08,0.00033541071691649
0.32,1.9628013709482398e-05,7.23571216930047e-05,-0.0017807522161958898,4.13307175230951e-05,-0.00011891558387941499,0.0186968852884165,2.09348713315351e-09,1.9376469149078502e-08,0.00035274459794369
0.33,1.17971941022447e-05,8.772863705945999e-05,-0.00497578283199709,4.37237677508424e-05,-0.00010989851190018199,0.0185960941279647,2.05094165501564e-09,1.9773996678185e-08,0.00037057313160732
0.34,3.5881855565595702e-06,0.00010261992362907,-0.0081804427656095,4.44854519908281e-05,-9.89768563065785e-05,0.0179433437049292,1.9918305144165697e-09,2.03272668099692e-08,0.00038888322715463703
0.35,-4.62137910316594e-06,0.00011677393622652601,-0.0112978570794738,4.35073450528939e-05,-8.59532540440564e-05,0.0167336908042213,1.91424621836675e-09,2.1024114062598898e-08,0.00040765798251949503
0.36,-1.24098505229358e-05,0.000129836353889803,-0.0142299177440583,4.07806386806265e-05,-7.067957382948621e-05,0.0149795419034139,1.81706488120142e-09,2.1853080948116003e-08,0.000426877234638796
0.37,-1.93420324393577e-05,0.00014136869967746398,-0.0168804814434789,3.64141235337044e-05,-5.30856057119329e-05,0.0127109242794506,1.7001026116130502e-09,2.2803190782299798e-08,0.000446518249801563
0.38,-2.50063518049664e-05,0.000150868014256975,-0.0191586313679124,3.0641588642360495e-05,-3.32043730079885e-05,0.009975136904781759,1.56422458512138e-09,2.38636881126964e-08,0.000466556512160695
0.39,-2.9054767289898603e-05,0.00015779256761817,-0.0209818705444686,2.38164151492137e-05,-1.11928895757203e-05,0.00683576422127714,1.4114011328298498e-09,2.50237751725891e-08,0.00048696656403372996
0.4,-3.124082091643211e-05,0.000161592925829295,-0.0222791100618375,1.63926605145143e-05,1.2652945845194801e-05,0.0033710687952848897,1.2447082102767e-09,2.62723707166336e-08,0.0005077228499700139
0.41,-3.14511807602791e-05,0.00016174735660967,-0.0229933210017493,8.893584662231309e-06,3.789071912211189e-05,-0.000328187710610135,1.0682726193600302e-09,2.75979139658064e-08,0.00052880051786288
0.42,-2.97265489059854e-05,0.000157800088399394,-0.0230837336557092,1.87014918303335e-06,6.39324923955068e-05,-0.0041614150299172795,8.87165167826743e-10,2.89882314827581e-08,0.000550176134538944
0.43,-2.6268850944320002e-05,0.000149400406052292,-0.0225274902609967,-4.14667204798128e-06,9.00555253679521e-05,-0.00802125068264537,7.07247419008411e-10,3.04304789778875e-08,0.000571828279973138
