# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,-2.13825669168624e-10,-2.13758725395903e-10,-2.13825669168624e-10,1.33330290349915e-10,1.33263465253509e-10,1.33330290349915e-10,3.29921343979916e-09,6.40769927039814e-10,3.29921343979916e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,-6.67208539664262e-06,-2.3837262658498397e-10,-2.21270805847527e-10,-2.3837262658498397e-10,-3.57056114146379e-10,-3.79821696068489e-10,-3.57056114146379e-10,2.65502321101509e-07,-4.82958058060092e-10,2.65502321101509e-07,0.0,0.0,0.0,1.9774813877786724e-12,-1.7845911474073446e-15,1.9774813877786724e-12
0.042,0.0,-1.00055141237505e-05,-3.7490542368536603e-10,-3.5436118807748996e-10,-3.7490542368536603e-10,-4.37010718097906e-10,-5.22172017872238e-10,-4.37010718097906e-10,7.92971953096587e-07,-1.3860236354754401e-09,7.92971953096587e-07,0.0,0.0,0.0,1.7635163825911707e-11,-2.9987444581823136e-14,1.7635163825911707e-11
0.062,0.0,-1.03902287571547e-05,-4.638298798796e-10,-5.17313850315983e-10,-4.638298798796e-10,-3.50165771779458e-10,-4.6488553501710604e-10,-3.50165771779458e-10,1.3755607832161801e-06,-1.852996497629e-09,1.3755607832161801e-06,0.0,0.0,0.0,5.5083846768685174e-11,-8.714159852183039e-14,5.5083846768685174e-11
0.082,0.0,-7.82618856938883e-06,-3.18618816226004e-10,-4.04880445048262e-10,-3.18618816226004e-10,-1.39686041834197e-10,-3.26097463317807e-10,-1.39686041834197e-10,1.81967235141715e-06,-1.8278704348148397e-09,1.81967235141715e-06,0.0,0.0,0.0,1.0317977896569158e-10,-1.4242982978846403e-13,1.0317977896569158e-10
0.102,0.0,-2.31361955588098e-06,-1.74363712631142e-10,-1.26477792481986e-10,-1.74363712631142e-10,3.1531334665399197e-10,-5.29800438819505e-11,3.1531334665399197e-10,1.94072081203681e-06,-1.60749812282439e-09,1.94072081203681e-06,0.0,0.0,0.0,1.3400358488527152e-10,-1.703621661275588e-13,1.3400358488527152e-10
0.122,0.0,6.1469855836460995e-06,-6.518271896817049e-11,2.91819935577298e-10,-6.518271896817049e-11,7.69275787560765e-10,1.39860898496805e-10,7.69275787560765e-10,1.57061394859962e-06,-1.17728596906242e-09,1.57061394859962e-06,0.0,-0.0,0.0,1.2293557603161484e-10,-1.6201532637508839e-13,1.2293557603161484e-10
0.142,0.0,1.75548674856199e-05,-6.351392057329311e-11,7.02252094571117e-10,-6.351392057329311e-11,1.1362395872521199e-09,2.99117639359688e-10,1.1362395872521199e-09,5.64660829894686e-07,-6.00564439440762e-10,5.64660829894686e-07,0.0,-0.0,0.0,8.418958983794284e-11,-1.2959705149010568e-13,8.418958983794284e-11
0.162,0.0,3.19090001849905e-05,-2.1250332176890299e-10,9.81200091829893e-10,-2.1250332176890299e-10,1.1763154209378698e-09,3.65899952804417e-10,1.1763154209378698e-09,-1.2002549497299e-06,-3.32069460019663e-11,-1.2002549497299e-06,0.0,-0.0,0.0,1.184648522795705e-10,-1.1001579512855955e-13,1.184648522795705e-10
0.182,0.0,4.92080911995455e-05,-4.10585343092112e-10,1.11844869660741e-09,-4.10585343092112e-10,6.88062471618101e-10,2.86251208124424e-10,6.88062471618101e-10,-3.82445016122469e-06,2.91972656225128e-10,-3.82445016122469e-06,0.0,-0.0,0.0,4.695435236018883e-10,-1.3252673337103604e-13,4.695435236018883e-10
0.202,0.0,6.94505816362473e-05,-5.717312191177429e-10,1.0975235590677001e-09,-5.717312191177429e-10,-3.19420143674426e-10,1.77575117841272e-10,-3.19420143674426e-10,-7.38580502007809e-06,4.85586358636093e-10,-7.38580502007809e-06,0.0,-0.0,0.0,1.5864827157650263e-09,-2.1142344670822793e-13,1.5864827157650263e-09
0.222,0.0,9.26346463195461e-05,-6.503377738224901e-10,8.65567598589965e-10,-6.503377738224901e-10,-2.04702368309945e-09,-6.04573863279781e-11,-2.04702368309945e-09,-1.19456785993741e-05,4.72644637983956e-10,-1.19456785993741e-05,0.0,-0.0,0.0,4.1891795603691495e-09,-3.3705234007852134e-13,4.1891795603691495e-09
0.242,0.0,0.000118758193941226,-4.33068918393905e-10,4.80923159331336e-10,-4.33068918393905e-10,-4.500617315022371e-09,-3.5473723593855996e-10,-4.500617315022371e-09,-1.75502068433265e-05,4.947959304288401e-10,-1.75502068433265e-05,0.0,-0.0,0.0,9.335798766994495e-09,-4.992529815554162e-13,9.335798766994495e-09
0.262,0.0,0.000147818867232647,3.3667331681457103e-10,1.70880611288618e-11,3.3667331681457103e-10,-7.5631932270363e-09,-5.73792838861055e-10,-7.5631932270363e-09,-2.42305170532274e-05,4.88445195448737e-10,-2.42305170532274e-05,-0.0,-0.0,-0.0,1.8489800073785048e-08,-7.118596878638063e-13,1.8489800073785048e-08
0.282,0.0,0.000179814043158941,1.8548691592837803e-09,-4.8945782894848e-10,1.8548691592837803e-09,-1.11399952756352e-08,-6.87676758214575e-10,-1.11399952756352e-08,-3.20032213546851e-05,4.83212652341512e-10,-3.20032213546851e-05,-0.0,-0.0,-0.0,3.358466575600014e-08,-9.60101952993384e-13,3.358466575600014e-08
0.302,0.0,0.00021474083313419498,4.38511987765398e-09,-9.19636475348709e-10,4.38511987765398e-09,-1.50151036991216e-08,-6.75395663052798e-10,-1.50151036991216e-08,-4.08706908022516e-05,6.0301099662783e-10,-4.08706908022516e-05,-0.0,-0.0,-0.0,5.7084353576291485e-08,-1.3149545112731516e-12,5.7084353576291485e-08
