# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,1.1376497114354599e-07,-8.969165220644901e-06,-8.96916522546725e-06,-8.969165220644901e-06,3.14559350582379e-06,3.14559348800642e-06,3.14559350582379e-06,1.7637856045468701e-06,1.7645605707652199e-06,1.7637856045468701e-06,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.022,0.0,3.22986002804174e-06,-9.0948169094686e-06,-9.09482016329501e-06,-9.0948169094686e-06,3.13178183590225e-06,3.1317722491645402e-06,3.13178183590225e-06,1.6242298518387399e-06,1.7345654979070098e-06,1.6242298518387399e-06,0.0,0.0,0.0,-9.1113040277755e-12,-9.453107111954245e-12,-9.1113040277755e-12
0.042,0.0,7.97265835969673e-06,-9.15731517968254e-06,-9.15734140596048e-06,-9.15731517968254e-06,3.1404479470352798e-06,3.1403624829074002e-06,3.1404479470352798e-06,1.24339966911682e-06,1.70684504704828e-06,1.24339966911682e-06,0.0,0.0,0.0,-3.48665571797715e-11,-4.081108098290485e-11,-3.48665571797715e-11
0.062,0.0,1.43408756328944e-05,-9.158691788818739e-06,-9.15877123795905e-06,-9.158691788818739e-06,3.15491450587246e-06,3.1546020129306198e-06,3.15491450587246e-06,5.478873919754661e-07,1.6870668778403799e-06,5.478873919754661e-07,0.0,0.0,0.0,-6.596613457725861e-11,-1.0234112293956422e-10,-6.596613457725861e-11
0.082,0.0,2.23327858234357e-05,-9.12692821630121e-06,-9.127117309979101e-06,-9.12692821630121e-06,3.16515626260527e-06,3.16432791834304e-06,3.16515626260527e-06,-5.3316359389874e-07,1.67485795387836e-06,-5.3316359389874e-07,0.0,0.0,0.0,-6.288782113597356e-11,-2.023734073771035e-10,-6.288782113597356e-11
0.102,0.0,3.19462216426611e-05,-9.067649645824741e-06,-9.06803999248487e-06,-9.067649645824741e-06,3.1738531254083e-06,3.17202982306936e-06,3.1738531254083e-06,-2.05962401403287e-06,1.66861266586468e-06,-2.05962401403287e-06,0.0,0.0,0.0,5.847613522666954e-11,-3.494267693886729e-10,5.847613522666954e-11
0.122,0.0,4.31785750730258e-05,-8.98487666392925e-06,-8.98559850323885e-06,-8.98487666392925e-06,3.18336405239292e-06,3.17987555623759e-06,3.18336405239292e-06,-4.0779637578584995e-06,1.6675555292752701e-06,-4.0779637578584995e-06,0.0,0.0,0.0,4.45042075830787e-10,-5.522762585703902e-10,4.45042075830787e-10
0.142,0.0,5.6026798012790196e-05,-8.885860084682769e-06,-8.88707825958292e-06,-8.885860084682769e-06,3.19310452564986e-06,3.18709391642854e-06,3.19310452564986e-06,-6.62512824978404e-06,1.66990940136293e-06,-6.62512824978404e-06,0.0,0.0,0.0,1.3257390269413655e-09,-8.200641626456376e-10,1.3257390269413655e-09
0.162,0.0,7.0487403029441e-05,-8.79243073977695e-06,-8.794316963780671e-06,-8.79243073977695e-06,3.20003553928508e-06,3.1905243337894502e-06,3.20003553928508e-06,-9.730131558438161e-06,1.67170345206717e-06,-9.730131558438161e-06,0.0,0.0,0.0,3.031794185969058e-09,-1.161656639154643e-09,3.031794185969058e-09
0.182,0.0,8.655646422168979e-05,-8.72437894888879e-06,-8.7270826364814e-06,-8.72437894888879e-06,3.20472431054624e-06,3.19070636036212e-06,3.20472431054624e-06,-1.34055273284014e-05,1.67660020676959e-06,-1.34055273284014e-05,0.0,0.0,0.0,6.0155008278603815e-09,-1.5861629032011912e-09,6.0155008278603815e-09
